,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1979-80,,Nathan MacKinnon,,1979-80,,Peter Forsberg,,1979-80,,Brent Burns,,1979-80,,Bobby Orr,,1979-80,,Marcel Pronovost,,1979-80,,Clayton Keller,,1979-80,,Ron Stewart
1980-81,,Matt Duchesne,,1980-81,,Kawhi Leonard,,1980-81,,Tyson Barrie,,1980-81,,Bobby Orr,,1980-81,,Didier Pitre,,1980-81,,Chris Suire,,1980-81,,Brandon Tanev
1981-82,,Mario Lemieux,,1981-82,,Mario Lemieux,,1981-82,,Marcel Pronovost,,1981-82,,Al Iafrate,,1981-82,,Didier Pitre,,1981-82,,Brett Hull,,1981-82,,Buck Maverick
1982-83,,Mario Lemieux,,1982-83,,Mario Lemieux,,1982-83,,Doug Harvey,,1982-83,,King Clancy,,1982-83,,Marcel Pronovost,,1982-83,,Syd Howe,,1982-83,,Rob DiMaio
1983-84,,Gordon Bombay,,1983-84,,Mario Lemieux,,1983-84,,Bobby Orr,,1983-84,,King Clancy,,1983-84,,Chris Phillips,,1983-84,,Dave Trottier,,1983-84,,Buck Maverick
1984-85,,Hayao Miyazaki,,1984-85,,Hayao Miyazaki,,1984-85,,Phil Housley,,1984-85,,Phil Housley,,1984-85,,Jimmy Watson,,1984-85,,Jonas Nordqvist,,1984-85,,Steve Salvucci
1985-86,,Gordon Bombay,,1985-86,,Hayao Miyazaki,,1985-86,,Doug Harvey,,1985-86,,Phil Housley,,1985-86,,Adam Foote,,1985-86,,Henrik Sedin,,1985-86,,Joakim Andersson
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VEZINA TROPHY,,,,LADY BYNG TROPHY,,,,CONN SMYTHE TROPHY,,,,HART TROPHY,,,,JACK ADAMS TROPHY,,,,WILLIAM JENNINGS  TROPHY,,,,TED LINDSAY  TROPHY,,
Season's Best Goaltender,,,,Season's Most Gentlemanly Player,,,,Season's Most Valuable Player - Playoffs,,,,Season's Most Valuable Player,,,,Season's Coach of the Year,,,,Season's Best Goaltending Tandem,,,,Player's MVP Award,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1979-80,,Jordan Binnington,,1979-80,,Johnny Gaudreau,,1979-80,,Kawhi Leonard,,1979-80,,Nathan MacKinnon,,1979-80,,Scotty Bowman,,1979-80,,J.Binnington/M.Skapski,,1979-80,,Nathan MacKinnon
1980-81,,Doug Favell,,1980-81,,Camille Henry,,1980-81,,Tyson Barrie,,1980-81,,Joe Sakic,,1980-81,,Scotty Bowman,,1980-81,,C.Hart/E. Merskilins,,1980-81,,Joe Sakic
1981-82,,Jordan Binnington,,1981-82,,Ivan Hlinka,,1981-82,,Brent Burns,,1981-82,,Mario Lemieux,,1981-82,,Tidus Mino,,1981-82,,J.Binnington/E.Johnston,,1981-82,,Mario Lemieux
1982-83,,Doug Favell,,1982-83,,Nico Hischier,,1982-83,,Gord Roberts,,1982-83,,Mario Lemieux,,1982-83,,Ember,,1982-83,,J.Binnington/C.Clang,,1982-83,,Mario Lemieux
1983-84,,Pelle Lindbergh,,1983-84,,Milan Hejduk,,1983-84,,Sidney Crosby,,1983-84,,Gordon Bombay,,1983-84,,Jack Adams,,1983-84,,J.Binnington/C.Clang,,1983-84,,Gordon Bombay
1984-85,,Chris Terreri,,1984-85,,Pavol Demitra,,1984-85,,Gordon Bombay,,1984-85,,Hayao Miyazaki,,1984-85,,Connor,,1984-85,,E. Belfour/C. Hart,,1984-85,,Hayao Miyazaki
1985-86,,Eddie Johnston,,1985-86,,Clayton Keller,,1985-86,,Sidney Crosby,,1985-86,,Gordon Bombay,,1985-86,,Skyvendrake,,1985-86,,T. Esposito / K. Wregget,,1985-86,,Gordon Bombay
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERTON TROPHY,,,,BOILEDEGG'S TROPHY,,,,PRINCE OF WALES TROPHY,,,,CLARENCE CAMPBELL TROPHY,,,,BOWL CUP TROPHY,,,,JIM GREGORY TROPHY,,,,MARK MESSIER LEADERSHIP AWARD,,
"Best Examplifies Perservance,
Sportsmanship and Dedication to Hockey",,,,Season's Team with Most Points,,,,Season's Winner of the East Conference,,,,Season's Winner of the West Conference,,,,Season's League Championship,,,,General Manager of the Year,,,,Leadership Award,,
Season,Team,POS-Player,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,POS-Player
1979-80,,Chris Pronger,,1979-80,,Toronto Six,,1979-80,,Toronto Six,,1979-80,,Trois-Rivieres Lions,,1979-80,,Toronto Six,,1979-80,,Parchie,,1979-80,,Artem Anisimov
