,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1942-43,,Syl Apps,,1942-43,,Syl Apps,,1942-43,,Bill Quackenbush,,1942-43,,Butch Bouchard,,1942-43,,Jack Crawford,,1942-43,,Gaye Stewart,,1942-43,,Gaye Stewart
1943-44,,Syl Apps,,1943-44,,Syl Apps,,1943-44,,Dit Clapper,,1943-44,,Dit Clapper,,1943-44,,Ken Reardon,,1943-44,,Doug Harvey,,1943-44,,Sid Abel
1944-45,,Gaye Stewart,,1944-45,,Syl Apps,,1944-45,,Earl Seibert,,1944-45,,Tom Anderson,,1944-45,,Glen Harmon,,1944-45,,Don Raleigh,,1944-45,,Sid Abel
1945-46,,Milt Schmidt,,1945-46,,Milt Schmidt,,1945-46,,Jack Stewart,,1945-46,,Pete Backor,,1945-46,,Bill Quackenbush,,1945-46,,Red Kelly,,1945-46,,Harry Watson
1946-47,,Sid Abel,,1946-47,,Harry Watson,,1946-47,,Butch Bouchard,,1946-47,,Red Kelly,,1946-47,,Butch Bouchard,,1946-47,,Gordie Howe,,1946-47,,Ted Kennedy
1947-48,,Gordie Howe,,1947-48,,Sid Abel,,1947-48,,Butch Bouchard,,1947-48,,Red Kelly,,1947-48,,Leo Reise,,1947-48,,Paul Ronty,,1947-48,,Ted Kennedy
1948-49,,Gaye Stewart,,1948-49,,Paul Ronty,,1948-49,,Leo Reise,,1948-49,,Red Kelly,,1948-49,,Ed Kryzanowski,,1948-49,,Wally Hergesheimer,,1948-49,,Gaye Stewart
1949-50,,Gordie Howe,,1949-50,,Sid Smith,,1949-50,,Doug Harvey,,1949-50,,Red Kelly,,1949-50,,Al Dewsbury,,1949-50,,Jean Beliveau,,1949-50,,Gordie Howe
1950-51,,Bill Mosienko,,1950-51,,Sid Smith,,1950-51,,Red Kelly,,1950-51,,Red Kelly,,1950-51,,Leo Reise,,1950-51,,Bernie Geoffrion,,1950-51,,Nick Mickoski
1951-52,,Paul Ronty,,1951-52,,Paul Ronty,,1951-52,,Gus Mortson,,1951-52,,Red Kelly,,1951-52,,Fern Flaman,,1951-52,,Dickie Moore,,1951-52,,Joe Klukay
1952-53,,Jean Beliveau,,1952-53,,Paul Ronty,,1952-53,,Jim Morrison,,1952-53,,Red Kelly,,1952-53,,Steve Hrymnak,,1952-53,,Glenn Hall,,1952-53,,Dunc Fisher
1953-54,,Jean Beliveau,,1953-54,,Jean Beliveau,,1953-54,,Red Kelly,,1953-54,,Red Kelly,,1953-54,,Dollard St-Laurent,,1953-54,,Guyle Fielder,,1953-54,,Eric Nesterenko
1954-55,,Jean Beliveau,,1954-55,,Ed Litzenberger,,1954-55,,Fern Flaman,,1954-55,,Red Kelly,,1954-55,,Fern Flaman,,1954-55,,Danny Lewicki,,1954-55,,Eric Nesterenko
1955-56,,Paul Ronty,,1955-56,,C-Paul Ronty,,1955-56,,Marcel Pronovost,,1955-56,,Red Kelly,,1955-56,,Marcel Pronovost,,1955-56,,Henri Richard,,1955-56,,Claude Provost
1956-57,,Ed Litzenberger,,1956-57,,Ed Litzenberger,,1956-57,,Red Kelly,,1956-57,,Red Kelly,,1956-57,,Pierre Pilote,,1956-57,,Frank Mahovlich,,1956-57,,Eric Nesterenko
1957-58,,Jean Beliveau,,1957-58,,Jean Beliveau,,1957-58,,Leo Boivin,,1957-58,,Doug Harvey,,1957-58,,Leo Boivin,,1957-58,,Kent Douglas,,1957-58,,Alex Delvecchio
1958-59,,Alex Delvecchio,,1958-59,,Alex Delvecchio,,1958-59,,Larry Hillman,,1958-59,,Larry Hillman,,1958-59,,Leo Boivin,,1958-59,,Bobby Hull,,1958-59,,Bob Pulford
1959-60,,Frank Mahovlich,,1959-60,,Bernie Geoffrion,,1959-60,,Marcel Pronovost,,1959-60,,Red Kelly,,1959-60,,Marcel Pronovost,,1959-60,,Dave Keon,,1959-60,,Eric Nesterenko
1960-61,,Andy Bathgate,,1960-61,,Gordie Howe,,1960-61,,Marcel Pronovost,,1960-61,,Carl Brewer,,1960-61,,Leo Boivin,,1960-61,,Phil Esposito,,1960-61,,Eric Nesterenko
1961-62,,Frank Mahovlich,,1961-62,,Frank Mahovlich,,1961-62,,J.C. Tremblay,,1961-62,,Doug Mohns,,1961-62,,Moose Vasko,,1961-62,,Ed Westfall,,1961-62,,Eric Nesterenko
1962-63,,Henri Richard,,1962-63,,Gordie Howe,,1962-63,,Leo Boivin,,1962-63,,Bill Gadsby,,1962-63,,Leo Boivin,,1962-63,,Andre Boudrias,,1962-63,,Eric Nesterenko
1963-64,,Henri Richard,,1963-64,,Henri Richard,,1963-64,,Marcel Pronovost,,1963-64,,Doug Mohns,,1963-64,,Moose Vasko,,1963-64,,John Brenneman,,1963-64,,Ron Stewart
1964-65,,Bobby Hull,,1964-65,,Bobby Hull,,1964-65,,Jean-Guy Talbot,,1964-65,,Doug Mohns,,1964-65,,Bob Plager,,1964-65,,Garry Peters,,1964-65,,Ted Hampson
1965-66,,Henri Richard,,1965-66,,Andre Boudrias,,1965-66,,Gary Bergman,,1965-66,,Doug Mohns,,1965-66,,Harry Howell,,1965-66,,Yvan Cournoyer,,1965-66,,Alex Delvecchio
1966-67,,Bobby Hull,,1966-67,,Bobby Hull,,1966-67,,Gary Bergman,,1966-67,,Bobby Orr (Tie),,1966-67,,Bob Plager,,1966-67,,Danny Grant,,1966-67,,Bob Pulford
1967-68,,Frank Mahovlich,,1967-68,,Frank Mahovlich,,1967-68,,Gary Bergman,,1966-67,,Pat Stapleton (Tie),,1967-68,,Ted Green,,1967-68,,Ray Cullen,,1967-68,,Gordie Howe
,,,,,,,,,,,,1967-68,,Bobby Orr,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VEZINA TROPHY,,,,LADY BYNG TROPHY,,,,CONN SMYTHE TROPHY,,,,HART TROPHY,,,,JACK ADAMS TROPHY,,,,WILLIAM JENNINGS  TROPHY,,,,TED LINDSAY  TROPHY,,
Season's Best Goaltender,,,,Season's Most Gentlemanly Player,,,,Season's Most Valuable Player - Playoffs,,,,Season's Most Valuable Player,,,,Season's Coach of the Year,,,,Season's Best Goaltending Tandem,,,,Player's MVP Award,,
