DraftId;Draft Name
0;NHL Amateur Draft
1;NHL Amateur Draft
2;NHL Amateur Draft
3;NHL Amateur Draft
4;NHL Amateur Draft
5;NHL Amateur Draft
6;NHL Amateur Draft
7;NHL Amateur Draft
8;NHL Amateur Draft
9;NHL Amateur Draft
10;NHL Amateur Draft
11;NHL Amateur Draft
12;NHL Amateur Draft
13;NHL Amateur Draft
14;NHL Amateur Draft
15;NHL Entry Draft
16;NHL Entry Draft
17;NHL Entry Draft
18;NHL Entry Draft
19;NHL Entry Draft
20;NHL Entry Draft
36;WHA Amateur Draft
37;WHA Amateur Draft
38;WHA Amateur Draft
39;WHA Amateur Draft
40;WHA Amateur Draft
41;WHA Amateur Draft
42;WHA 1978 Underage Signings
43;WHA General Draft
44;WCHL Draft
47;NHA Draft
