Year;Team ID;1st Round;2nd Round;3rd Round;4th Round;5th Round;6th Round;7th Round;8th Round;9th Round;10th Round;11th Round;12th Round
2000;220;220;220;224;220;220;220;220;220;220
2001;220;220;220;220;220;220;220;220;220;220
2002;220;220;220;220;220;220;220;220;220;220
2000;227;227;227;227;227;227;227;227;227;227
2001;227;227;227;227;227;227;227;227;227;227
2002;227;227;227;227;227;227;227;227;227;227
2000;5;5;5;5;5;5;5;5;5;5
2001;5;5;5;5;5;5;5;5;5;5
2002;5;5;5;5;5;5;5;5;5;5
2000;17;26;17;17;17;17;17;17;17;17
2001;17;17;17;17;17;17;17;17;17;17
2002;17;17;17;17;17;17;17;17;17;17
2000;19;19;19;19;19;19;19;19;19;19
2001;19;19;19;19;19;19;19;19;19;19
2002;19;20;19;19;19;19;19;19;19;19
2000;24;24;24;24;24;24;24;24;24;24
2001;24;24;24;24;24;24;24;24;24;24
2002;24;24;24;24;24;24;24;24;24;24
2000;8;8;8;8;8;8;8;8;8;8
2001;8;8;8;8;8;8;8;8;8;8
2002;8;8;8;8;8;8;8;8;8;8
2000;25;9;224;25;25;25;25;25;25;25
2001;25;25;25;227;25;25;25;25;25;25
2002;25;25;25;25;25;25;25;25;25;25
2000;12;12;12;12;12;12;12;12;12;12
2001;12;12;12;12;12;12;12;12;12;12
2002;12;12;12;12;12;12;12;12;12;12
2000;9;9;9;17;227;9;9;9;9;9
2001;9;9;9;9;9;227;9;9;9;9
2002;9;9;9;9;9;9;9;9;9;9
2000;23;23;23;23;23;23;23;23;23;23
2001;23;23;23;23;23;23;23;23;23;23
2002;23;23;23;23;23;23;23;23;23;23
2000;221;221;14;15;10;221;221;221;221;221
2001;221;221;5;221;221;221;221;221;221;221
2002;221;221;221;217;221;221;221;221;221;221
2000;11;17;11;11;11;11;11;11;11;11
2001;11;11;11;11;11;11;11;11;11;11
2002;11;11;11;11;11;11;11;11;11;11
2000;0;12;12;8;0;0;0;0;0;0
2001;0;17;21;12;0;0;0;0;0;0
2002;0;0;0;0;0;0;0;0;0;0
2000;224;224;224;224;224;224;224;224;224;224
2001;224;224;224;224;224;224;224;224;224;224
2002;224;224;224;224;224;224;224;224;224;224
2000;21;12;21;21;10;21;21;21;21;21
2001;21;21;21;21;21;21;21;21;21;21
2002;21;21;17;21;21;21;21;21;21;21
2000;20;21;9;18;9;9;20;20;20;20
2001;20;12;21;21;11;20;20;20;20;20
2002;20;20;19;20;19;20;20;20;20;20
2000;10;10;10;10;10;10;10;10;10;10
2001;10;10;10;10;10;10;10;10;10;10
2002;10;10;10;10;10;10;10;10;10;10
2000;216;227;216;216;216;216;216;216;216;216
2001;216;216;216;216;19;216;216;216;216;216
2002;216;216;216;216;216;216;216;216;216;216
2000;14;14;14;14;14;14;14;14;14;14
2001;14;14;14;14;14;14;14;14;14;14
2002;14;14;14;14;14;14;14;14;14;14
2000;26;26;26;26;21;26;26;26;26;26
2001;26;26;227;26;26;26;26;26;26;26
2002;26;26;26;26;26;26;26;26;26;26
2000;15;214;220;15;15;15;15;15;15;15
2001;15;220;15;15;15;15;15;15;15;15
2002;15;15;15;15;15;15;15;15;15;15
2000;214;214;12;214;214;214;214;214;214;214
2001;214;214;214;214;214;214;214;214;214;214
2002;214;214;214;214;214;214;214;214;214;214
2000;16;16;16;227;16;16;16;16;16;16
2001;16;16;16;16;15;16;16;16;16;16
2002;16;16;16;16;16;16;16;16;16;16
2000;217;17;217;5;217;217;15;217;217;217
2001;217;9;217;227;227;217;227;217;217;217
2002;217;217;217;217;217;217;217;217;217;217
2000;3;5;227;14;3;3;3;3;3;3
2001;3;3;3;3;3;3;3;3;3;3
2002;3;3;3;3;3;3;3;3;3;3
2000;18;18;18;18;18;18;18;18;18;18
2001;18;18;18;18;18;18;18;18;18;18
2002;18;18;18;18;18;18;18;18;18;18
2000;22;22;22;22;22;22;22;22;22;22
2001;22;22;22;22;22;22;22;22;22;22
2002;22;22;22;22;22;22;22;22;22;22
