season,award_name,player_id,team_id,staff_id,notes
1989-90,ART ROSS TROPHY,894,,,
1989-90,RICHARD TROPHY,1238,,,
1989-90,NORRIS TROPHY,287,,,
1989-90,BOURQUE TROPHY,287,,,
1989-90,LANGWAY TROPHY,160,,,
1989-90,CALDER TROPHY,1172,,,
1989-90,SELKE TROPHY,411,,,
1990-91,ART ROSS TROPHY,1491,,,
1990-91,RICHARD TROPHY,599,,,
1990-91,NORRIS TROPHY,955,,,
1990-91,BOURQUE TROPHY,649,,,
1990-91,LANGWAY TROPHY,160,,,
1990-91,CALDER TROPHY,1864,,,
1990-91,SELKE TROPHY,1030,,,
1991-92,ART ROSS TROPHY,599,,,
1991-92,RICHARD TROPHY,599,,,
1991-92,NORRIS TROPHY,955,,,
1991-92,BOURQUE TROPHY,287,,,
1991-92,LANGWAY TROPHY,160,,,
1991-92,CALDER TROPHY,989,,,
1991-92,SELKE TROPHY,230,,,
1992-93,ART ROSS TROPHY,1244,,,
1992-93,RICHARD TROPHY,1528,,,unresolved_player=Teemu Selanne
1992-93,NORRIS TROPHY,1022,,,
1992-93,BOURQUE TROPHY,955,,,
1992-93,LANGWAY TROPHY,160,,,
1992-93,CALDER TROPHY,1842,,,
1992-93,SELKE TROPHY,1165,,,
1993-94,ART ROSS TROPHY,1445,,,
1993-94,RICHARD TROPHY,1445,,,
1993-94,NORRIS TROPHY,1305,,,
1993-94,BOURQUE TROPHY,385,,,
1993-94,LANGWAY TROPHY,1274,,,unresolved_player=Frederik Olausson
1993-94,CALDER TROPHY,12027,,,
1993-94,SELKE TROPHY,1396,,,
1994-95,ART ROSS TROPHY,968,,,
1994-95,RICHARD TROPHY,568,,,
1994-95,NORRIS TROPHY,141,,,
1994-95,BOURQUE TROPHY,955,,,
1994-95,LANGWAY TROPHY,387,,,
1994-95,CALDER TROPHY,12455,,,
1994-95,SELKE TROPHY,1326,,,
1995-96,ART ROSS TROPHY,599,,,
1995-96,RICHARD TROPHY,1175,,,
1995-96,NORRIS TROPHY,980,,,
1995-96,BOURQUE TROPHY,1584,,,unresolved_player=Jiri Slegr
1995-96,LANGWAY TROPHY,260,,,
1995-96,CALDER TROPHY,13099,,,
1995-96,SELKE TROPHY,762,,,
1996-97,ART ROSS TROPHY,1491,,,
1996-97,RICHARD TROPHY,1491,,,
1996-97,NORRIS TROPHY,955,,,
1996-97,BOURQUE TROPHY,1022,,,
1996-97,LANGWAY TROPHY,134,,,
1996-97,CALDER TROPHY,13103,,,unresolved_player=Petr Sykora
1996-97,SELKE TROPHY,762,,,
1997-98,ART ROSS TROPHY,599,,,
1997-98,RICHARD TROPHY,599,,,
1997-98,NORRIS TROPHY,1517,,,
1997-98,BOURQUE TROPHY,412,,,
1997-98,LANGWAY TROPHY,1421,,,
1997-98,CALDER TROPHY,14033,,,
1997-98,SELKE TROPHY,11983,,,
1989-90,VEZINA TROPHY,1469,,,
1989-90,LADY BYNG TROPHY,175,,,
1989-90,CONN SMYTHE TROPHY,955,,,
1989-90,HART TROPHY,287,,,
1989-90,JACK ADAMS TROPHY,,21,,unresolved_player=Tidus Mino
1989-90,WILLIAM JENNINGS  TROPHY,285,,,complex_winner=Jacques Cloutier/Dan Berthiaume; unresolved_player=Jacques Cloutier/Dan Berthiaume
1989-90,TED LINDSAY  TROPHY,894,,,
1990-91,VEZINA TROPHY,676,,,
1990-91,LADY BYNG TROPHY,1262,,,
1990-91,CONN SMYTHE TROPHY,955,,,
1990-91,HART TROPHY,1491,,,
1990-91,JACK ADAMS TROPHY,,41,16,unresolved_player=Mike Keenan
1990-91,WILLIAM JENNINGS  TROPHY,676,,,complex_winner=Ron Hextall/Alain Chevrier; unresolved_player=Ron Hextall/Alain Chevrier
1990-91,TED LINDSAY  TROPHY,1491,,,
1991-92,VEZINA TROPHY,528,,,
1991-92,LADY BYNG TROPHY,518,,,
1991-92,CONN SMYTHE TROPHY,599,,,
1991-92,HART TROPHY,599,,,
1991-92,JACK ADAMS TROPHY,,0,,unresolved_player=Skyvendrake
1991-92,WILLIAM JENNINGS  TROPHY,676,,,complex_winner=Ron Hextall/Rick Wamsley; unresolved_player=Ron Hextall/Rick Wamsley
1991-92,TED LINDSAY  TROPHY,599,,,
1992-93,VEZINA TROPHY,1787,,,
1992-93,LADY BYNG TROPHY,435,,,
1992-93,CONN SMYTHE TROPHY,1528,,,unresolved_player=Teemu Selanne
1992-93,HART TROPHY,599,,,
1992-93,JACK ADAMS TROPHY,6405,,,
1992-93,WILLIAM JENNINGS  TROPHY,676,,,complex_winner=Ron Hextall/Rick Wamsley; unresolved_player=Ron Hextall/Rick Wamsley
1992-93,TED LINDSAY  TROPHY,599,,,
1993-94,VEZINA TROPHY,676,,,
1993-94,LADY BYNG TROPHY,1738,,,
1993-94,CONN SMYTHE TROPHY,1228,,,
1993-94,HART TROPHY,1445,,,
1993-94,JACK ADAMS TROPHY,,26,,unresolved_player=Random Wombat
1993-94,WILLIAM JENNINGS  TROPHY,676,,,complex_winner=Ron Hextall/Rick Wamsley; unresolved_player=Ron Hextall/Rick Wamsley
1993-94,TED LINDSAY  TROPHY,1445,,,
1994-95,VEZINA TROPHY,1671,,,
1994-95,LADY BYNG TROPHY,1842,,,
1994-95,CONN SMYTHE TROPHY,1175,,,
1994-95,HART TROPHY,968,,,
1994-95,JACK ADAMS TROPHY,6405,,,
1994-95,WILLIAM JENNINGS  TROPHY,676,,,complex_winner=Ron Hextall/Jim Carey; unresolved_player=Ron Hextall/Jim Carey
1994-95,TED LINDSAY  TROPHY,968,,,
1995-96,VEZINA TROPHY,819,,,
1995-96,LADY BYNG TROPHY,12455,,,
1995-96,CONN SMYTHE TROPHY,1738,,,
1995-96,HART TROPHY,599,,,
1995-96,JACK ADAMS TROPHY,,26,,unresolved_player=Random Wombat
1995-96,WILLIAM JENNINGS  TROPHY,819,,,complex_winner=Trevor Kidd/Darren Puppa; unresolved_player=Trevor Kidd/Darren Puppa
1995-96,TED LINDSAY  TROPHY,599,,,
1996-97,VEZINA TROPHY,1767,,,
1996-97,LADY BYNG TROPHY,196,,,
1996-97,CONN SMYTHE TROPHY,955,,,
1996-97,HART TROPHY,1491,,,
1996-97,JACK ADAMS TROPHY,6225,,,
1996-97,WILLIAM JENNINGS  TROPHY,819,,,complex_winner=Trevor Kidd/Darren Puppa; unresolved_player=Trevor Kidd/Darren Puppa
1996-97,TED LINDSAY  TROPHY,1491,,,
1997-98,VEZINA TROPHY,647,,,
1997-98,LADY BYNG TROPHY,109,,,
1997-98,CONN SMYTHE TROPHY,955,,,
1997-98,HART TROPHY,599,,,
1997-98,JACK ADAMS TROPHY,,20,1,unresolved_player=Lou Lamouriello
1997-98,WILLIAM JENNINGS  TROPHY,819,,,complex_winner=Trevor Kidd/Dwayne Roloson; unresolved_player=Trevor Kidd/Dwayne Roloson
1997-98,TED LINDSAY  TROPHY,599,,,
1989-90,MASTERTON TROPHY,1717,,,
1989-90,BOILEDEGG'S TROPHY,,,,unresolved_team=Hartford Whalers
1989-90,PRINCE OF WALES TROPHY,,,,unresolved_team=Hartford Whalers
1989-90,CLARENCE CAMPBELL TROPHY,,11,,
1989-90,BOWL CUP TROPHY,,,,unresolved_team=Hartford Whalers
1989-90,JIM GREGORY TROPHY,,,,unresolved_team=Tidus Mino
1989-90,MARK MESSIER LEADERSHIP AWARD,11,,,
1990-91,MASTERTON TROPHY,354,,,
1990-91,BOILEDEGG'S TROPHY,,,,unresolved_team=Hartford Whalers
1990-91,PRINCE OF WALES TROPHY,,,,unresolved_team=Hartford Whalers
1990-91,CLARENCE CAMPBELL TROPHY,,,,unresolved_team=Winnipeg Jets
1990-91,BOWL CUP TROPHY,,,,unresolved_team=Hartford Whalers
1990-91,JIM GREGORY TROPHY,,16,,unresolved_team=$enpai
1990-91,MARK MESSIER LEADERSHIP AWARD,2,,,
1991-92,MASTERTON TROPHY,1587,,,
1991-92,BOILEDEGG'S TROPHY,,,,unresolved_team=Hartford Whalers
1991-92,PRINCE OF WALES TROPHY,,20,,unresolved_team=NY Islanders
1991-92,CLARENCE CAMPBELL TROPHY,,,,unresolved_team=Winnipeg Jets
1991-92,BOWL CUP TROPHY,,20,,unresolved_team=NY Islanders
1991-92,JIM GREGORY TROPHY,,0,,unresolved_team=Skyvendrake
1991-92,MARK MESSIER LEADERSHIP AWARD,6,6,,unresolved_player=Jozef Stumpel
1992-93,MASTERTON TROPHY,1009,,,
1992-93,BOILEDEGG'S TROPHY,,0,,
1992-93,PRINCE OF WALES TROPHY,,5,,
1992-93,CLARENCE CAMPBELL TROPHY,,16,,unresolved_team=St-Louis Blues
1992-93,BOWL CUP TROPHY,,16,,unresolved_team=St-Louis Blues
1992-93,JIM GREGORY TROPHY,,0,,unresolved_team=Skyvendrake
1992-93,MARK MESSIER LEADERSHIP AWARD,14,,,
1993-94,MASTERTON TROPHY,1148,,,
1993-94,BOILEDEGG'S TROPHY,,,,unresolved_team=Winnipeg Jets
1993-94,PRINCE OF WALES TROPHY,,20,,unresolved_team=NY Islanders
1993-94,CLARENCE CAMPBELL TROPHY,,,,unresolved_team=Winnipeg Jets
1993-94,BOWL CUP TROPHY,,,,unresolved_team=Winnipeg Jets
1993-94,JIM GREGORY TROPHY,,217,,unresolved_team=Stlrs95
1993-94,MARK MESSIER LEADERSHIP AWARD,5,5,,unresolved_player=Robert Petrovicky
1994-95,MASTERTON TROPHY,968,,,
1994-95,BOILEDEGG'S TROPHY,,20,,unresolved_team=NY Islanders
1994-95,PRINCE OF WALES TROPHY,,5,,
1994-95,CLARENCE CAMPBELL TROPHY,,3,,
1994-95,BOWL CUP TROPHY,,3,,
1994-95,JIM GREGORY TROPHY,,11,,unresolved_team=Wardo
1994-95,MARK MESSIER LEADERSHIP AWARD,21,,,
1995-96,MASTERTON TROPHY,1624,,,
1995-96,BOILEDEGG'S TROPHY,,5,,
1995-96,PRINCE OF WALES TROPHY,,10,,
1995-96,CLARENCE CAMPBELL TROPHY,,3,,
1995-96,BOWL CUP TROPHY,,10,,
1995-96,JIM GREGORY TROPHY,,10,,unresolved_team=Oliver
1995-96,MARK MESSIER LEADERSHIP AWARD,23,,,
1996-97,MASTERTON TROPHY,333,,,
1996-97,BOILEDEGG'S TROPHY,,10,,
1996-97,PRINCE OF WALES TROPHY,,20,,unresolved_team=NY Islanders
1996-97,CLARENCE CAMPBELL TROPHY,,3,,
1996-97,BOWL CUP TROPHY,,20,,unresolved_team=NY Islanders
1996-97,JIM GREGORY TROPHY,,25,,unresolved_team=Randy
1996-97,MARK MESSIER LEADERSHIP AWARD,28,,,
1997-98,MASTERTON TROPHY,1765,,,
1997-98,BOILEDEGG'S TROPHY,,20,,unresolved_team=NY Islanders
1997-98,PRINCE OF WALES TROPHY,,20,,unresolved_team=NY Islanders
1997-98,CLARENCE CAMPBELL TROPHY,,3,,
1997-98,BOWL CUP TROPHY,,20,,unresolved_team=NY Islanders
1997-98,JIM GREGORY TROPHY,,20,,unresolved_team=Min
1997-98,MARK MESSIER LEADERSHIP AWARD,7,,,
1989-90,ROGER CROZIER SAVING GRACE TROPHY,1469,,,
1989-90,PLUS/MINUS TROPHY,1207,,,
1989-90,THE MASTERS' GREEN JACKET,1388,,,complex_winner=Yves Racine (-58)
1989-90,BOWL RISING STAR,507,,,
1990-91,ROGER CROZIER SAVING GRACE TROPHY,128,,,
1990-91,PLUS/MINUS TROPHY,1012,,,unresolved_player=Craig Ludwing
1990-91,THE MASTERS' GREEN JACKET,561,,,complex_winner=Greg Gilbert (-59)
1990-91,BOWL RISING STAR,2,,,
1991-92,ROGER CROZIER SAVING GRACE TROPHY,128,,,unresolved_player=Criag Billington
1991-92,PLUS/MINUS TROPHY,1029,,,
1991-92,THE MASTERS' GREEN JACKET,304,,,complex_winner=Sylvain Cote (-53)
1991-92,BOWL RISING STAR,989,,,
1992-93,ROGER CROZIER SAVING GRACE TROPHY,528,,,
1992-93,PLUS/MINUS TROPHY,307,,,
1992-93,THE MASTERS' GREEN JACKET,830,,,complex_winner=Ken Klee (-103)
1992-93,BOWL RISING STAR,12053,,,
1993-94,ROGER CROZIER SAVING GRACE TROPHY,676,,,
1993-94,PLUS/MINUS TROPHY,1445,,,
1993-94,THE MASTERS' GREEN JACKET,901,,,complex_winner=Dan Lambert (-75)
1993-94,BOWL RISING STAR,12411,,,
1994-95,ROGER CROZIER SAVING GRACE TROPHY,246,,,
1994-95,PLUS/MINUS TROPHY,1528,,,unresolved_player=Teemu Selanne
1994-95,THE MASTERS' GREEN JACKET,1094,,,complex_winner=Darren McCarty (-50)
1994-95,BOWL RISING STAR,13056,,,
1995-96,ROGER CROZIER SAVING GRACE TROPHY,11996,,,
1995-96,PLUS/MINUS TROPHY,968,,,
1994-95,THE MASTERS' GREEN JACKET,1094,,,complex_winner=Darren McCarty (-50)
1995-96,BOWL RISING STAR,13525,,,
1996-97,ROGER CROZIER SAVING GRACE TROPHY,12032,,,
1996-97,PLUS/MINUS TROPHY,968,,,
1995-96,THE MASTERS' GREEN JACKET,760,,,complex_winner=Calle Johansson (-61)
1996-97,BOWL RISING STAR,14147,,,unresolved_player=Tomas Kaberle
1997-98,ROGER CROZIER SAVING GRACE TROPHY,1358,,,
1997-98,PLUS/MINUS TROPHY,1496,,,
1996-97,THE MASTERS' GREEN JACKET,2632,,,complex_winner=Alexander Smirnov (-51)
1997-98,BOWL RISING STAR,14511,,,
1997-98,THE MASTERS' GREEN JACKET,593,,,complex_winner=Travis Green (-47)
