PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
15460;1998;180;6;18;18;64362;10;7;1;2;0;66;560;55
15460;1997;180;6;31;31;111062;22;5;4;1;0;86;949;50
11977;1998;70;3;54;52;193535;32;15;7;1;0;116;1625;67
11977;1990;180;6;26;25;82821;14;10;2;1;0;114;652;50
11977;1991;180;6;25;24;89308;13;11;1;2;0;98;709;50
11977;1992;180;6;53;51;184905;39;13;1;1;0;194;1557;65
11977;1993;180;6;55;54;199035;31;16;8;2;0;195;1613;69
11977;1994;70;3;43;40;146950;24;14;5;3;0;111;1241;62
11977;1995;70;3;55;51;189407;36;15;4;1;0;141;1612;62
11977;1996;70;3;51;49;179757;26;21;4;4;0;117;1467;67
11977;1997;70;3;72;71;248802;42;24;6;4;0;136;2101;67
15462;1998;155;5;21;20;71582;11;8;2;0;0;93;593;49
15462;1997;155;5;31;29;101557;11;18;2;5;0;176;858;44
62;1998;186;3;26;25;88696;18;6;2;1;0;68;727;54
62;1997;186;3;41;38;140200;27;12;2;2;0;101;1177;57
62;1996;186;3;51;49;175142;25;19;7;5;0;121;1497;58
62;1995;186;3;40;39;140530;16;16;8;2;0;117;1162;58
62;1994;185;7;28;27;98559;19;7;2;1;0;94;860;58
62;1993;185;7;28;25;95076;20;8;0;2;0;94;785;63
62;1992;185;7;33;32;116930;22;10;1;3;0;106;974;56
62;1991;185;7;33;32;118052;23;9;1;2;0;92;1005;53
62;1990;182;6;29;27;99362;19;9;1;2;0;124;842;45
62;1989;182;6;26;23;91616;13;11;2;0;0;130;779;42
63;1998;186;3;21;21;73907;9;11;1;2;0;58;621;55
63;1997;186;3;37;35;124367;19;13;5;3;1;88;1059;55
63;1996;186;3;42;40;144265;21;17;4;1;0;114;1274;57
63;1995;186;3;45;43;159477;27;15;3;1;0;125;1329;56
63;1994;186;3;38;37;127959;23;12;3;3;0;97;1091;56
63;1993;186;3;39;38;136920;22;10;7;2;0;108;1137;57
63;1992;179;6;48;47;170661;32;13;3;3;0;144;1381;62
63;1991;179;6;44;43;153610;30;9;5;4;0;159;1274;59
63;1989;179;6;23;23;82929;13;7;3;2;0;105;703;46
63;1990;179;6;23;22;80502;15;6;2;1;0;91;682;53
68;1998;186;3;29;29;101943;17;9;3;2;0;78;850;53
68;1997;186;3;28;24;89491;16;10;2;1;0;71;753;56
68;1996;186;3;29;28;97680;13;11;5;1;0;73;785;57
68;1995;186;3;31;29;109059;18;10;3;1;0;84;922;55
68;1994;186;3;37;35;117182;22;12;3;0;0;100;1002;55
68;1993;186;3;33;32;115091;15;14;4;1;0;115;997;54
68;1992;185;7;33;30;113106;15;13;5;1;0;107;934;61
68;1991;185;7;30;29;105693;22;6;2;1;0;94;917;59
68;1990;185;7;36;35;127066;21;9;6;0;0;117;1056;48
68;1989;182;6;27;27;95619;24;3;0;0;0;93;805;46
75;1998;161;5;25;24;87481;7;17;1;1;0;139;747;48
75;1997;161;5;31;30;104844;15;14;2;3;0;168;856;49
75;1996;161;5;35;35;108059;7;25;3;4;0;213;898;51
75;1995;161;5;32;30;107525;8;23;1;7;0;196;899;49
75;1994;161;5;33;32;112200;11;19;3;5;0;172;921;51
75;1993;161;5;28;26;94340;12;14;2;6;0;154;775;49
75;1992;161;5;32;31;110139;12;15;5;2;0;167;967;52
75;1991;161;5;37;35;127802;18;13;6;2;0;166;1054;51
75;1990;161;5;40;36;122768;21;17;2;7;0;200;1028;50
75;1989;161;5;31;30;110054;17;14;0;1;0;152;945;47
75;1984;23;0;1;0;1980;0;1;0;0;0;2;9;0
75;1983;11;0;21;0;72660;3;14;4;5;0;87;633;0
75;1982;5;0;9;0;30960;6;3;0;1;0;33;233;0
75;1981;5;0;44;0;150900;22;16;4;3;1;144;1068;0
75;1980;5;0;10;0;30420;3;4;1;1;0;24;205;0
75;1979;5;0;1;0;2400;0;0;0;0;0;2;13;0
15995;1998;183;6;28;26;95478;14;12;2;2;0;97;768;46
91;1998;169;5;27;27;97560;19;6;2;0;0;93;845;62
91;1997;169;5;31;30;102907;19;9;3;2;0;121;867;63
91;1996;169;5;36;35;129601;21;10;5;2;0;144;1032;63
91;1995;169;5;27;26;95534;21;5;1;0;0;94;775;66
91;1994;51;3;55;52;187707;32;16;7;0;0;128;1614;62
91;1993;51;3;57;54;199769;35;14;8;5;0;137;1688;66
91;1992;0;0;1;0;1219;0;0;0;0;0;3;13;41
