PlayerId;Year;TeamId;LeagueId;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
3717;1974;22;0;8;0;24000;0;7;0;0;0;46;275;0
3717;1972;5;0;14;0;46800;9;3;1;0;1;39;415;0
3725;1957;0;0;1;0;2040;0;1;0;0;0;6;18;0
3727;1934;10;0;10;0;36600;3;7;0;0;1;37;0;0
3727;1933;10;0;48;0;179400;21;19;8;0;7;113;0;0
3727;1932;10;0;48;0;178200;23;17;8;0;3;107;0;0
3739;1952;9;0;1;0;3600;0;0;1;0;0;3;0;0
3739;1950;8;0;1;0;3600;0;1;0;0;0;5;0;0
3739;1946;9;0;1;0;3600;0;1;0;0;0;5;0;0
3750;1951;10;0;3;0;10800;1;2;0;0;0;18;0;0
3772;1973;41;1;5;0;15780;1;4;0;0;0;27;183;0
3772;1972;41;1;6;0;15600;1;3;0;0;0;17;122;0
3791;1980;21;0;30;0;98520;6;15;6;3;0;103;787;0
3791;1979;21;0;49;0;154440;9;27;6;3;0;161;1242;0
3791;1977;10;0;4;0;14400;2;2;0;0;0;14;124;0
3797;1976;30;1;21;0;46140;6;5;0;2;1;51;369;0
3797;1975;32;1;12;0;32940;6;4;0;0;1;38;267;0
3797;1974;30;1;31;0;105720;17;11;0;0;0;109;959;0
3797;1973;30;1;26;0;83700;11;11;2;1;1;90;751;0
3797;1972;30;1;52;0;182160;25;22;3;0;1;182;1781;0
3818;1982;10;0;3;0;6120;0;1;0;2;0;5;44;0
3818;1981;10;0;6;0;19680;1;5;0;0;0;33;161;0
3818;1980;10;0;21;0;75600;10;6;5;2;2;73;609;0
3818;1979;10;0;27;0;83460;9;8;6;1;1;79;667;0
3828;1986;8;0;39;0;123540;9;18;8;2;0;142;1122;0
3828;1985;8;0;48;0;161340;20;19;6;2;1;201;1538;0
3828;1984;8;0;60;0;202260;27;25;4;3;0;215;1847;0
3828;1983;8;0;56;0;200100;23;29;4;4;2;188;1667;0
3828;1982;8;0;41;0;147600;24;12;5;2;4;127;1283;0
3828;1981;8;0;29;0;100260;11;12;4;2;1;116;871;0
3828;1980;8;0;15;0;51900;2;10;2;2;0;62;461;0
3828;1977;18;0;1;0;1200;0;0;0;0;0;0;7;0
3847;1967;15;0;25;0;77940;7;10;3;2;1;62;685;0
3847;1966;9;0;8;0;23040;2;4;0;0;0;22;215;0
3847;1965;9;0;11;0;24360;3;3;0;1;0;17;177;0
3847;1963;9;0;1;0;3600;0;1;0;0;0;4;34;0
3847;1962;9;0;16;0;57600;6;5;5;0;0;53;506;0
3847;1961;9;0;27;0;97200;9;12;6;0;3;76;768;0
3847;1960;9;0;35;0;123000;13;13;8;0;0;102;944;0
3847;1955;8;0;12;0;43200;2;9;1;0;1;42;348;0
3847;1954;8;0;21;0;75600;4;9;8;0;0;63;0;0
3848;1945;3;0;5;0;18000;0;4;1;0;0;20;0;0
3855;1968;12;0;7;0;18240;0;4;1;0;0;22;165;0
3855;1967;12;0;26;0;77640;5;13;5;0;0;75;656;0
3855;1966;0;0;2;0;7200;1;1;0;0;0;5;57;0
3871;1985;26;0;9;0;25320;2;5;0;1;0;41;220;0
3871;1984;26;0;24;0;73080;8;10;3;1;1;93;624;0
3871;1983;26;0;6;0;21060;2;4;0;0;0;32;184;0
3875;1979;5;0;8;0;19680;2;0;3;0;0;19;132;0
3875;1978;19;0;5;0;10920;1;2;0;0;0;21;78;0
3875;1977;19;0;17;0;56220;7;8;0;1;1;55;0;0
3875;1977;16;0;3;0;8640;0;3;0;0;0;15;518;0
3875;1976;16;0;3;0;8400;2;0;0;0;0;7;56;0
3875;1975;16;0;31;0;105780;11;17;1;2;0;113;971;0
3875;1974;16;0;11;0;38400;6;3;2;0;1;29;293;0
3876;1975;22;0;7;0;22620;0;5;1;1;0;32;229;0
3876;1974;22;0;35;0;108720;0;24;3;1;0;162;1165;0
3876;1972;14;0;23;0;67020;9;7;3;0;0;60;617;0
3882;1945;3;0;8;0;28800;3;5;0;0;0;31;0;0
3886;1929;6;0;14;0;45120;6;6;1;0;0;38;0;0
3886;1928;6;0;37;0;138000;14;16;7;0;11;57;0;0
3886;1927;6;0;44;0;161400;24;14;6;0;6;76;0;0
3886;1926;6;0;43;0;164880;20;19;4;0;13;65;0;0
3886;1925;6;0;36;0;137280;20;11;5;0;6;73;0;0
3886;1924;6;0;30;0;110580;9;19;2;0;2;65;0;0
3886;1923;2;0;22;0;81360;15;7;0;0;3;45;0;0
3886;1922;2;0;24;0;89160;14;9;1;0;4;54;0;0
3886;1921;2;0;24;0;90600;14;8;2;0;2;84;0;0
3886;1920;2;0;24;0;87720;14;10;0;0;2;75;0;0
3886;1919;2;0;24;0;86580;19;5;0;0;5;64;0;0
3886;1918;2;0;18;0;69120;12;6;0;0;2;53;0;0
3886;1917;2;0;22;0;80220;9;13;0;0;1;114;0;0
3886;1916;2;8;18;0;62040;0;0;0;0;0;47;553;0
3886;1915;2;8;24;0;82080;0;0;0;0;0;68;756;0
3886;1914;2;8;20;0;68400;0;0;0;0;0;60;632;0
3886;1913;2;8;9;0;30780;0;0;0;0;0;31;282;0
3886;1912;2;8;10;0;34200;0;0;0;0;0;33;330;0
3890;1944;5;0;25;0;88200;10;12;2;0;0;103;0;0
3908;1974;29;1;2;0;2160;0;0;0;0;0;3;16;0
3908;1973;29;1;3;0;83160;2;1;0;0;0;82;692;0
3921;1942;10;0;17;0;61200;4;10;3;0;1;89;0;0
3921;1937;6;0;48;0;178800;12;30;6;0;2;149;0;0
3921;1936;6;0;21;0;77400;12;6;3;0;1;47;0;0
3921;1935;6;0;32;0;118200;14;13;5;0;1;71;0;0
3921;1934;2;0;48;0;179400;11;31;6;0;3;144;0;0
3921;1933;2;0;48;0;180000;13;29;6;0;3;143;0;0
3921;1932;2;0;35;0;131700;7;19;8;0;5;95;0;0
3921;1930;2;0;9;0;31200;0;8;0;0;0;32;0;0
3921;1929;9;0;39;0;144600;14;20;5;0;2;109;0;0
3925;1946;8;0;41;0;147600;13;25;3;0;1;170;0;0
3925;1945;0;0;10;0;36000;4;6;0;0;0;30;0;0
3925;1945;5;0;16;0;57600;8;4;4;0;2;45;0;0
3925;1944;5;0;26;0;91800;6;18;2;0;0;116;0;0
3925;1943;3;0;29;0;104400;13;14;2;0;5;87;0;0
3925;1942;0;0;50;0;180600;19;19;12;0;1;191;0;0
3925;1941;0;0;38;0;142800;17;19;2;0;1;131;0;0
3925;1940;0;0;4;0;12600;1;2;0;0;0;15;0;0
3929;1954;0;0;1;0;3600;1;0;0;0;0;4;0;0
3930;1975;40;1;7;0;20100;0;6;0;0;0;32;212;0
3930;1974;40;1;17;0;46320;6;4;0;0;0;47;419;0
3930;1973;40;1;27;0;84720;14;9;1;1;1;77;776;0
3930;1972;40;1;30;0;102540;10;17;1;1;0;106;900;0
3930;1971;15;0;31;0;100380;7;15;5;4;0;98;836;0
3930;1970;15;0;34;0;112200;11;11;10;0;2;89;890;0
3930;1969;15;0;27;0;88620;10;13;1;0;3;79;692;0
3930;1968;15;0;50;0;173100;10;31;8;2;0;158;1609;0
3930;1967;15;0;54;0;188460;20;24;10;1;6;151;1585;0
3933;1949;5;0;1;0;3600;0;0;1;0;0;3;0;0
3948;1983;11;0;29;0;98040;9;11;5;1;0;118;891;0
3948;1982;11;0;9;0;25920;4;4;0;1;0;30;211;0
3948;1981;11;0;2;0;3060;0;0;0;0;0;2;32;0
3951;1975;39;1;1;0;1920;0;1;0;0;0;4;24;0
3951;1974;39;1;3;0;10740;2;1;0;2;1;7;70;0
3956;1973;40;1;5;0;7860;1;0;0;0;0;5;66;0
3956;1972;40;1;2;0;1680;0;0;0;0;0;3;17;0
3964;1959;9;0;3;0;10800;0;3;0;0;0;9;82;0
3993;1985;26;0;32;0;101760;11;14;2;1;2;107;790;0
3993;1984;25;0;29;0;104280;12;13;4;1;0;101;824;0
3993;1983;25;0;57;0;202380;29;18;8;2;1;180;1523;0
3993;1982;25;0;50;0;176820;20;21;8;1;1;197;1579;0
3993;1981;25;0;60;0;214320;27;22;11;2;1;230;1723;0
3993;1980;25;0;29;0;104400;19;5;5;1;2;92;0;0
3993;1980;19;0;14;0;45600;4;5;3;0;0;51;1318;0
3993;1979;19;0;53;0;184560;23;19;10;5;2;163;1598;0
3993;1978;19;0;64;0;217440;32;21;7;2;3;201;1810;0
3993;1977;19;0;58;0;200400;25;12;19;0;2;153;1431;0
3993;1976;19;0;42;0;142680;17;17;5;2;1;139;1131;0
