PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
97;17;17;3;3;180;1;2;0;92;85;7;2.33;1;.924;77
181;15;15;4;4;238;2;2;0;95;89;6;1.51;0;.937;78
14026;19;19;4;4;266;2;2;0;131;119;12;2.71;0;.908;74
420;229;229;4;4;239;1;3;0;104;93;11;2.76;1;.894;65
647;0;0;4;4;238;2;2;0;91;82;9;2.26;1;.901;69
819;20;20;4;4;239;2;2;0;102;90;12;3.01;0;.882;66
842;11;11;4;4;238;3;1;0;77;72;5;1.26;0;.935;73
958;25;25;2;2;119;1;1;0;53;49;4;2.01;0;.925;75
14509;22;22;4;4;240;2;2;0;116;106;10;2.50;1;.914;77
1285;217;217;4;4;239;2;2;0;123;111;12;3.00;0;.902;75
1552;17;17;1;1;60;1;0;0;27;26;1;1.00;0;.963;87
14996;21;21;4;4;243;1;3;0;149;133;16;3.93;0;.893;72
12032;23;23;4;4;265;2;2;0;127;115;12;2.71;0;.906;72
12510;25;25;2;2;173;1;1;0;105;101;4;1.38;0;.962;96
13105;8;8;4;4;249;2;2;0;110;98;12;2.88;1;.891;69
13114;224;224;4;4;292;2;2;0;165;155;10;2.05;0;.939;85
13550;16;16;4;4;249;2;2;0;120;112;8;1.93;0;.933;81
13559;216;216;1;1;60;1;0;0;36;32;4;4.00;0;.889;71
13702;216;216;3;3;185;2;1;0;96;86;10;3.24;0;.896;75
