PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
11977;19;19;3;3;180;2;1;0;76;67;9;2.99;0;.882;64
97;17;17;4;4;245;3;0;1;68;59;9;2.20;0;.868;57
172;3;3;7;7;430;0;5;2;210;185;25;3.49;0;.881;65
246;14;14;3;3;185;2;0;1;74;70;4;1.30;1;.946;83
14026;19;19;4;4;237;2;2;0;109;100;9;2.27;0;.917;76
341;221;221;1;1;60;1;0;0;21;18;3;3.00;0;.857;55
413;9;9;1;0;23;0;0;0;10;9;1;2.54;0;.900;57
420;229;229;4;4;244;1;2;1;95;84;11;2.70;0;.884;65
647;0;0;7;7;419;5;2;0;148;138;10;1.43;3;.932;78
684;18;18;3;3;179;1;2;0;99;90;9;3.01;0;.909;77
774;229;229;3;3;181;2;1;0;64;53;11;3.64;0;.828;50
813;220;220;5;5;282;2;2;1;152;139;13;2.76;1;.914;77
819;20;20;7;7;424;4;2;1;134;121;13;1.84;2;.903;68
1125;12;12;4;3;195;1;2;0;92;82;10;3.07;0;.891;65
1285;217;217;2;2;120;2;0;0;48;47;1;0.50;1;.979;94
1395;8;8;4;4;239;1;3;0;136;124;12;3.00;0;.912;80
1430;214;214;3;3;180;2;1;0;72;66;6;2.00;1;.917;76
1552;17;17;1;1;60;0;1;0;32;27;5;5.00;0;.844;52
1582;11;11;4;3;205;0;3;0;113;98;15;4.39;0;.867;61
13521;227;227;5;4;243;0;4;0;115;96;19;4.69;0;.835;50
1737;23;23;3;3;190;0;1;2;69;62;7;2.21;0;.899;68
1879;18;18;4;4;240;3;1;0;113;106;7;1.75;1;.938;85
14996;21;21;5;5;300;3;2;0;141;130;11;2.20;3;.922;81
12009;221;221;6;6;374;1;2;3;172;159;13;2.08;1;.924;80
12032;23;23;4;4;244;1;2;1;128;114;14;3.43;0;.891;70
12039;214;214;5;5;303;2;3;0;109;96;13;2.57;0;.881;62
12077;5;5;3;3;180;2;1;0;63;57;6;2.00;0;.905;70
12130;5;5;4;4;244;1;2;1;132;115;17;4.17;0;.871;64
12226;214;214;2;2;120;2;0;0;45;43;2;1.00;1;.956;87
12429;217;217;3;3;185;2;0;1;102;94;8;2.59;0;.922;85
12437;26;26;4;4;198;2;1;1;85;74;11;3.32;0;.871;58
12482;12;12;4;4;227;1;3;0;123;109;14;3.69;0;.886;69
12510;25;25;5;5;279;4;1;0;126;115;11;2.36;0;.913;75
12517;10;10;4;4;244;1;2;1;127;117;10;2.45;0;.921;81
12524;9;9;7;7;394;3;4;0;178;162;16;2.43;2;.910;74
12533;21;21;2;2;125;1;0;1;41;37;4;1.92;1;.902;69
12779;25;25;3;2;141;2;0;0;48;45;3;1.27;1;.938;71
13028;15;15;7;7;403;1;5;1;219;189;30;4.46;0;.863;61
13060;24;24;5;4;241;2;2;0;93;81;12;2.98;0;.871;58
13105;8;8;3;3;180;0;3;0;114;101;13;4.33;0;.886;72
13114;224;224;4;4;248;2;1;1;141;133;8;1.93;0;.943;92
13264;16;16;2;2;120;2;0;0;49;49;0;0.00;2;1.000;98
13528;227;227;4;3;181;0;2;1;109;96;13;4.30;0;.881;65
13535;220;220;3;2;142;1;1;0;71;65;6;2.53;0;.915;73
13550;16;16;5;5;299;4;1;0;114;104;10;2.00;1;.912;72
13559;216;216;4;4;238;3;1;0;93;83;10;2.51;0;.892;66
13702;216;216;3;3;180;3;0;0;68;65;3;1.00;1;.956;83
14140;230;230;7;7;408;0;6;1;206;182;24;3.52;0;.883;66
