PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
11977;19;19;4;3;212;1;2;1;99;88;11;3.11;0;.889;66
97;17;17;8;8;487;6;1;0;195;174;21;2.58;0;.892;67
172;3;3;2;0;24;0;0;0;8;8;0;0.00;0;1.000;55
181;15;15;13;13;789;8;3;2;303;276;27;2.05;1;.911;70
12389;14;14;14;14;849;6;6;2;398;355;43;3.04;1;.892;68
246;224;224;7;6;408;3;4;0;176;155;21;3.08;1;.881;64
14026;19;19;10;10;570;5;4;0;249;225;24;2.52;3;.904;72
341;221;221;1;0;6;0;0;0;3;3;0;0.00;0;1.000;53
420;229;229;11;10;622;3;4;3;267;243;24;2.31;0;.910;71
647;0;0;12;12;719;10;2;0;278;259;19;1.58;2;.932;78
661;22;22;1;0;15;0;0;0;5;4;1;3.93;0;.800;46
684;18;18;4;4;244;1;2;1;122;112;10;2.46;0;.918;77
774;229;229;3;3;171;2;1;0;72;63;9;3.15;0;.875;62
813;220;220;11;10;650;7;3;1;310;283;27;2.49;2;.913;75
819;20;20;14;14;843;7;6;1;407;366;41;2.92;0;.899;71
842;11;11;10;10;597;4;6;0;239;218;21;2.11;1;.912;72
958;3;3;15;15;873;5;10;0;500;451;49;3.37;1;.902;73
1125;12;12;7;6;332;1;3;1;183;169;14;2.52;1;.923;73
14509;22;22;14;14;835;10;2;2;417;384;33;2.37;1;.921;78
1285;217;217;10;10;597;3;7;0;306;274;32;3.21;0;.895;72
1395;8;8;5;3;234;1;2;0;105;94;11;2.81;0;.895;63
1430;10;10;6;6;364;3;2;1;174;160;14;2.30;1;.920;79
1452;20;20;2;2;119;1;1;0;54;50;4;2.00;0;.926;82
1469;230;230;7;7;420;4;3;0;214;188;26;3.71;0;.879;66
1552;17;17;7;7;430;5;0;2;163;151;12;1.67;3;.926;77
1582;11;11;5;5;310;2;1;1;138;129;9;1.74;2;.935;83
13521;227;227;10;9;510;2;7;0;266;237;29;3.41;0;.891;65
1737;23;23;6;6;368;1;3;2;170;153;17;2.77;0;.900;71
1879;18;18;11;11;656;4;7;0;361;331;30;2.74;0;.917;80
14996;21;21;9;9;550;5;2;2;249;224;25;2.73;1;.900;73
12009;221;221;16;16;956;10;5;0;406;377;29;1.82;4;.929;78
12032;23;23;8;8;487;4;3;1;200;184;16;1.97;0;.920;74
12039;214;214;10;10;595;2;8;0;278;245;33;3.32;0;.881;64
12077;5;5;8;8;475;2;6;0;241;221;20;2.52;2;.917;76
12130;5;5;6;6;358;1;5;0;180;162;18;3.02;0;.900;70
12226;214;214;4;4;244;2;1;0;113;106;7;1.72;1;.938;80
12429;217;217;3;3;180;2;1;0;84;79;5;1.67;1;.940;84
12437;26;26;8;8;474;2;4;2;213;189;24;3.03;1;.887;65
12482;12;12;11;10;630;6;4;0;309;278;31;2.95;1;.900;71
12491;0;0;1;1;60;1;0;0;23;22;1;1.00;0;.957;84
12510;25;25;12;11;677;4;7;0;317;285;32;2.83;0;.899;69
12517;10;10;8;8;478;3;5;0;253;229;24;3.01;0;.905;76
12524;9;9;14;14;850;5;6;3;413;378;35;2.47;0;.915;78
12533;21;21;6;6;363;3;2;1;180;171;9;1.49;2;.950;88
12779;25;25;6;5;285;2;3;0;151;130;21;4.41;0;.861;58
13028;15;15;1;1;60;1;0;0;18;16;2;1.99;0;.889;64
13060;24;24;13;12;722;3;9;0;321;281;40;3.32;1;.875;61
13105;8;8;11;11;607;5;5;1;293;259;34;3.36;0;.884;66
13114;224;224;7;7;368;2;4;0;167;147;20;3.26;0;.880;63
13264;16;16;1;1;59;0;1;0;27;26;1;1.01;0;.963;86
13528;227;227;5;4;275;0;3;1;126;105;21;4.58;0;.833;50
13529;26;26;8;7;431;2;5;0;194;169;25;3.48;1;.871;58
13535;220;220;5;4;195;1;2;0;86;74;12;3.68;0;.860;56
13550;16;16;13;13;784;8;4;1;354;324;30;2.30;0;.915;75
13559;216;216;5;4;260;4;0;0;118;113;5;1.15;0;.958;82
13702;216;216;10;10;584;7;2;1;256;237;19;1.95;3;.926;77
14140;230;230;6;6;369;2;2;2;192;179;13;2.11;0;.932;82
15759;24;24;4;3;176;1;2;0;86;74;12;4.09;0;.860;57
