PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
0;0;8;5;20;15;12;9;11;14;13;11;14;11;1;1;12;13;11;7;12;11;7;12;12;14;13;11;7;11;12;11;10;12;6;12;10;1;1;1;1;1;1;1;1;1;1;1;10;12;12;10;10;15;11;11;0;0;0.5;0.5
1;0;15;19;10;20;16;10;10;13;13;14;8;13;1;1;13;14;13;13;14;12;8;12;13;13;14;13;6;14;15;14;10;14;9;16;13;1;1;1;1;1;1;1;1;1;1;1;13;12;13;13;10;17;13;13;0;0;1;1.5
2;0;8;10;19;10;20;9;12;14;16;17;10;19;1;1;18;20;19;18;16;19;9;17;20;19;19;20;7;19;14;11;11;18;7;13;13;1;1;1;1;1;1;1;1;1;1;1;18;17;15;13;13;17;13;19;0;0;5;5
3;0;8;8;14;20;18;8;12;11;14;13;11;14;1;1;13;10;11;14;11;8;6;11;11;11;11;13;5;15;11;12;9;9;8;13;10;1;1;1;1;1;1;1;1;1;1;1;12;11;12;10;9;15;10;13;0;0;0.5;0.5
4;0;19;20;8;5;8;8;13;13;10;13;12;13;1;1;12;9;11;12;15;14;9;8;10;13;13;6;14;12;13;5;11;13;17;17;15;1;1;1;1;1;1;1;1;1;1;1;11;10;12;15;10;17;11;14;0;0;0.5;1
5;0;8;7;12;20;16;9;12;13;14;15;12;15;1;1;15;16;15;13;16;14;7;13;14;14;14;14;6;19;11;15;11;14;7;16;13;1;1;1;1;1;1;1;1;1;1;1;14;13;13;12;11;17;13;16;0;0;3;3
6;0;5;8;11;20;15;8;13;15;18;14;14;17;1;1;16;17;16;14;16;13;5;16;15;18;18;14;5;18;14;16;11;19;8;15;13;1;1;1;1;1;1;1;1;1;1;1;15;12;17;14;12;18;12;16;0;0;4;4
7;0;20;19;10;5;12;8;11;16;16;16;13;15;1;1;14;15;12;15;17;13;7;9;14;17;14;9;17;17;12;10;10;14;12;16;12;1;1;1;1;1;1;1;1;1;1;1;13;13;14;13;10;18;14;13;0;0;2;2
8;0;8;5;20;10;12;8;11;11;11;14;12;11;1;1;11;11;10;9;11;10;7;13;12;15;14;14;5;12;14;11;13;14;7;12;12;1;1;1;1;1;1;1;1;1;1;1;10;12;13;11;11;15;11;12;0;0;0.5;0.5
9;0;5;8;13;20;19;8;8;8;15;10;10;10;1;1;10;13;9;11;11;9;6;8;9;11;13;9;1;11;8;9;6;8;3;10;7;1;1;1;1;1;1;1;1;1;1;1;10;5;13;7;7;15;9;10;0;0;0.5;0.5
10;0;8;8;20;10;15;9;17;11;13;11;11;12;1;1;12;12;12;11;13;10;12;13;16;11;13;13;6;12;12;9;12;10;5;13;11;1;1;1;1;1;1;1;1;1;1;1;11;12;11;10;12;16;9;14;0;0;0.5;0.5
14024;0;14;20;5;5;8;8;9;10;10;11;9;10;1;1;13;11;13;12;13;14;8;8;14;15;15;12;16;15;11;8;11;13;10;17;12;1;1;1;1;1;1;1;1;1;1;1;12;14;11;12;10;16;11;12;0;0;0.5;1
12;0;8;5;13;20;10;8;8;4;7;5;1;4;1;1;3;1;4;1;2;2;4;7;3;8;4;7;1;4;4;2;8;5;1;2;3;1;1;1;1;1;1;1;1;1;1;1;2;4;9;3;6;10;8;3;0;0;0.5;0.5
14485;0;7;8;18;11;20;8;11;10;16;13;10;11;1;1;14;15;12;15;14;12;8;10;15;15;15;14;5;16;9;10;13;11;8;14;12;1;1;1;1;1;1;1;1;1;1;1;13;12;13;10;10;16;10;15;0;0;0.5;3
16494;0;7;8;18;10;20;12;10;7;8;11;2;8;1;1;8;7;10;9;8;13;8;11;8;9;9;8;1;8;10;5;12;8;3;8;8;1;1;1;1;1;1;1;1;1;1;1;9;5;9;7;11;13;10;8;0;0;0.5;1.5
