PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;1995;220;9999;5;1;0;0;0;0;0;0;0;63;0;4;2;2;8;4;3;1;4378;750;64;0;0
0;1994;220;9999;4;1;0;6;-2;0;0;0;0;65;0;14;5;2;11;6;3;3;3749;838;20;0;0
1;1990;11;9999;5;1;0;2;-4;0;0;0;0;57;0;4;34;15;6;4;4;2;4363;16;148;0;0
1;1991;11;9999;4;0;0;2;-2;0;0;0;0;57;0;5;8;6;2;1;0;0;2414;127;156;0;0
1;1992;11;9999;5;2;0;6;1;0;0;0;0;61;0;6;31;15;7;3;3;1;3539;82;372;0;0
1;1992;11;0;1;0;0;0;-2;0;0;0;0;42;0;1;12;5;1;2;0;0;884;59;8;0;0
1;1993;11;9999;4;2;0;2;2;0;0;2;0;65;1;12;21;5;5;3;1;2;2747;189;952;0;0
1;1994;11;9999;4;1;0;0;1;0;0;0;0;66;0;10;32;17;5;4;3;3;3236;83;221;0;0
2;1990;17;9999;5;2;3;2;4;0;0;0;0;73;0;13;0;0;11;3;3;1;4697;1100;180;0;0
2;1990;17;0;7;0;3;16;-3;0;3;0;0;64;0;14;1;1;7;1;3;2;5026;1133;0;2;0
2;1992;17;0;2;1;2;2;0;1;1;0;0;72;0;5;0;0;4;1;0;0;965;732;73;0;0
2;1993;17;0;7;3;6;7;5;2;2;0;0;78;1;24;4;3;8;9;5;4;5501;1579;222;1;0
2;1994;17;0;7;4;1;2;-1;1;0;0;0;74;1;23;17;11;11;2;5;5;5988;1888;172;0;0
2;1995;17;0;7;6;8;18;7;3;4;0;0;83;3;29;7;2;17;2;3;0;5436;2302;75;2;1
2;1996;17;0;7;7;3;4;0;6;0;0;0;81;2;26;23;11;13;5;9;2;6009;1969;47;0;0
2;1997;17;0;3;0;1;2;-2;0;1;0;0;70;0;4;2;1;3;5;2;3;1820;844;127;0;0
2;1998;17;0;4;2;2;0;1;0;0;0;0;86;0;11;3;0;8;4;2;0;3057;1656;51;0;0
3;1990;26;9999;4;2;0;0;1;0;0;0;0;62;1;7;27;15;0;3;2;4;2702;37;22;0;0
3;1991;22;9999;5;1;1;2;1;0;1;0;0;65;1;8;77;40;8;1;4;0;4654;1053;83;0;0
4;1992;20;9999;5;0;1;0;-3;0;0;0;0;52;0;4;0;0;4;0;3;10;5403;94;324;0;0
4;1993;20;9999;4;1;2;0;3;0;0;1;0;68;1;5;0;0;4;3;1;14;5110;26;490;0;0
4;1994;20;9999;4;0;2;10;-3;0;0;0;0;66;0;1;0;0;13;0;0;6;4444;451;474;2;1
4;1995;20;9999;4;0;1;4;-2;0;0;0;0;67;0;1;0;0;8;2;2;7;4291;171;736;0;0
4;1996;20;9999;4;0;1;9;-1;0;1;0;0;71;0;4;0;0;4;1;4;14;4741;236;489;1;0
4;1997;20;9999;4;0;0;0;-3;0;0;0;0;59;0;1;0;0;6;0;1;8;4534;101;536;0;0
5;1992;26;9999;5;1;2;16;3;0;0;0;0;67;1;16;57;32;8;3;2;1;4255;1099;33;2;1
5;1992;26;0;7;3;0;2;-1;0;0;0;0;64;0;5;54;29;1;2;4;3;3869;700;58;0;0
5;1993;26;9999;4;1;1;0;2;0;0;0;0;64;0;5;32;12;7;3;2;2;3676;63;49;0;0
5;1994;12;0;7;1;1;2;-1;0;0;0;0;60;0;5;50;30;2;1;2;0;3494;68;319;0;0
