PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;2000;159;5;7;2;4;18;1;2;0;0;0;59;0;10;11;7;4;4;4;2;2760;60;60;0;0
0;1999;159;5;48;22;29;75;0;7;5;0;1;56;2;86;58;48;46;33;14;20;17580;480;120;1;1
0;1998;159;5;46;23;21;65;-3;6;4;0;1;60;2;97;63;46;47;18;13;15;17100;420;360;1;0
0;1997;159;5;46;20;30;82;7;5;3;0;3;59;3;96;68;39;53;15;21;17;15960;600;180;2;1
0;1996;159;5;38;21;23;66;-10;3;7;4;0;60;0;83;59;38;34;15;16;16;27720;2280;2220;2;0
0;1995;222;3;79;30;46;139;2;8;14;2;1;62;8;156;117;79;84;30;39;38;60720;4740;4320;5;2
0;1989;179;6;68;27;32;97;-5;5;11;1;2;54;3;108;88;0;40;39;22;30;23520;720;420;3;0
0;1990;179;6;68;22;49;88;-7;3;14;0;2;59;1;118;91;0;56;29;19;24;26340;600;300;0;0
0;1991;179;6;66;37;60;108;4;7;9;3;0;60;3;139;111;66;72;33;34;39;42900;3060;2400;4;4
0;1992;179;6;66;46;54;105;-6;10;11;1;1;65;6;161;110;66;69;27;29;46;51420;3960;3480;3;1
0;1993;222;3;76;23;43;133;-9;5;8;0;1;61;3;132;122;0;86;37;33;28;26940;1140;420;1;0
0;1993;220;0;8;1;2;2;-2;0;1;0;0;62;0;8;12;7;11;5;2;1;6111;336;114;0;0
0;1994;222;3;82;28;33;145;-7;5;5;1;3;61;1;160;125;0;90;35;35;30;63540;4920;4200;3;3
1;2000;5;0;2;0;0;0;-1;0;0;0;0;66;0;2;12;4;1;0;4;4;1432;53;109;0;0
1;1989;179;6;67;16;42;89;1;5;12;1;1;55;0;72;399;134;34;39;20;27;24780;600;360;1;0
1;1990;62;3;80;16;31;113;4;0;7;0;3;56;2;77;417;114;58;42;36;40;29460;1320;600;1;1
1;1991;62;3;80;15;30;100;-2;2;9;1;1;57;3;78;441;160;46;50;41;34;29640;1020;540;0;0
1;1992;62;3;81;23;46;149;-9;11;9;0;2;61;3;106;454;162;48;26;44;42;29760;540;240;3;1
1;1993;154;5;39;17;29;68;-6;4;5;0;1;65;2;58;291;117;28;21;21;20;30360;2340;2040;2;1
1;1994;62;3;81;16;34;123;-2;3;11;0;1;60;4;99;571;243;52;34;54;39;50280;3660;3060;2;1
1;1995;62;3;81;16;40;141;-3;3;9;1;2;62;1;117;595;243;55;31;55;46;61860;4860;4200;1;1
