PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
2;17;17;9;1;5;4;4;1;0;0;0;0;0;11;8;3;6;80;74;72;25;9502;1332;0;104.1;3.0;1.5;27.7;22.0;143;115;55.4;4.2;84;68;55.3;4.8;0;0;0
6;221;221;5;3;1;-3;4;2;1;1;0;0;0;5;3;2;4;73;67;75;9;5076;1018;587;91.3;0.7;3.5;20.6;29.1;73;65;52.9;2.5;36;47;43.4;1.4;1;89;48
23;3;3;9;1;3;4;4;0;0;0;0;0;0;12;15;4;3;70;65;66;19;8921;275;34;103.7;2.8;1.2;31.9;23.4;130;111;53.9;10.4;93;69;57.4;10.2;1;1;1
28;19;19;6;0;2;-3;2;0;0;0;0;0;0;17;0;1;2;65;62;63;12;6110;141;67;97.0;2.4;4.1;25.9;34.2;76;79;49.0;6.8;51;64;44.3;5.7;0;2;0
32;19;19;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;58;53;66;1;505;0;40;200.0;7.1;0.0;7.1;21.4;3;7;30.0;-20.0;1;3;25.0;-20.2;0;1;0
46;24;24;5;0;1;-2;2;0;0;0;0;0;0;2;1;5;1;61;53;69;1;3593;203;0;95.6;1.0;3.0;18.0;30.1;35;62;36.1;-7.4;21;38;35.6;-8.9;0;42;23
49;25;25;10;0;1;0;6;0;0;0;0;0;0;14;8;7;4;64;59;69;25;7875;460;177;94.5;1.4;1.4;30.6;13.7;110;70;61.1;4.5;74;39;65.5;6.2;0;14;7
55;221;221;5;0;0;-2;0;0;0;0;0;0;0;5;1;4;5;62;56;62;5;4653;43;145;97.2;2.3;3.9;20.9;27.8;53;57;48.2;-4.3;29;41;41.4;-1.4;0;0;0
74;24;24;5;0;1;-4;0;0;0;0;0;0;0;4;3;4;4;64;51;74;7;4322;0;763;94.8;0.8;4.2;14.2;37.5;29;66;30.5;-14.5;19;51;27.1;-20.5;0;43;19
76;20;20;2;0;0;-1;5;0;0;0;0;0;0;2;0;0;1;53;50;59;1;1735;33;225;93.3;0.0;2.1;12.4;31.1;14;27;34.1;-10.6;7;17;29.2;-9.7;0;0;0
100;214;214;1;0;1;-1;0;0;0;0;0;0;0;0;0;0;0;47;60;37;0;906;57;0;115.2;4.0;7.9;11.9;43.7;9;19;32.1;-9.3;4;13;23.5;-11.5;0;0;0
107;15;15;1;0;0;0;0;0;0;0;0;0;0;2;0;2;4;79;55;95;0;1096;49;39;100.0;3.3;3.3;19.7;19.7;13;16;44.8;0.0;8;8;50.0;4.8;0;0;0
109;21;21;3;1;0;-3;0;0;0;0;0;0;0;3;4;0;3;58;60;51;7;2695;114;120;90.0;2.7;6.7;26.7;33.4;35;44;44.3;-8.4;23;30;43.4;-9.9;0;5;1
116;20;20;7;0;1;-1;0;0;0;0;0;0;0;1;2;1;4;58;54;61;1;4424;0;0;99.5;0.8;1.6;17.9;32.5;47;64;42.3;0.8;31;44;41.3;2.9;0;1;1
134;3;3;9;0;4;3;20;0;0;0;0;4;1;12;3;6;31;73;53;82;11;11773;486;1155;102.7;2.8;1.8;26.6;24.2;163;162;50.2;5.9;104;98;51.5;1.6;0;0;0
146;18;18;6;0;0;-3;2;0;0;0;0;0;0;7;2;3;15;64;55;74;10;6414;459;351;91.9;0.0;1.7;19.1;20.8;62;73;45.9;-1.9;44;41;51.8;3.6;0;0;0
147;26;26;6;0;2;2;2;0;0;0;0;0;0;16;6;4;1;74;68;71;19;6055;1151;0;102.4;3.6;2.4;31.5;26.8;106;82;56.4;10.7;62;49;55.9;9.2;0;0;0
11979;221;221;5;2;2;-2;2;1;1;0;1;0;0;8;2;3;6;67;61;69;12;5252;950;843;93.0;0.7;2.7;19.2;26.0;77;58;57.0;8.8;34;45;43.0;0.9;0;0;0
168;11;11;10;1;1;1;2;0;0;0;0;0;0;3;2;1;2;57;52;61;3;4261;68;0;101.2;1.7;0.8;30.4;19.4;65;42;60.7;6.8;38;27;58.5;6.3;1;57;29
177;0;0;9;0;4;0;8;0;0;0;0;0;0;20;8;6;6;68;63;73;22;11052;335;569;98.5;2.6;2.6;33.9;28.3;182;161;53.1;0.3;119;105;53.1;0.5;0;19;10
191;11;11;10;2;3;1;10;0;0;0;0;0;0;17;3;6;5;64;60;64;28;11428;795;610;98.2;2.8;2.5;32.4;23.9;182;118;60.7;9.4;118;92;56.2;5.5;0;1;0
206;25;25;10;4;5;0;2;0;1;0;0;0;0;15;8;3;6;76;70;63;32;9797;1632;45;94.3;3.7;3.7;32.0;21.3;154;107;59.0;2.1;106;64;62.4;2.6;0;3;1
217;214;214;9;0;1;-1;14;0;0;0;0;2;0;11;7;5;6;62;54;72;10;7621;17;881;99.9;0.9;1.4;16.1;23.6;60;102;37.0;-3.8;40;56;41.7;-1.1;0;1;0
225;23;23;10;1;0;-1;4;0;0;0;0;0;0;9;8;1;1;60;57;60;10;6883;48;180;98.5;0.5;1.0;23.0;27.7;88;91;49.2;1.5;50;63;44.2;-5.1;0;3;1
240;19;19;6;3;1;2;0;0;0;0;0;0;0;4;3;6;3;69;62;71;9;5584;644;11;108.0;3.9;2.6;23.2;29.7;74;69;51.7;10.3;50;50;50.0;13.2;0;73;35
260;15;15;11;1;3;5;4;0;0;0;0;0;0;15;1;12;13;63;56;70;18;13710;147;878;99.6;3.4;2.1;29.9;17.9;194;126;60.6;6.2;133;86;60.7;2.6;0;1;0
293;23;23;10;0;1;-1;2;0;0;0;0;0;0;4;6;4;3;58;52;66;6;5854;40;145;98.1;0.6;1.2;24.0;27.7;69;80;46.3;-2.0;42;57;42.4;-7.2;0;67;41
11983;8;8;5;1;1;0;2;0;0;0;0;0;0;8;6;4;1;66;55;74;6;5155;633;0;100.2;1.4;1.4;21.6;22.3;72;53;57.6;-2.8;37;38;49.3;-6.2;0;63;36
331;26;26;6;0;1;-3;2;0;0;0;0;0;0;8;2;2;22;67;51;76;6;7346;59;227;94.8;0.5;2.0;24.0;27.0;100;104;49.0;0.1;63;63;50.0;1.0;0;0;0
339;19;19;6;0;0;-3;0;0;0;0;0;0;0;1;2;1;2;52;51;55;1;2359;0;841;94.6;3.1;7.6;19.8;36.6;30;36;45.5;1.3;15;28;34.9;-6.4;0;0;0
353;17;17;9;6;6;10;0;0;1;0;0;0;0;20;6;1;1;78;77;60;19;9406;231;33;112.4;5.7;1.9;27.2;21.8;132;95;58.1;7.9;80;70;53.3;2.0;2;4;1
363;19;19;4;1;1;-1;0;0;0;0;0;0;0;7;0;0;0;57;56;47;2;1932;0;0;102.4;3.7;5.6;22.4;39.1;23;31;42.6;-1.8;13;25;34.2;-7.6;0;0;0
12993;18;18;6;1;0;-9;0;1;0;0;0;0;0;8;1;11;16;70;61;78;17;8375;1051;436;86.0;0.4;3.9;24.1;24.5;103;102;50.2;4.9;66;67;49.6;0.9;0;0;0
378;24;24;5;0;1;-4;0;0;0;0;0;0;0;6;0;2;5;64;59;70;4;4374;204;861;92.6;0.8;4.1;17.3;33.7;39;72;35.1;-9.0;25;51;32.9;-13.3;0;20;9
401;221;221;5;1;0;-2;0;1;0;0;0;0;0;1;4;1;0;53;50;54;8;2432;39;563;88.9;0.0;3.0;28.1;26.6;39;31;55.7;5.4;23;24;48.9;8.0;0;20;10
402;3;3;9;2;1;1;2;0;0;0;0;0;0;7;7;6;5;66;52;76;7;6939;0;1427;105.4;2.1;1.6;17.6;24.4;62;102;37.8;-11.2;43;59;42.2;-10.4;1;103;50
412;17;17;9;0;5;2;4;0;2;0;0;0;0;13;2;1;10;64;58;69;13;9037;236;201;106.0;2.8;2.0;22.3;30.7;105;119;46.9;-8.2;61;90;40.4;-16.8;0;0;0
13495;18;18;6;0;1;3;2;0;0;0;0;0;0;6;2;2;25;70;51;80;8;6991;24;781;107.0;3.6;2.1;24.7;27.3;82;99;45.3;-3.2;55;63;46.6;-3.9;0;0;0
12995;15;15;11;3;8;-1;10;2;4;0;0;0;0;30;2;3;3;81;80;73;31;11876;1519;0;92.3;2.1;2.4;33.6;17.3;183;118;60.8;6.2;124;71;63.6;6.8;1;6;3
425;8;8;3;0;0;-1;0;0;0;0;0;0;0;4;1;4;4;66;57;77;4;3400;0;341;92.9;0.0;1.1;14.8;14.8;37;28;56.9;-5.0;20;17;54.1;3.1;0;0;0
431;18;18;6;0;0;-4;2;0;0;0;0;0;0;6;7;5;2;62;49;71;8;4830;50;926;89.2;0.0;3.0;17.1;27.6;44;67;39.6;-9.9;23;42;35.4;-17.1;0;71;40
