PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
2;17;17;2;1;1;1;0;1;0;0;0;0;0;6;0;0;1;77;69;71;3;1087;516;151;116.7;3.3;0.0;19.9;33.1;11;14;44.0;2.4;8;11;42.1;-0.4;1;6;2
5;12;12;7;1;4;-1;8;0;0;1;0;0;0;6;6;3;2;65;57;72;12;5431;2002;639;97.5;2.7;2.7;31.8;24.5;88;67;56.8;5.7;56;39;58.9;8.9;0;89;47
6;221;221;7;3;3;2;2;1;2;0;0;0;0;7;8;7;2;70;62;76;8;6021;1616;1030;103.5;3.6;2.4;24.5;21.5;87;61;58.8;5.2;50;39;56.2;1.5;1;127;70
7;16;16;3;0;2;1;4;0;1;0;0;0;0;5;1;3;5;70;65;75;6;3048;690;240;104.4;2.4;1.2;33.1;42.5;45;52;46.4;0.7;32;41;43.8;-2.7;0;0;0
23;3;3;7;0;4;2;0;0;1;0;0;0;0;10;6;4;3;71;67;70;10;6412;804;27;105.2;2.2;1.1;23.0;24.7;74;84;46.8;2.3;51;53;49.0;0.1;0;0;0
28;19;19;6;2;2;0;2;0;1;0;0;0;0;13;8;2;2;68;61;73;16;6159;436;215;101.0;1.8;1.8;25.1;29.2;80;97;45.2;-4.4;52;63;45.2;-4.2;1;16;6
32;19;19;1;0;0;0;0;0;0;0;0;0;0;2;2;0;3;74;46;89;2;660;156;109;100.0;0.0;0.0;16.3;38.1;5;14;26.3;-22.9;4;8;33.3;-8.5;0;0;0
38;224;224;7;0;1;-4;4;0;0;0;0;0;0;6;4;3;2;59;54;59;9;5482;193;0;91.1;0.7;3.3;24.3;28.2;53;76;41.1;-9.7;40;49;44.9;-4.7;0;0;0
46;24;24;7;2;0;2;0;0;0;0;0;0;0;1;4;3;1;62;55;69;7;5768;694;33;109.3;2.5;1.2;17.5;25.0;57;67;46.0;-5.1;35;44;44.3;-10.1;1;55;30
49;25;25;7;0;1;-1;5;0;0;0;0;1;0;14;4;4;8;66;59;74;21;5793;178;284;97.1;0.6;1.2;27.3;24.2;78;75;51.0;-4.4;53;48;52.5;-4.3;0;6;2
55;216;216;4;1;0;-1;4;0;0;0;0;0;0;6;2;0;2;55;52;62;8;3219;0;167;94.1;1.1;2.2;40.3;25.7;61;31;66.3;2.4;41;26;61.2;-3.2;0;0;0
12991;17;17;7;1;1;-3;2;0;1;0;0;0;0;8;7;1;2;62;60;61;6;2898;623;232;97.9;1.2;2.5;23.6;33.5;35;39;47.3;-0.3;23;30;43.4;-6.8;0;1;0
73;12;12;3;1;0;0;6;0;0;0;0;0;0;9;4;1;2;74;54;71;7;2691;324;0;99.6;2.7;2.7;30.8;29.4;34;35;49.3;-1.4;25;30;45.5;-13.1;0;1;1
74;24;24;7;1;2;-2;4;0;0;0;0;0;0;5;11;6;6;61;51;69;9;5858;202;1409;95.1;1.8;3.1;23.4;24.0;69;75;47.9;-2.6;45;45;50.0;-2.7;0;59;33
107;15;15;4;0;1;-2;12;0;0;0;0;2;1;7;0;4;3;66;55;75;4;3788;989;869;101.7;1.0;1.9;15.2;41.8;39;67;36.8;-5.3;23;54;29.9;-13.6;0;0;0
109;21;21;7;0;1;6;5;0;0;0;0;1;1;8;4;4;2;64;56;68;7;4009;140;123;120.0;5.4;0.0;26.9;20.6;48;50;49.0;-9.6;37;31;54.4;-1.1;0;3;1
