PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
2;17;17;31;18;18;14;17;3;3;0;0;1;0;56;37;25;8;82;76;70;139;27760;8950;159;102.4;4.8;2.5;36.4;23.0;439;303;59.2;4.8;313;209;60.0;7.0;4;46;18
5;12;12;34;6;6;-10;19;2;1;0;0;1;0;35;18;33;13;66;57;73;75;24873;6801;1416;95.1;2.0;3.3;26.1;26.3;306;314;49.4;2.3;206;212;49.3;3.6;0;309;165
6;221;221;32;14;15;3;15;7;9;1;0;1;0;25;19;37;20;74;66;81;68;25561;8956;5211;101.2;2.4;1.5;27.9;20.8;354;263;57.4;2.1;250;177;58.5;2.1;4;573;302
7;19;19;33;1;9;-1;10;0;1;0;1;0;0;32;6;22;39;66;61;68;45;33027;2685;2774;97.9;2.0;2.2;25.9;22.7;418;387;51.9;4.9;277;256;52.0;5.0;1;0;0
14485;5;5;12;1;4;-3;6;0;1;0;0;0;0;17;5;2;2;64;59;58;13;8251;187;38;96.9;1.3;2.6;24.0;30.5;129;126;50.6;3.2;73;88;45.3;-2.1;0;0;0
21;9;9;9;0;1;-2;7;0;0;0;0;1;0;7;2;6;13;62;50;69;6;7881;39;387;96.7;0.5;1.8;13.7;27.4;64;116;35.6;-8.1;35;79;30.7;-10.1;0;0;0
23;3;3;36;11;9;8;12;0;1;0;0;0;0;47;20;16;17;71;67;64;73;31033;2413;308;101.4;3.2;2.3;31.2;25.8;465;398;53.9;3.3;303;258;54.0;1.0;2;7;3
28;0;0;32;7;8;5;20;0;0;0;0;0;0;62;21;14;10;63;58;65;71;26672;1746;1302;101.5;3.1;2.3;28.5;24.3;385;340;53.1;-3.8;257;213;54.7;-3.2;0;15;7
32;19;19;25;1;3;3;10;0;0;1;0;0;0;21;4;4;3;58;52;64;26;12126;230;834;102.0;1.8;1.2;25.5;23.7;137;156;46.8;-4.5;99;99;50.0;-0.1;0;0;0
38;217;217;33;1;8;-10;54;0;0;0;0;2;0;38;10;8;10;59;54;61;31;18982;1760;95;95.5;1.9;3.8;22.0;28.8;211;266;44.2;-7.4;140;182;43.5;-7.9;0;0;0
46;24;24;32;4;6;-9;29;2;2;0;0;3;1;38;18;19;15;64;56;72;44;26935;3836;553;99.1;1.6;2.5;20.0;28.5;249;375;39.9;-6.3;178;242;42.4;-5.2;0;320;134
