League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2000-8-14;8;0;10;7;Prospect Tournament;1;0;0;20063
0;2000-8-14;20;4;11;0;Prospect Tournament;1;0;0;20093
0;2000-8-14;3;3;23;0;Prospect Tournament;1;0;0;20062
0;2000-8-14;5;2;14;1;Prospect Tournament;1;0;0;20047
0;2000-8-14;24;4;217;0;Prospect Tournament;1;0;0;20049
0;2000-8-14;229;0;21;0;Prospect Tournament;1;1;0;20079
0;2000-8-14;25;2;221;5;Prospect Tournament;1;0;0;20077
0;2000-8-14;12;2;227;2;Prospect Tournament;1;1;0;20048
0;2000-8-14;26;2;214;2;Prospect Tournament;1;1;0;20078
0;2000-8-14;216;1;9;4;Prospect Tournament;1;0;0;20094
0;2000-8-14;18;1;224;4;Prospect Tournament;1;0;0;20109
0;2000-8-14;230;3;0;1;Prospect Tournament;1;0;0;20064
0;2000-8-14;19;1;220;4;Prospect Tournament;1;0;0;20108
0;2000-8-14;15;2;17;5;Prospect Tournament;1;0;0;20107
0;2000-8-14;22;2;16;4;Prospect Tournament;1;0;0;20092
0;2000-8-15;14;1;217;2;Prospect Tournament;1;0;0;20051
0;2000-8-15;15;5;220;3;Prospect Tournament;1;0;0;20110
0;2000-8-15;19;2;18;5;Prospect Tournament;1;0;0;20112
0;2000-8-15;5;4;227;1;Prospect Tournament;1;0;0;20050
0;2000-8-15;8;3;230;8;Prospect Tournament;1;0;0;20067
0;2000-8-15;23;1;0;4;Prospect Tournament;1;0;0;20066
0;2000-8-15;17;3;224;2;Prospect Tournament;1;0;0;20111
0;2000-8-15;26;0;229;7;Prospect Tournament;1;0;0;20082
0;2000-8-15;22;2;11;1;Prospect Tournament;1;0;0;20095
0;2000-8-15;16;2;9;1;Prospect Tournament;1;0;0;20096
0;2000-8-15;221;8;21;3;Prospect Tournament;1;0;0;20081
0;2000-8-15;12;1;24;1;Prospect Tournament;1;1;0;20052
0;2000-8-15;25;1;214;4;Prospect Tournament;1;0;0;20080
0;2000-8-15;3;1;10;4;Prospect Tournament;1;0;0;20065
0;2000-8-15;20;1;216;2;Prospect Tournament;1;0;0;20097
0;2000-8-16;15;2;224;5;Prospect Tournament;1;0;0;20113
0;2000-8-16;16;5;20;0;Prospect Tournament;1;0;0;20100
0;2000-8-16;221;4;26;5;Prospect Tournament;1;0;0;20085
0;2000-8-16;220;1;18;4;Prospect Tournament;1;0;0;20114
0;2000-8-16;22;4;9;3;Prospect Tournament;1;1;0;20098
0;2000-8-16;11;2;216;0;Prospect Tournament;1;0;0;20099
0;2000-8-16;214;5;229;2;Prospect Tournament;1;0;0;20084
0;2000-8-16;25;5;21;1;Prospect Tournament;1;0;0;20083
0;2000-8-16;17;1;19;2;Prospect Tournament;1;0;0;20115
0;2000-8-16;5;2;217;1;Prospect Tournament;1;0;0;20053
0;2000-8-16;10;1;230;2;Prospect Tournament;1;0;0;20069
0;2000-8-16;227;2;24;2;Prospect Tournament;1;1;0;20054
0;2000-8-16;14;3;12;2;Prospect Tournament;1;1;0;20055
0;2000-8-16;3;4;0;3;Prospect Tournament;1;1;0;20068
0;2000-8-16;23;4;8;2;Prospect Tournament;1;0;0;20070
0;2000-8-17;22;5;216;1;Prospect Tournament;1;0;0;20101
0;2000-8-17;21;6;26;1;Prospect Tournament;1;0;0;20087
0;2000-8-17;25;5;229;3;Prospect Tournament;1;0;0;20086
0;2000-8-17;214;3;221;4;Prospect Tournament;1;0;0;20088
0;2000-8-17;0;5;8;1;Prospect Tournament;1;0;0;20072
0;2000-8-17;10;4;23;7;Prospect Tournament;1;0;0;20073
0;2000-8-17;3;5;230;6;Prospect Tournament;1;1;0;20071
0;2000-8-17;11;2;16;7;Prospect Tournament;1;0;0;20103
0;2000-8-17;220;4;17;1;Prospect Tournament;1;0;0;20118
0;2000-8-17;15;0;18;3;Prospect Tournament;1;0;0;20116
0;2000-8-17;5;2;24;0;Prospect Tournament;1;0;0;20056
0;2000-8-17;9;1;20;7;Prospect Tournament;1;0;0;20102
0;2000-8-17;224;1;19;1;Prospect Tournament;1;1;0;20117
0;2000-8-17;217;6;12;4;Prospect Tournament;1;0;0;20057
0;2000-8-17;227;3;14;0;Prospect Tournament;1;0;0;20058
0;2000-8-18;3;6;8;3;Prospect Tournament;1;0;0;20074
0;2000-8-18;9;0;11;3;Prospect Tournament;1;0;0;20106
0;2000-8-18;216;0;16;6;Prospect Tournament;1;0;0;20105
0;2000-8-18;0;6;10;0;Prospect Tournament;1;0;0;20076
0;2000-8-18;230;9;23;1;Prospect Tournament;1;0;0;20075
0;2000-8-18;5;0;12;5;Prospect Tournament;1;0;0;20059
0;2000-8-18;24;3;14;2;Prospect Tournament;1;0;0;20060
0;2000-8-18;217;3;227;4;Prospect Tournament;1;0;0;20061
0;2000-8-18;21;5;214;0;Prospect Tournament;1;0;0;20091
0;2000-8-18;25;1;26;2;Prospect Tournament;1;0;0;20089
0;2000-8-18;224;4;220;2;Prospect Tournament;1;0;0;20121
0;2000-8-18;229;2;221;1;Prospect Tournament;1;0;0;20090
0;2000-8-18;18;3;17;4;Prospect Tournament;1;0;0;20120
0;2000-8-18;22;1;20;1;Prospect Tournament;1;1;0;20104
0;2000-8-18;15;1;19;4;Prospect Tournament;1;0;0;20119
0;2000-9-20;9;0;10;7;Pre-Season;1;0;0;19856
0;2000-9-20;25;4;14;7;Pre-Season;1;0;0;19858
0;2000-9-20;17;7;230;2;Pre-Season;1;0;0;19862
0;2000-9-20;227;2;220;7;Pre-Season;1;0;0;19854
0;2000-9-20;5;2;23;2;Pre-Season;1;1;0;19864
0;2000-9-20;217;4;8;3;Pre-Season;1;0;0;19860
0;2000-9-20;16;6;11;0;Pre-Season;1;0;0;19840
0;2000-9-20;19;4;20;2;Pre-Season;1;0;0;19866
0;2000-9-20;21;5;26;0;Pre-Season;1;0;0;19842
0;2000-9-20;224;2;214;1;Pre-Season;1;1;0;19852
0;2000-9-20;0;3;18;1;Pre-Season;1;0;0;19844
0;2000-9-20;216;9;24;0;Pre-Season;1;0;0;19848
0;2000-9-20;229;3;12;2;Pre-Season;1;1;0;19850
0;2000-9-20;3;2;221;2;Pre-Season;1;1;0;19846
0;2000-9-20;15;5;22;3;Pre-Season;1;0;0;19838
0;2000-9-21;26;7;11;4;Pre-Season;1;0;0;19882
0;2000-9-21;18;1;5;2;Pre-Season;1;0;0;19884
0;2000-9-21;0;2;216;5;Pre-Season;1;0;0;19880
0;2000-9-21;214;3;221;5;Pre-Season;1;0;0;19886
0;2000-9-21;230;2;3;2;Pre-Season;1;1;0;19890
0;2000-9-21;20;6;24;0;Pre-Season;1;0;0;19892
0;2000-9-21;8;6;15;1;Pre-Season;1;0;0;19888
0;2000-9-21;227;0;17;4;Pre-Season;1;0;0;19894
0;2000-9-21;10;0;224;3;Pre-Season;1;0;0;19896
0;2000-9-21;220;2;23;2;Pre-Season;1;1;0;19868
0;2000-9-21;229;0;21;5;Pre-Season;1;0;0;19870
0;2000-9-21;19;2;217;3;Pre-Season;1;0;0;19878
0;2000-9-21;22;6;16;4;Pre-Season;1;0;0;19876
0;2000-9-21;14;3;9;1;Pre-Season;1;0;0;19872
0;2000-9-21;12;2;25;3;Pre-Season;1;1;0;19874
0;2000-9-23;24;0;0;4;Pre-Season;1;0;0;19916
0;2000-9-23;21;5;227;0;Pre-Season;1;0;0;19918
0;2000-9-23;16;4;20;1;Pre-Season;1;0;0;19920
0;2000-9-23;25;7;5;2;Pre-Season;1;0;0;19922
0;2000-9-23;9;1;19;0;Pre-Season;1;0;0;19924
0;2000-9-23;3;0;18;6;Pre-Season;1;0;0;19900
0;2000-9-23;230;2;214;5;Pre-Season;1;0;0;19914
0;2000-9-23;26;2;12;3;Pre-Season;1;0;0;19902
0;2000-9-23;216;3;10;1;Pre-Season;1;0;0;19912
0;2000-9-23;221;5;8;0;Pre-Season;1;0;0;19904
0;2000-9-23;23;3;17;6;Pre-Season;1;0;0;19908
0;2000-9-23;15;3;220;4;Pre-Season;1;0;0;19910
0;2000-9-23;217;3;224;3;Pre-Season;1;1;0;19906
0;2000-9-23;14;3;229;5;Pre-Season;1;0;0;19898
0;2000-9-23;11;0;22;3;Pre-Season;1;0;0;19926
0;2000-9-24;18;0;221;0;Pre-Season;0;0;0;19940
0;2000-9-24;3;0;14;0;Pre-Season;0;0;0;19938
0;2000-9-24;19;0;11;0;Pre-Season;0;0;0;19934
0;2000-9-24;0;0;227;0;Pre-Season;0;0;0;19932
0;2000-9-24;22;0;230;0;Pre-Season;0;0;0;19930
0;2000-9-24;8;0;217;0;Pre-Season;0;0;0;19942
0;2000-9-24;224;0;216;0;Pre-Season;0;0;0;19936
0;2000-9-24;24;0;9;0;Pre-Season;0;0;0;19952
0;2000-9-24;23;0;26;0;Pre-Season;0;0;0;19954
0;2000-9-24;5;0;16;0;Pre-Season;0;0;0;19944
0;2000-9-24;25;0;21;0;Pre-Season;0;0;0;19956
0;2000-9-24;17;0;12;0;Pre-Season;0;0;0;19928
0;2000-9-24;214;0;220;0;Pre-Season;0;0;0;19948
0;2000-9-24;20;0;15;0;Pre-Season;0;0;0;19946
0;2000-9-24;10;0;229;0;Pre-Season;0;0;0;19950
0;2000-9-26;12;0;20;0;Pre-Season;0;0;0;19978
0;2000-9-26;15;0;25;0;Pre-Season;0;0;0;19980
0;2000-9-26;227;0;21;0;Pre-Season;0;0;0;19984
0;2000-9-26;217;0;8;0;Pre-Season;0;0;0;19976
0;2000-9-26;14;0;23;0;Pre-Season;0;0;0;19986
0;2000-9-26;3;0;18;0;Pre-Season;0;0;0;19982
0;2000-9-26;9;0;17;0;Pre-Season;0;0;0;19958
0;2000-9-26;221;0;10;0;Pre-Season;0;0;0;19960
0;2000-9-26;229;0;11;0;Pre-Season;0;0;0;19962
0;2000-9-26;5;0;22;0;Pre-Season;0;0;0;19974
0;2000-9-26;230;0;24;0;Pre-Season;0;0;0;19964
0;2000-9-26;220;0;0;0;Pre-Season;0;0;0;19966
0;2000-9-26;26;0;214;0;Pre-Season;0;0;0;19972
0;2000-9-26;16;0;224;0;Pre-Season;0;0;0;19968
0;2000-9-26;216;0;19;0;Pre-Season;0;0;0;19970
0;2000-9-28;19;0;0;0;Pre-Season;0;0;0;20016
0;2000-9-28;26;0;227;0;Pre-Season;0;0;0;20004
0;2000-9-28;25;0;230;0;Pre-Season;0;0;0;20002
0;2000-9-28;224;0;10;0;Pre-Season;0;0;0;20006
0;2000-9-28;221;0;16;0;Pre-Season;0;0;0;20012
0;2000-9-28;216;0;14;0;Pre-Season;0;0;0;20014
