team_fhm_id,start_year,end_year,team_name,logo_file
4,1919,1919,Quebec Bulldogs,logos/teams/bowl_historical/quebec_bulldogs.png
4,1920,1924,Hamilton Tigers,logos/teams/bowl_historical/hamilton_tigers.png
4,1925,1926,New York Americans,logos/teams/bowl_historical/new_york_americans.png
7,1925,1929,Pittsburgh Pirates,logos/teams/bowl_historical/pit-t7.png
6,1934,1934,St-Louis Eagles,logos/teams/bowl_historical/st__louis_eagles.png
120,1967,1968,Oakland Seals,logos/teams/bowl_historical/oak-t120.png
120,1969,1976,California Golden Seals,logos/teams/bowl_historical/oak-t120.png
122,1967,1967,Pittsburgh Penguins,logos/teams/bowl_historical/pittsburgh_penguins_1967-1967.png
122,1968,1971,Pittsburgh Penguins,logos/teams/bowl_historical/pit-t122.png
122,1972,2100,Pittsburgh Penguins,logos/teams/bowl_historical/pit-t122.png
123,1967,2100,St. Louis Blues,logos/teams/bowl_historical/stl-t123.png
