TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
0;14146;13081;12411;13100;14041;1635;177;12075;797;13069;14094;1172;960;13613;;13002;13519;1068;;;1635;13081;12411;177;;;;;;;;;;;14041;;1172;1635;;;;;;;;;;;960;1172;13069;14041;12075;177;13613;797;;;13100;12081;960;;;;;;960;;;;;;;;;14041;;;;;;;14041;;;;;;;;;12517;625;12411;;;;;
3;1175;1864;1875;980;134;1260;1651;23;1865;648;12042;402;1051;14493;1795;801;12040;12025;;;1175;1864;1875;980;1865;12042;1651;23;1260;134;1175;1864;1875;980;1865;12042;1651;23;1260;134;1864;1175;1875;1865;1651;1260;23;980;1051;402;980;134;12025;12040;648;1795;801;12042;;1865;402;980;134;1051;648;1795;402;980;134;1051;648;1795;1864;1175;980;134;1651;1260;1865;648;1864;1175;980;1651;1260;134;1875;23;1864;1260;1051;1285;958;1175;1260;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;12513;11983;12076;14147;709;14055;13063;13497;425;1015;442;15103;1849;14100;13034;12402;14076;12439;;;12076;13063;11983;14147;709;442;12513;12439;1015;14055;12076;13063;11983;14147;709;442;12513;12439;1015;14055;12076;13063;14147;709;442;12513;1015;14055;1849;12439;425;13034;14055;12076;14147;1015;442;13063;14100;709;12439;425;13034;12076;14147;1015;12439;425;13034;12076;14147;1015;12513;11983;14147;709;14055;13063;425;1015;12513;11983;14147;14055;13063;425;12439;442;1849;12402;12076;13105;1395;12439;442;;;;
9;12475;12535;12488;1084;;;12043;12454;;12516;;12534;189;2495;;;;12440;;;12475;12535;12488;1084;;;12043;12454;;12516;12475;12535;12488;1084;;;12043;12454;;12516;12475;12535;1084;;;12043;;12516;12475;12488;1084;;;12535;;12516;12043;12454;2495;;12488;1084;;12535;;12516;12488;1084;;12535;;12516;12475;12535;1084;;;12043;;12516;12475;12535;1084;;12043;;12488;12475;12535;;12454;12524;413;12488;12475;;;;
10;1445;1738;13518;412;373;196;1409;338;13131;1274;1872;1244;1210;375;1593;696;1246;665;;;1445;1738;338;1409;412;196;1246;1210;1872;13131;1445;1738;338;1409;412;196;1246;1210;1872;13131;1445;1738;1409;412;196;338;1872;13131;665;1244;13131;1593;1246;196;375;1274;1872;696;412;373;665;13131;1593;1244;375;1274;665;13131;1593;1244;375;1274;1445;1738;412;373;196;1409;13131;1274;1445;1738;412;196;1409;13131;1246;1409;338;665;1445;647;1430;1445;196;;;;
11;13099;694;908;1108;191;12427;1801;494;13113;12551;771;1845;1790;12391;14550;881;13091;1026;;;13099;694;908;1108;191;12427;1801;494;13113;12551;13099;694;908;1108;191;12427;1801;494;13113;12551;13099;694;1108;191;12427;1801;13113;12551;908;13099;1108;191;694;12427;13113;12551;494;1801;12391;14550;13099;1108;191;12427;13113;12551;13099;1108;191;12427;13113;12551;13099;694;1108;191;12427;1801;13113;12551;13099;694;1108;12427;1801;13113;13099;908;12427;694;1801;842;;13099;908;;;;
12;73;1418;12426;13602;12417;1086;14622;914;12399;617;;5;12540;;;;;;;;73;14622;12426;5;12399;1086;1418;914;12540;617;73;14622;12426;5;12399;1086;1418;914;12540;617;12426;14622;5;12399;73;1418;914;617;914;1418;13602;12417;5;1086;12399;617;73;12540;;;1418;13602;12417;914;12399;617;1418;13602;12417;914;12399;617;14622;1418;13602;12417;12426;5;12399;617;14622;1418;12417;5;73;13602;12426;12417;14622;5;73;12482;1125;14622;12426;;;;
14;1472;593;14500;12467;13125;13567;13508;13570;14740;13025;1784;13523;14542;15107;14488;13553;13500;;;;1784;13508;14500;593;15107;1472;13523;13570;13567;13125;1784;13508;14500;593;15107;1472;13523;13570;13567;13125;1784;13508;14500;15107;1472;593;13523;13125;13567;13523;12467;13125;14542;14500;14740;13025;1472;593;15107;14488;13523;12467;13125;13567;14740;13025;13523;12467;13125;13567;14740;13025;593;14500;12467;13125;1472;13508;14740;13025;593;14500;15107;1472;13508;13125;13570;14500;15107;13508;14542;420;12389;14500;13508;;;;
15;15053;14529;12995;12471;1869;12390;518;1225;13627;13032;13583;13530;1402;12002;14113;1091;1457;14078;;;15053;12995;13530;1869;13627;13583;1457;1225;518;12471;15053;12995;13530;1457;1869;13583;518;1225;12390;12471;1457;12995;13530;1869;1225;15053;12390;12471;518;1091;12471;13032;14078;1225;13627;14113;14529;1402;1869;12002;518;12471;14113;1091;13627;13032;518;12471;14113;1091;13627;13032;12995;1225;12471;1869;1457;1402;13627;12002;12995;1225;1869;1457;1402;12471;1457;15053;1225;1402;518;181;13028;1225;1402;;;;
16;13588;12048;13037;14487;14549;13078;12049;14492;14526;12445;15078;922;14051;13543;14125;12544;11981;1765;;;13588;13078;1765;12445;14549;;12048;12049;14487;14526;13588;13078;1765;12445;14549;;12048;12049;14487;14526;13588;13078;12445;14549;;12048;14487;14526;12048;13078;12445;14549;1765;13588;14487;14526;13037;922;13543;14125;13078;12445;14549;13588;14487;14526;13078;12445;14549;13588;14487;14526;13588;13078;12445;14549;;12048;14487;14526;13588;13078;12445;;12048;14487;13078;15078;13588;1765;922;13550;13264;15078;13588;;;;
17;1213;1641;2;14143;1290;353;1853;722;1240;1421;762;12397;11994;1255;1846;;1793;12991;;;2;12397;722;1641;1290;353;1853;12991;1240;11994;1641;1853;722;1290;2;353;12397;12991;1240;11994;2;1641;353;1290;722;1853;1240;12397;1213;1793;1255;14143;762;1853;1240;1421;11994;12397;1290;1846;1213;1255;14143;762;1240;1421;762;1255;14143;1213;1240;1421;1641;2;1290;14143;722;1853;1240;1421;1641;2;1290;353;1853;1240;;;;;;97;;2;12397;;;;
18;13082;1448;206;13061;13495;556;1059;985;;12993;822;431;1425;12489;11990;1565;13626;;;;13082;1448;206;13495;12993;822;1059;985;1425;13061;13082;1059;206;13495;12993;822;1448;985;1425;13061;1448;206;13495;12993;822;1059;1425;13061;985;13082;12489;13495;1059;556;13061;11990;1448;431;;12993;13082;12489;13495;985;13061;11990;13082;12489;13495;985;13061;11990;1448;206;12489;12993;1059;1425;13061;13495;1448;206;12993;1059;1425;12489;206;985;1059;431;556;;1124;1448;206;;;;
19;13503;240;14112;1517;1258;28;568;13502;13056;;12438;13625;339;13041;;32;1838;;;;14112;13625;13503;;13056;;568;13502;;;14112;13625;13503;;13056;;568;13502;;;14112;13503;568;13056;;13625;13502;;339;1838;;;;13502;;;12438;13625;13056;;1838;;;13502;;13056;1838;;;13502;;13056;;13625;13056;;13503;13502;;;14112;13625;13056;13503;13502;;14112;13503;;12438;13625;14026;1358;;13625;;;;
20;12027;509;1528;955;1611;;989;12508;12425;13089;1711;470;1414;12511;487;1351;12022;13342;;;1711;509;1528;12027;955;1414;470;12508;;12425;1711;509;1528;12027;955;1414;470;12508;;12425;509;1528;12027;955;989;12508;;12425;12027;470;13089;1611;12022;509;12425;487;13342;1351;955;12511;470;13089;1611;12027;12425;487;470;487;1611;12027;12425;13089;509;12027;955;1611;989;1528;12425;13089;509;12027;955;989;1528;1611;509;12508;1414;12027;1528;819;1452;12027;509;;;;
21;12074;12476;1504;12065;12017;12474;12030;109;154;13561;1859;1560;1206;815;1665;12405;13012;14106;;;1504;12476;109;12030;12017;12074;13012;1206;1560;13561;1504;12476;1206;12030;12017;12074;13012;109;1560;13561;12030;12476;1206;12017;13012;1504;109;13561;12074;14106;12065;1665;1859;1560;815;154;12405;12030;13561;12017;14106;12065;815;12074;154;1665;14106;12065;815;12074;154;1665;12074;12476;12065;12017;12474;12030;154;13561;12074;12476;12065;12474;12030;12017;12476;12030;12405;13012;109;774;14996;12476;12074;;;;
22;1497;12455;14527;12539;2491;14080;13017;13600;1626;13525;;14138;12430;930;1693;12088;12080;133;;;133;13017;14527;2491;13525;1497;12455;14080;12539;1693;133;13017;14527;2491;13525;1497;12455;14080;12539;1693;13017;133;14527;2491;1497;12455;14080;13525;12088;;12539;2491;14527;12080;930;1693;;13600;1626;13525;12088;12539;2491;;930;1693;12088;12539;2491;;930;1693;1497;14527;12539;2491;133;13017;1626;13525;1497;14527;2491;133;13017;13525;12455;13017;13600;1497;14527;14509;661;12455;1497;;;;
23;12001;13505;1292;13510;12431;691;1471;1251;;12061;843;293;;;507;;759;;;;12001;13505;1292;13510;12431;691;1471;1251;;12061;12001;13505;1292;13510;12431;691;1471;1251;;12061;12001;13505;13510;12431;691;1471;;12061;12001;1292;13510;12431;;1251;;12061;13505;691;;507;1292;13510;12431;1251;;12061;1292;13510;12431;1251;;12061;12001;13505;13510;12431;691;1471;;12061;12001;13505;13510;691;1471;;1292;12001;1251;;691;12032;1737;1292;12001;;;;
24;13579;14033;12537;13547;13537;14511;46;13090;14132;12414;13560;74;378;;13007;;12056;13598;;;13579;14033;12537;13598;13537;14511;46;13090;378;12414;13579;14033;12537;13598;13537;14511;46;13090;378;12414;13579;12537;;13537;378;14033;46;12414;14033;378;13547;13537;74;;14132;12414;14511;13579;;13007;14033;13547;14132;378;;13537;14033;13547;14132;378;;13537;378;14033;13547;13537;46;12537;14132;13007;378;14033;13537;46;12537;13007;12537;13579;13560;14033;46;;;14033;378;;;;
25;13050;1491;1032;12518;1022;49;838;611;12064;13108;12052;13040;13110;146;15075;13546;767;1320;;;13050;1491;611;1022;13108;838;13040;13110;1032;146;13050;1491;611;1022;13108;838;13040;13110;1032;146;611;1491;13050;1022;13040;838;13110;13108;1032;12052;12064;15075;13546;767;12518;146;49;1320;1022;13108;1032;12064;15075;12052;12518;146;1032;12064;15075;12052;12518;146;1032;1491;12518;1022;12052;13050;12064;13108;1032;1491;1022;12052;13050;13108;1491;13546;611;13050;838;12510;2782;1491;13050;;;;
26;12420;13048;147;14525;12255;13122;13102;12091;957;331;13578;667;;13527;13071;14053;13079;1416;;;147;;;12091;12255;667;12420;13048;13122;957;147;;;12091;12255;667;12420;13048;13122;957;147;;12091;12255;667;;12420;14525;1416;13578;957;12255;;13048;14525;331;13079;13122;13071;;1416;957;12255;13578;14525;331;1416;957;12255;13578;14525;331;13048;;14525;12255;1416;147;957;331;13048;;14525;1416;147;957;12420;147;;13048;12091;12437;;13048;12420;;;;
214;1437;599;501;1667;1389;13066;598;12404;12436;260;1363;12776;217;;1187;990;1262;1065;;;1437;599;1065;501;1389;598;1262;13066;1667;1363;1437;599;1065;501;1389;598;1262;13066;1667;1363;501;599;1437;1389;13066;1262;1065;1667;217;990;260;1187;12776;1363;12436;1058;13066;12404;1667;1389;217;260;1187;990;12436;1058;217;260;1187;990;12436;1058;501;1437;260;1389;217;1262;1667;1187;501;1437;260;217;1262;1389;599;1437;501;13066;1389;12039;128;599;501;;;;
216;1810;14135;13103;12079;12013;15011;12053;837;12026;13597;278;13587;1508;14049;55;13097;13021;12063;;;;12053;;13103;12013;837;13587;;14135;12079;;12053;;13103;12013;837;13587;;14135;12079;12053;14135;13103;12079;13587;;278;12013;12053;837;12079;13597;13587;1508;12026;55;;;14049;12013;12053;12079;13597;13587;12026;55;12053;12079;13597;13587;12026;55;;14135;12079;12013;278;12053;12026;13597;;14135;12079;278;12053;12026;1810;278;15011;12053;13103;1469;13702;1810;12053;;;;
217;951;1842;12067;1584;760;;11984;;1042;;1710;12496;;;;12999;;12505;;;951;1842;12067;1584;;;11984;1710;1042;12496;951;1842;12067;1584;;;11984;1710;1042;12496;12067;1842;1584;951;;11984;1042;;12067;;;;1710;12496;1042;760;12505;12999;1584;;12067;;;;1042;760;12067;;;;1042;760;1842;12067;1584;760;951;11984;1042;;1842;12067;1584;951;11984;;;;;;;1734;1494;1842;12067;;;;
220;12501;1326;1871;1588;12137;13024;747;342;1527;178;1104;850;12441;12512;867;110;13095;443;;;12501;1326;1871;12137;1527;13024;747;443;1588;178;12501;1326;1871;12137;1527;13024;747;443;1588;178;1326;1871;747;12137;1104;12501;1588;1527;850;342;12512;178;12501;110;1588;867;1104;12441;1527;12137;342;12512;178;850;1588;867;342;12512;178;850;1588;867;1326;1871;1588;12137;342;12501;1527;178;1326;1871;12137;747;12501;1588;12501;13024;747;1871;1527;813;13535;1871;1326;;;;
221;1453;6;1228;11979;13516;12523;12543;11997;13572;12066;401;;12034;12388;12072;12036;1369;;;;401;6;1228;11979;13516;1453;12543;12034;13572;12066;401;6;1228;11979;13516;1453;12543;12034;13572;12066;401;6;11979;13516;1453;12543;13572;12066;1228;6;11979;13516;401;12543;13572;12066;12034;1453;12388;12072;6;11979;13516;12543;13572;12066;6;11979;13516;12543;13572;12066;1453;6;11979;13516;12523;12543;13572;12066;1453;6;11979;12523;12543;13572;6;1228;12543;401;1453;12009;341;6;1228;;;;
