League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;0;56;16;7;1;0;0;119;299;145;.753
0;3;0;0;21;52;6;2;0;0;48;173;283;.304
0;5;0;0;22;51;8;3;0;0;52;151;263;.321
0;8;1;0;36;35;9;2;0;0;81;245;248;.506
0;9;1;0;24;37;18;1;0;0;66;179;216;.418
0;10;0;1;26;49;4;3;0;0;56;218;272;.354
0;11;1;1;34;32;14;2;0;0;82;195;180;.513
0;12;1;1;35;39;6;3;0;0;76;230;265;.475
0;14;0;1;40;32;7;1;0;0;87;277;260;.551
0;15;0;1;46;24;10;1;0;0;102;246;167;.638
0;16;1;0;42;31;6;2;0;0;90;242;199;.570
0;17;0;0;44;27;9;1;0;0;97;253;195;.606
0;18;1;2;29;41;9;2;0;0;67;180;229;.424
0;19;1;2;40;33;6;1;0;0;86;242;218;.544
0;20;0;1;46;28;5;4;0;0;97;253;197;.614
0;21;0;1;46;26;7;1;0;0;99;266;183;.627
0;22;0;2;40;31;8;0;0;0;88;230;212;.557
0;23;1;2;41;35;6;3;0;0;88;229;217;.537
0;24;0;2;34;39;6;5;0;0;74;221;232;.468
0;25;1;2;45;33;3;3;0;0;93;251;212;.574
0;26;1;1;30;37;13;0;0;0;73;205;219;.456
0;214;1;1;36;38;5;2;0;0;77;217;232;.487
0;216;0;0;52;22;6;1;0;0;110;298;171;.688
0;217;0;2;41;30;8;2;0;0;90;252;204;.570
0;220;1;1;23;49;8;5;0;0;54;183;279;.338
0;221;0;2;37;35;8;2;0;0;82;203;202;.513
0;224;1;0;36;40;4;4;0;0;76;206;226;.475
0;227;0;2;13;63;3;1;0;0;29;131;327;.184
0;229;1;0;35;35;9;2;0;0;79;194;206;.500
0;230;1;2;30;40;10;1;0;0;70;224;234;.438
