Year,Team ID,Team Name Override,Conference ID,Division ID,Suggested Team Name,Suggested Team ID,Suggested Team Abbr
1919-20,,Quebec Bulldogs,,,,,
1941-42,,Brooklyn Americans,,,,,
1967-68,,Oakland Seals,,,,,
1968-69,,Oakland Seals,,,,,
1969-70,,Oakland Seals,,,,,
1970-71,,California Golden Seals,,,,,
1971-72,,California Golden Seals,,,,,
1972-73,,California Golden Seals,,,,,
1973-74,,California Golden Seals,,,,,
1974-75,,California Golden Seals,,,,,
1975-76,,California Golden Seals,,,,,
1976-77,,Cleveland Barons,,,,,
1977-78,,Cleveland Barons,,,,,
