TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;48;188;108;1762;1193;50.8;704;1013;473;498;90;16.81;193;26;5;193;10;6;489279;432740;21273;17309;23;10;100
3;48;116;154;1226;1500;48.6;860;1030;474;500;31;14.44;185;16;6;193;21;7;403035;384644;17523;15385;3;5;89
5;47;111;145;1200;1494;48.3;843;798;438;500;17;13.60;189;21;4;189;18;3;417938;347015;16717;15773;2;5;87
8;50;137;148;1464;1548;49.9;725;1177;529;542;34;16.44;207;25;6;252;38;8;534010;398571;21360;15942;5;7;95
9;47;112;148;991;1546;51.4;811;1014;442;394;88;14.57;179;13;6;191;23;6;497663;306196;18431;15309;7;1;92
10;50;125;169;1168;1683;45.9;961;898;546;442;136;14.78;229;30;4;219;31;1;358927;426430;14955;16401;0;12;83
11;47;133;146;1312;1243;48.4;729;1201;471;473;61;18.28;223;28;6;213;26;3;371007;405720;16863;16228;2;5;89
12;46;146;136;1427;1232;52.6;753;1140;419;460;73;16.50;237;30;6;227;27;8;261245;336123;11358;14614;0;3;59
14;46;149;155;1422;1372;52.5;744;1005;460;433;33;15.91;201;25;6;184;27;2;446088;360223;20276;15009;18;3;100
15;46;197;103;1649;1157;54.2;663;912;477;513;377;17.85;197;19;2;197;28;3;389620;404407;16940;17582;23;9;100
16;46;145;118;1251;1212;49.6;813;984;424;510;188;14.78;187;32;3;184;23;11;360744;352571;15684;15329;0;4;78
17;47;134;102;1470;1203;51.7;729;902;415;509;139;12.49;194;25;5;183;17;6;476045;357929;19041;16269;22;7;100
18;49;136;104;1425;1221;48.1;840;970;440;463;135;15.53;198;30;3;174;22;3;388306;399081;16179;15963;1;7;86
19;47;144;114;1409;1228;51.9;700;854;518;507;72;13.53;208;28;6;194;16;10;371169;345024;14846;15682;0;5;77
20;46;127;113;1280;1198;51.5;679;833;397;481;27;16.00;195;18;6;199;22;5;348950;393847;15861;16410;14;8;98
21;46;155;156;1506;1372;51.1;626;1130;450;556;103;16.04;192;27;2;239;37;9;397809;367108;15912;17481;0;9;84
22;48;147;133;1325;1344;49.1;796;1011;573;373;69;16.75;220;28;4;222;28;5;294746;386170;12281;16090;0;6;66
23;49;167;122;1438;1294;46.7;818;970;504;450;83;11.61;213;36;4;190;20;13;404125;402969;16838;16118;23;5;100
24;50;121;172;1315;1441;51.5;647;984;539;440;49;13.12;222;20;5;190;23;4;358702;363023;13285;15783;0;7;70
25;48;154;108;1571;1165;52.2;752;1031;533;508;350;16.75;221;37;3;223;14;5;209639;436801;9529;16800;0;9;53
26;46;135;121;1227;1188;53.0;833;836;414;514;22;15.17;164;17;6;194;31;8;265039;322728;11043;14669;0;3;68
214;46;110;110;1237;1213;45.1;704;1101;441;534;25;18.35;205;22;5;207;15;2;302039;359903;13729;14995;0;2;78
216;47;165;119;1503;1179;53.6;653;963;468;426;172;14.30;207;40;2;182;25;5;471730;367292;20510;15303;23;4;100
217;45;152;144;1360;1364;47.6;693;1000;464;457;94;14.73;199;28;8;152;23;4;300360;415987;15808;15999;0;9;82
220;49;119;119;1364;1452;47.4;659;1385;542;440;44;15.08;153;12;5;179;26;9;279830;402872;12166;15495;0;4;69
221;46;95;125;1153;1229;49.3;616;1242;428;553;78;16.39;184;26;4;205;31;3;290413;329325;12100;14969;0;5;58
224;47;103;132;1422;1335;50.6;702;1160;476;499;168;16.36;228;19;3;232;26;3;312361;372049;13015;16176;0;6;76
227;48;93;195;775;1518;48.4;697;1063;464;398;103;16.58;179;30;5;200;34;2;393381;394649;17103;15785;3;7;92
229;46;115;139;1283;1384;49.1;813;931;457;490;55;16.87;208;19;9;211;26;7;371434;343852;16149;14950;0;2;84
230;47;97;170;1076;1503;50.0;854;1172;442;483;262;19.66;235;19;11;234;36;1;475573;325958;18291;15521;4;4;91
