Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
44059;695;23;0;0;0;0;.00nan;0;0
44059;1278;12;48;32;5;27;.844;3300000;0
44059;1498;12;51;2;0;2;1.000;300000;0
44059;5024;23;64;19;2;17;.895;3600000;0
44061;432;15;78;28;2;26;.929;3600000;0
44061;510;15;0;0;0;0;.00nan;0;0
44061;2562;21;3;13;6;7;.538;859000;0
44061;5252;21;45;39;6;33;.846;2741000;0
44063;145;280;0;0;0;0;.00nan;0;0
44063;964;280;71;26;2;24;.923;3600000;0
44063;1190;26;82;26;1;25;.962;3600000;0
44063;2805;26;0;0;0;0;.00nan;0;0
44065;961;0;0;0;0;0;.00nan;0;0
44065;1412;5;69;49;5;44;.898;3600000;0
44065;4342;0;82;32;2;30;.938;3600000;0
44065;4354;5;0;0;0;0;.00nan;0;0
44067;229;279;53;27;4;23;.852;3600000;0
44067;898;10;0;0;0;0;.00nan;0;0
44067;1381;10;60;25;3;22;.880;3600000;0
44067;2563;279;0;0;0;0;.00nan;0;0
44069;442;18;72;31;2;29;.935;3900000;0
44069;679;19;72;25;2;23;.920;3900000;0
44069;846;19;0;0;0;0;.00nan;0;0
44069;2414;18;0;0;0;0;.00nan;0;0
44071;868;22;67;53;6;47;.887;3600000;0
44071;2646;17;0;0;0;0;.00nan;0;0
44071;2721;17;72;19;1;18;.947;3600000;0
44071;4785;22;0;0;0;0;.00nan;0;0
44073;523;3;0;0;0;0;.00nan;0;0
44073;671;20;0;0;0;0;.00nan;0;0
44073;1087;3;89;18;0;18;1.000;3600000;0
44073;4437;20;88;48;3;45;.938;3600000;0
44075;1247;11;26;31;6;25;.806;3600000;0
44075;1410;278;60;31;4;27;.871;3600000;0
44075;4776;11;0;0;0;0;.00nan;0;0
44075;4804;278;0;0;0;0;.00nan;0;0
44077;223;16;0;0;0;0;.00nan;0;0
44077;252;16;30;18;4;14;.778;3528000;0
44077;435;24;77;32;2;30;.938;3600000;0
44077;3394;24;0;0;0;0;.00nan;0;0
44079;644;9;65;30;4;26;.867;3600000;0
44079;852;9;0;0;0;0;.00nan;0;0
44079;1258;14;56;43;6;37;.860;3570000;0
44079;4788;14;0;0;0;0;.00nan;0;0
44081;662;8;48;0;0;0;.00nan;221000;0
44081;1151;8;27;19;5;14;.737;3325000;0
44081;3395;25;0;0;0;0;.00nan;0;0
44081;4550;25;71;48;4;44;.917;3600000;0
44083;868;22;84;40;3;37;.925;3600000;0
44083;1258;14;31;16;4;12;.750;1109000;0
44083;4785;22;0;0;0;0;.00nan;0;0
44083;4788;14;62;13;1;12;.923;2406000;0
44085;442;18;53;34;5;29;.853;3900000;0
44085;1278;12;0;0;0;0;.00nan;0;0
44085;1498;12;51;35;5;30;.857;3900000;0
44085;2414;18;0;0;0;0;.00nan;0;0
44087;1410;278;57;32;4;28;.875;3544000;0
44087;1412;5;77;34;3;31;.912;3600000;0
44087;4354;5;0;0;0;0;.00nan;0;0
44087;4804;278;0;0;0;0;.00nan;0;0
44089;679;19;72;21;2;19;.905;3600000;0
44089;846;19;0;0;0;0;.00nan;0;0
44089;3395;25;0;0;0;0;.00nan;0;0
44089;4550;25;81;42;3;39;.929;3600000;0
44091;644;9;73;40;4;36;.900;3600000;0
44091;852;9;0;0;0;0;.00nan;0;0
44091;2646;17;11;17;6;11;.647;2250000;0
44091;2721;17;61;7;0;7;1.000;1336000;0
44093;898;10;85;25;1;24;.960;3600000;0
44093;1247;11;61;33;4;29;.879;3600000;0
44093;1381;10;0;0;0;0;.00nan;0;0
44093;4776;11;0;0;0;0;.00nan;0;0
44095;432;15;60;37;5;32;.865;3900000;0
44095;510;15;0;0;0;0;.00nan;0;0
44095;961;0;72;43;5;38;.884;3900000;0
44095;4342;0;0;0;0;0;.00nan;0;0
44097;145;280;60;15;1;14;.933;1303000;0
44097;523;3;0;0;0;0;.00nan;0;0
44097;964;280;46;44;7;37;.841;2297000;0
44097;1087;3;71;16;1;15;.938;3600000;0
44099;223;16;90;38;2;36;.947;3600000;0
44099;252;16;0;0;0;0;.00nan;0;0
44099;662;8;0;0;0;0;.00nan;0;0
44099;1151;8;82;38;3;35;.921;3576000;0
44101;671;20;0;0;0;0;.00nan;0;0
44101;1190;26;0;0;0;0;.00nan;0;0
44101;2805;26;49;27;4;23;.852;3547000;0
44101;4437;20;87;31;2;29;.935;3600000;0
44103;229;279;77;27;2;25;.926;3600000;0
44103;2562;21;56;40;6;34;.850;3600000;0
44103;2563;279;0;0;0;0;.00nan;0;0
44103;5252;21;0;0;0;0;.00nan;0;0
44105;435;24;42;33;6;27;.818;3549000;0
44105;695;23;36;24;5;19;.792;3600000;0
44105;3394;24;0;0;0;0;.00nan;0;0
44105;5024;23;0;0;0;0;.00nan;0;0
44107;671;20;0;0;0;0;.00nan;0;0
44107;2646;17;0;0;0;0;.00nan;0;0
44107;2721;17;74;12;1;11;.917;3600000;0
44107;4437;20;95;61;3;58;.951;3533000;0
44109;145;280;0;0;0;0;.00nan;0;0
44109;223;16;0;0;0;0;.00nan;0;0
44109;252;16;98;37;1;36;.973;3600000;0
44109;964;280;53;31;4;27;.871;3600000;0
44111;679;19;64;28;3;25;.893;3545000;0
44111;846;19;0;0;0;0;.00nan;0;0
44111;2562;21;100;57;2;55;.965;3600000;0
44111;5252;21;0;0;0;0;.00nan;0;0
44113;523;3;0;0;0;0;.00nan;0;0
44113;1087;3;61;23;2;21;.913;3600000;0
44113;3395;25;48;15;2;13;.867;1778000;0
44113;4550;25;30;35;6;29;.829;1822000;0
44115;1247;11;66;41;5;36;.878;3255000;0
44115;1412;5;41;34;5;29;.853;3900000;0
44115;4354;5;0;0;0;0;.00nan;0;0
44115;4776;11;52;1;0;1;1.000;645000;0
44117;432;15;65;33;4;29;.879;3590000;0
44117;510;15;0;0;0;0;.00nan;0;0
44117;898;10;0;0;0;0;.00nan;0;0
44117;1381;10;73;30;3;27;.900;3600000;0
44119;662;8;1;15;7;8;.533;1605000;0
44119;1151;8;42;32;6;26;.813;1995000;0
44119;1258;14;59;23;3;20;.870;3600000;0
44119;4788;14;0;0;0;0;.00nan;0;0
44121;1278;12;83;32;2;30;.938;3600000;0
44121;1410;278;56;34;5;29;.853;3600000;0
44121;1498;12;0;0;0;0;.00nan;0;0
44121;4804;278;0;0;0;0;.00nan;0;0
44123;229;279;100;42;1;41;.976;3900000;0
44123;695;23;0;0;0;0;.00nan;0;0
44123;2563;279;0;0;0;0;.00nan;0;0
44123;5024;23;84;29;1;28;.966;3900000;0
44125;442;18;64;32;3;29;.906;3900000;0
44125;961;0;90;43;3;40;.930;3884000;0
