Game Id;PlayerId;TeamId;Game Rating;Game Rating Off;Game Rating Def;G;A;+/-;SOG;MS;BS;PIM;HT;TK;GV;SHF;TOT;PP;SH;EV;FOW;FOL;FO%;Team Shots on;Team Shots Against on;Team Shots Missed on;Team Shots Missed Against on;Team Shots Blocked on;Team Shots Blocked Against on;Team Goals on;Team Goal Against on;Team Shots off;Team Shots Against off;Team Shots Missed off;Team Shots Missed Against off;Team Shots Blocked off;Team Shots Blocked Against off;Team Goals off;Team Goal Against off;OZ Starts;NZ Starts;DZ Starts;Team OZ Starts;Team NZ Starts;Team DZ Starts;SQ0;SQ1;SQ2;SQ3;SQ4
37854;10;23;59.4207;58.805;45.8;0;1;-2;1;1;0;2;1;1;2;21;1313;346;126;840;0;0;0;9;7;1;0;2;3;1;3;15;16;3;2;6;3;0;3;9;7;3;23;18;14;0;0;0;1;1
37854;38;23;62.809;50;75.988;0;0;-2;2;1;2;5;1;1;2;17;949;142;94;711;0;0;0;6;7;1;0;3;0;0;2;18;16;3;2;5;6;1;4;5;4;7;23;18;14;1;2;0;0;2
37854;46;23;57.7036;53.865;62.799;0;0;-3;2;0;1;2;0;0;1;19;1175;150;193;832;6;9;40.0;8;9;1;0;2;1;0;3;16;14;3;2;6;5;1;3;4;6;5;23;18;14;1;1;0;0;1
37854;62;16;69.9423;64.885;73.81;0;0;1;1;0;1;2;0;0;0;16;1118;140;58;919;0;1;0.0;8;8;1;1;1;2;1;0;15;16;1;3;5;6;5;1;2;8;5;14;18;23;1;0;1;0;0
37854;104;23;67.2724;57.38;71.874;0;0;0;2;1;0;0;1;1;0;12;667;0;6;660;1;0;100.0;6;5;1;1;3;3;0;0;18;18;3;1;5;3;1;6;4;5;0;23;18;14;0;0;1;1;1
37854;136;16;78.2781;75.335;76.714;1;2;3;2;1;0;4;1;0;0;15;889;182;19;688;5;3;62.5;9;6;1;1;2;2;3;0;14;18;1;3;4;6;3;1;1;5;5;14;18;23;0;1;1;1;0
37854;142;23;59.7143;55.969;70.686;0;0;-2;4;0;2;5;0;2;0;20;1169;0;276;893;0;0;0;13;9;1;0;1;3;0;2;11;14;3;2;7;3;1;4;6;7;6;23;18;14;1;3;2;0;0
37854;296;16;61.525;51.3;73.81;0;0;1;1;0;0;0;1;1;0;8;465;37;0;427;1;5;16.7;4;5;0;1;2;1;1;0;19;19;2;3;4;7;5;1;3;3;1;14;18;23;0;0;0;1;0
37854;350;16;69.2529;54.514;77.994;0;0;3;4;0;2;14;0;0;0;21;1247;166;172;907;0;0;0;10;10;1;3;1;4;3;0;13;14;1;1;5;4;3;1;7;8;8;14;18;23;2;2;1;0;1
37854;366;16;69.9566;65.36;62.557;1;0;1;2;0;0;0;1;0;0;15;649;176;0;473;0;0;0;4;3;0;0;3;2;2;1;19;21;2;4;3;6;4;0;1;5;3;14;18;23;0;1;1;0;0
