League Id;Conference Id;Name
2;0;Conference 1
2;1;Conference 2
3;0;Conference 1
3;1;Conference 2
4;0;North-East Conference
4;1;South-West Conference
6;0;Western Conference
6;1;Eastern Conference
10;0;Atlantic Hockey
10;1;Big 10
10;2;ECAC
10;3;Hockey East
10;4;Central Collegiate Hockey Association
10;5;NCHC
10;6;Independents
11;0;Eastern Conference
11;1;Western Conference
12;0;Eastern Conference
12;1;Western Conference
14;0;Eastern Conference
14;1;Western Conference
15;0;Eastern Conference
15;1;Western Conference
17;0;Atlantic University Sport
17;1;Canada West
17;2;Ontario University Athletics West
17;3;Ontario University Athletics East
