League Id;Conference Id;Division Id;Name
2;0;0;Division 1
2;0;1;Division 2
2;1;0;Division 1
2;1;1;Division 2
3;0;0;Division 1
3;0;1;Division 2
3;1;0;Division 1
3;1;1;Division 2
4;0;0;North Division
4;0;1;East Division
4;1;0;West Division
4;1;1;South Division
6;0;0;Bobrov Division
6;0;1;Tarasov Division
6;1;0;Kharlamov Division
6;1;1;Chernyshev Division
11;0;0;East
11;0;1;Central
11;1;0;Midwest
11;1;1;West
12;0;0;Eastern Divison
12;0;1;Central Division
12;1;0;B.C. Division
12;1;1;U.S. Division
13;-1;0;West
13;-1;1;East
13;-1;2;Maritimes
14;0;0;North Division
14;0;1;South Division
14;1;0;Central Division
14;1;1;Mountain Division
