PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
3;16;1980;2;12;36;11;179
4;16;1980;8;14;182;22;180
5;16;1980;10;15;231;280;154
6;16;1980;1;7;7;5;179
28;16;1980;10;23;239;8;180
38;16;1980;1;15;15;18;156
45;16;1980;3;20;68;278;179
58;16;1980;3;3;51;10;179
72;16;1981;1;1;1;25;180
78;16;1980;8;10;178;278;160
88;16;1980;3;18;66;12;181
95;16;1980;4;14;86;22;179
97;16;1980;1;17;17;20;179
98;16;1980;2;21;45;17;181
99;16;1980;7;20;164;14;180
109;16;1980;6;14;134;22;158
110;16;1980;2;6;30;19;155
111;16;1980;6;10;130;278;179
-1;16;1986;8;17;185;15;184
120;16;1980;5;19;115;24;179
128;16;1980;3;6;54;19;179
129;16;1980;3;12;60;11;179
134;16;1980;6;22;142;0;161
136;16;1980;2;15;39;3;180
156;16;1980;2;10;34;3;180
175;16;1980;6;15;135;280;155
185;16;1980;4;12;84;11;180
-1;16;1985;7;24;168;280;-1
203;16;1980;7;2;146;9;180
226;16;1980;1;2;2;11;180
236;16;1980;4;6;78;19;180
262;16;1980;2;16;40;279;158
272;16;1980;1;12;12;11;181
277;16;1980;5;2;98;9;181
295;16;1980;5;23;119;8;179
296;16;1980;3;13;61;16;180
297;16;1981;1;21;21;8;179
301;16;1980;7;9;153;26;179
305;16;1980;1;10;10;10;156
311;16;1980;2;23;47;8;157
312;16;1981;1;12;12;11;158
318;16;1981;1;7;7;9;156
322;16;1980;9;14;206;22;157
330;16;1980;7;16;160;279;155
332;16;1980;10;14;230;22;155
338;16;1980;3;4;52;3;179
350;16;1980;1;13;13;16;180
354;16;1980;10;11;227;25;179
361;16;1980;1;14;14;22;158
382;16;1980;1;8;8;23;179
386;0;1978;6;10000;103;0;-1
389;16;1980;4;7;79;5;180
396;0;1977;6;10000;95;13;-1
396;40;1977;4;10000;36;32;-1
399;0;1972;7;10000;102;13;-1
401;0;1971;5;10000;58;9;-1
403;0;1979;4;10000;69;23;-1
404;16;1980;4;17;89;20;180
408;0;1964;4;10000;21;10;-1
414;16;1980;3;11;59;25;180
416;0;1966;1;10000;6;9;-1
417;0;1979;6;10000;106;21;-1
418;0;1979;3;10000;51;3;-1
-1;16;1982;8;15;183;11;-1
421;16;1980;1;24;24;8;180
