season,team,slot,position,player_id,team_id,notes
1979-80,1,1,Goal,221,14,
1979-80,1,2,Defence,15,3,
1979-80,1,3,Defence,571,23,
1979-80,1,4,Left Wing,381,279,
1979-80,1,5,Center,264,18,
1979-80,1,6,Right Wing,1353,10,
1979-80,2,1,Goal,1170,21,
1979-80,2,2,Defence,2533,18,
1979-80,2,3,Defence,1187,8,
1979-80,2,4,Left Wing,1297,12,
1979-80,2,5,Center,708,8,
1979-80,2,6,Right Wing,278,15,
1980-81,1,1,Goal,688,18,
1980-81,1,2,Defence,181,18,
1980-81,1,3,Defence,15,3,
1980-81,1,4,Left Wing,381,279,
1980-81,1,5,Center,1268,3,
1980-81,1,6,Right Wing,26,3,
1980-81,2,1,Goal,2441,298,
1980-81,2,2,Defence,171,3,
1980-81,2,3,Defence,188,299,
1980-81,2,4,Left Wing,370,18,
1980-81,2,5,Center,264,18,
1980-81,2,6,Right Wing,371,5,
1981-82,1,1,Goal,221,14,
1981-82,1,2,Defence,1205,14,
1981-82,1,3,Defence,15,3,
1981-82,1,4,Left Wing,3555,0,
1981-82,1,5,Center,965,15,
1981-82,1,6,Right Wing,583,14,
1981-82,2,1,Goal,432,15,
1981-82,2,2,Defence,15,3,
1981-82,2,3,Defence,3545,15,
1981-82,2,4,Left Wing,3540,3,
1981-82,2,5,Center,264,18,
1981-82,2,6,Right Wing,1112,8,
1982-83,1,1,Goal,688,18,
1982-83,1,2,Defence,788,17,
1982-83,1,3,Defence,1144,14,
1982-83,1,4,Left Wing,3552,19,
1982-83,1,5,Center,965,15,
1982-83,1,6,Right Wing,3548,24,
1982-83,2,1,Goal,221,14,
1982-83,2,2,Defence,835,17,
1982-83,2,3,Defence,571,23,
1982-83,2,4,Left Wing,3540,3,
1982-83,2,5,Center,22,15,
1982-83,2,6,Right Wing,264,18,
1983-84,1,1,Goal,975,20,
1983-84,1,2,Defence,1144,14,
1983-84,1,3,Defence,867,21,
1983-84,1,4,Left Wing,3540,3,
1983-84,1,5,Center,965,15,
1983-84,1,6,Right Wing,3548,24,
1983-84,2,1,Goal,221,14,
1983-84,2,2,Defence,3541,10,
1983-84,2,3,Defence,958,14,
1983-84,2,4,Left Wing,3555,0,
1983-84,2,5,Center,3558,11,
1983-84,2,6,Right Wing,264,18,
1984-85,1,1,Goal,1381,10,
1984-85,1,2,Defence,833,23,
1984-85,1,3,Defence,888,14,
1984-85,1,4,Left Wing,3540,3,
1984-85,1,5,Center,3542,17,
1984-85,1,6,Right Wing,843,17,
1984-85,2,1,Goal,1526,20,
1984-85,2,2,Defence,4549,280,
1984-85,2,3,Defence,2504,17,
1984-85,2,4,Left Wing,3547,14,
1984-85,2,5,Center,3544,279,
1984-85,2,6,Right Wing,3548,24,
1985-86,1,1,Goal,868,22,
1985-86,1,2,Defence,788,17,
1985-86,1,3,Defence,4549,280,
1985-86,1,4,Left Wing,3540,3,
1985-86,1,5,Center,3542,17,
1985-86,1,6,Right Wing,843,17,
1985-86,2,1,Goal,229,279,
1985-86,2,2,Defence,833,23,
1985-86,2,3,Defence,2504,17,
1985-86,2,4,Left Wing,3555,0,
1985-86,2,5,Center,24,22,
1985-86,2,6,Right Wing,3548,24,
