LeagueId;Date;Event
0;2025-7-1;Assign Scouts
0;2025-7-1;Set Monthly Budget
0;2025-7-2;Initial Draft
0;2025-7-7;Player Training Programs
0;2025-8-14;Prospect Tournament
0;2025-9-20;Preseason Start
0;2025-10-4;Opening Night
0;2025-12-23;All-Star Announcement
0;2025-12-24;All-Star Game
0;2026-3-1;Trading Deadline
0;2026-4-3;Award Nominees
0;2026-4-4;BLUP Playoffs
0;2026-5-2;HOF Player Nomination
0;2026-5-27;Winter Olympics
0;2026-5-29;BLUP Awards
0;2026-6-2;HOF Cast Ballot
0;2026-6-30;Last Day of season
0;2026-8-1;HOF Induction
1;2025-7-1;Assign Scouts
1;2025-7-1;Set Monthly Budget
1;2025-7-7;Player Training Programs
1;2025-8-15;Initial Draft
1;2025-9-20;Preseason Start
1;2025-10-4;Opening Night
1;2025-12-22;All-Star Announcement
1;2025-12-23;All-Star Game
1;2026-3-1;Trading Deadline
1;2026-4-3;Award Nominees
1;2026-4-4;BLOW Playoffs
1;2026-5-2;HOF Player Nomination
1;2026-5-27;Winter Olympics
1;2026-5-29;BLOW Awards
1;2026-6-2;HOF Cast Ballot
1;2026-6-30;Last Day of season
1;2026-8-1;HOF Induction
2;2025-7-1;Assign Scouts
2;2025-7-1;Set Monthly Budget
2;2025-7-7;Player Training Programs
2;2025-9-20;Preseason Start
2;2025-10-4;Opening Night
2;2026-1-24;All-Star Announcement
2;2026-1-25;All-Star Game
2;2026-4-3;Award Nominees
2;2026-4-4;AHL Playoffs
2;2026-5-2;HOF Player Nomination
2;2026-5-27;Winter Olympics
2;2026-6-2;HOF Cast Ballot
2;2026-6-18;AHL Awards
2;2026-6-30;Last Day of season
2;2026-7-6;Draft Order Announcement
2;2026-7-7;AHL Entry Draft
2;2026-8-1;HOF Induction
3;2025-7-1;Assign Scouts
3;2025-7-1;Set Monthly Budget
3;2025-7-7;Player Training Programs
3;2025-9-20;Preseason Start
3;2025-10-4;Opening Night
3;2026-4-3;Award Nominees
3;2026-4-4;IHL Playoffs
3;2026-5-2;HOF Player Nomination
3;2026-5-27;Winter Olympics
3;2026-6-2;HOF Cast Ballot
3;2026-6-18;IHL Awards
3;2026-6-30;Last Day of season
3;2026-7-6;Draft Order Announcement
3;2026-7-7;IHL Entry Draft
3;2026-8-1;HOF Induction
4;2025-7-1;Assign Scouts
4;2025-7-1;Set Monthly Budget
4;2025-7-7;Player Training Programs
4;2025-9-20;Preseason Start
4;2025-10-4;Opening Night
4;2026-1-20;All-Star Announcement
4;2026-1-21;All-Star Game
4;2026-2-1;Trading Deadline
4;2026-4-8;Award Nominees
4;2026-5-2;HOF Player Nomination
4;2026-5-27;Winter Olympics
4;2026-6-2;HOF Cast Ballot
4;2026-6-30;Last Day of season
4;2026-7-6;Draft Order Announcement
4;2026-7-7;OJHL Entry Draft
4;2026-8-1;HOF Induction
5;2025-7-1;Assign Scouts
5;2025-7-1;Set Monthly Budget
5;2025-7-7;Player Training Programs
5;2025-8-30;Preseason Start
5;2025-9-13;Opening Night
5;2026-2-1;Trading Deadline
5;2026-3-16;Award Nominees
5;2026-3-17;SHL Playoffs
5;2026-5-2;HOF Player Nomination
5;2026-5-15;SHL Awards
5;2026-5-27;Winter Olympics
5;2026-6-2;HOF Cast Ballot
5;2026-6-30;Last Day of season
5;2026-7-6;Draft Order Announcement
5;2026-7-7;SHL Entry Draft
5;2026-8-1;HOF Induction
6;2025-7-1;Assign Scouts
6;2025-7-1;Set Monthly Budget
6;2025-7-7;Player Training Programs
6;2025-8-22;Preseason Start
6;2025-9-5;Opening Night
6;2026-2-1;Trading Deadline
6;2026-2-6;All-Star Announcement
6;2026-2-7;All-Star Game
6;2026-3-22;Award Nominees
6;2026-3-23;KHL Playoffs
6;2026-5-2;HOF Player Nomination
6;2026-5-27;Winter Olympics
6;2026-6-2;HOF Cast Ballot
6;2026-6-6;KHL Awards
6;2026-6-30;Last Day of season
6;2026-7-6;Draft Order Announcement
6;2026-7-7;KHL Entry Draft
6;2026-8-1;HOF Induction
7;2025-7-1;Assign Scouts
7;2025-7-1;Set Monthly Budget
7;2025-7-7;Player Training Programs
7;2025-8-26;Preseason Start
7;2025-9-9;Opening Night
