PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1;1986;25;0;3;3;10800;3;0;0;0;1;6;84;82
1;1985;285;12;13;13;43251;6;6;1;2;1;41;365;61
1;1985;279;0;14;11;43584;9;3;0;2;0;44;344;60
1;1981;279;0;3;2;8550;0;2;0;2;0;11;74;53
1;1982;279;0;14;14;49838;5;5;4;2;1;49;385;62
1;1983;279;0;17;13;48508;6;8;0;8;0;44;372;60
1;1984;279;0;32;31;111150;20;9;2;0;1;101;903;67
45;1985;237;9;26;25;93584;16;8;1;1;1;75;695;61
45;1984;226;9;66;65;230133;17;42;6;7;1;241;2314;68
45;1979;179;6;23;20;78488;14;5;4;1;0;100;651;55
45;1980;179;6;30;30;106460;20;10;0;2;0;118;885;53
45;1981;179;6;48;48;167255;30;15;3;2;0;214;1386;65
45;1982;186;3;58;54;194486;34;19;5;1;0;183;1633;60
45;1983;256;10;10;7;30788;5;3;0;0;0;21;227;62
51;1979;159;5;26;24;91091;21;5;0;1;0;100;769;60
51;1982;279;0;0;0;0;0;0;0;0;0;0;0;0
51;1983;159;5;33;30;110801;18;11;4;3;0;152;895;59
51;1984;159;5;33;32;114211;20;12;1;2;0;130;984;59
51;1985;223;9;40;34;125129;13;19;1;3;1;131;1147;60
51;1985;9;0;9;6;25835;5;1;0;0;1;19;181;64
-1;1986;184;7;1;1;3600;0;1;0;1;0;6;28;65
-1;1985;184;7;31;29;106386;17;14;0;0;0;101;874;49
63;1986;296;12;3;2;7728;0;2;0;1;0;15;75;38
63;1985;296;12;45;43;148401;23;17;3;0;4;130;1268;65
63;1984;165;5;33;32;116362;23;9;1;1;0;144;969;63
63;1983;165;5;37;36;133720;31;5;1;3;0;150;1092;66
63;1979;165;5;27;22;87120;14;13;0;1;0;132;752;53
63;1980;165;5;37;35;124254;24;12;1;0;0;154;1103;62
63;1981;165;5;38;38;133446;27;9;2;1;0;176;1141;68
63;1982;165;5;36;31;113310;20;13;3;2;0;170;940;64
-1;1986;161;5;1;1;3514;0;1;0;0;0;7;35;52
-1;1985;161;5;32;31;113921;20;10;2;0;0;168;931;52
-1;1984;161;5;31;30;107565;14;15;2;1;0;170;865;51
100;1986;288;12;3;3;10856;3;0;0;0;0;8;91;72
100;1985;288;12;66;64;232430;28;28;7;4;4;211;2151;68
100;1984;290;12;58;57;206123;27;25;4;7;5;165;1694;67
100;1983;186;3;42;39;147766;26;14;2;0;0;143;1197;57
100;1979;180;6;25;25;89731;12;11;2;0;0;113;750;50
100;1980;186;3;35;35;114906;17;13;5;2;0;118;975;53
100;1981;186;3;29;29;102225;15;8;6;1;0;107;862;60
100;1982;186;3;9;8;30934;6;2;1;1;0;30;273;58
132;1986;158;5;1;0;3472;0;1;0;0;0;6;26;59
132;1985;158;5;32;31;109945;15;12;5;4;0;173;920;58
132;1984;158;5;38;34;123706;21;14;3;2;0;195;1033;58
132;1983;158;5;32;32;110049;20;10;2;0;0;146;964;59
132;1982;158;5;29;27;97457;15;13;1;1;0;157;819;59
132;1981;158;5;26;25;88288;17;8;1;1;1;122;752;59
132;1980;158;5;35;33;121429;27;5;3;0;0;135;1008;55
132;1979;158;5;25;25;87868;20;5;0;1;0;82;756;55
134;1986;282;12;2;2;7200;2;0;0;0;2;0;61;100
134;1985;282;12;49;49;176393;26;19;4;3;2;153;1385;65
134;1984;161;5;35;34;119413;20;11;4;4;0;171;989;64
134;1979;161;5;30;29;99557;12;16;2;1;0;176;841;48
134;1980;161;5;29;26;96128;13;13;3;2;0;151;810;52
134;1981;161;5;27;26;91405;11;13;3;2;0;145;765;57
134;1982;161;5;31;30;105483;15;13;3;1;0;161;865;58
134;1983;161;5;31;29;106355;16;11;4;4;0;155;875;58
145;1986;280;0;1;1;3600;1;0;0;0;0;3;31;74
145;1979;216;9;53;51;181202;21;20;9;2;2;161;1596;66
145;1980;216;9;57;52;179688;14;34;3;5;1;219;1716;56
145;1981;216;9;59;56;201691;23;24;9;1;1;180;1822;68
145;1982;10;0;38;34;122243;18;12;5;1;2;121;1040;66
145;1983;10;0;38;33;121387;22;9;2;2;4;103;862;63
145;1984;216;9;48;46;170550;27;16;2;3;1;154;1351;61
145;1984;10;0;3;2;7554;1;1;0;0;0;11;76;55
145;1985;216;9;38;34;125852;19;13;3;2;2;116;1090;63
155;1986;295;12;2;2;7500;1;0;1;0;0;7;63;57
155;1985;295;12;11;11;39924;6;3;2;0;1;26;313;70
155;1985;303;12;31;28;94304;14;13;1;1;3;97;797;57
155;1979;9;0;36;31;113760;11;20;2;3;1;121;997;62
155;1980;9;0;30;22;83782;6;13;3;2;1;95;760;60
155;1981;9;0;32;20;89875;11;11;1;4;0;105;817;60
155;1982;9;0;22;16;65490;7;6;4;0;0;70;543;59
155;1983;9;0;28;15;66875;7;10;2;0;1;91;523;47
155;1984;223;9;21;19;71424;8;9;2;0;1;65;656;66
159;1986;284;12;1;1;2218;0;1;0;0;0;6;24;29
159;1985;284;12;45;43;154043;16;24;3;2;0;155;1386;62
159;1979;243;10;43;41;146232;13;19;7;3;0;142;1255;61
159;1980;243;10;29;24;89322;7;15;2;0;0;98;858;60
159;1981;26;0;35;28;106919;7;18;3;3;1;132;894;56
159;1982;26;0;41;23;100235;4;17;2;5;0;142;913;52
159;1983;26;0;41;28;118228;2;23;4;6;0;148;1087;58
174;1986;300;12;2;2;7180;1;1;0;0;0;10;59;42
174;1985;300;12;46;43;159536;26;12;5;2;2;135;1090;58
174;1984;300;12;40;38;134088;16;21;1;5;1;129;992;56
174;1983;236;9;54;51;187756;30;13;7;1;3;156;1385;61
174;1982;241;10;46;43;155903;14;23;5;2;1;154;1414;62
174;1981;241;10;42;39;136331;18;16;4;1;1;134;1175;60
174;1980;241;10;50;48;168022;20;26;2;1;2;171;1412;59
174;1979;241;10;22;20;72696;8;5;7;1;1;56;614;68
192;1986;186;3;1;1;682;0;1;0;0;0;10;10;45
192;1985;186;3;38;35;123829;16;16;6;3;0;148;1000;55
192;1984;186;3;29;26;98294;17;8;4;1;0;110;834;56
192;1983;186;3;31;30;104422;19;10;2;3;0;115;868;55
192;1982;186;3;42;39;139446;26;13;3;0;0;145;1158;59
192;1981;186;3;47;43;153794;25;17;5;2;0;169;1298;58
192;1980;186;3;30;29;104365;23;3;4;1;0;98;870;57
192;1979;186;3;35;34;121872;20;11;4;0;0;107;1058;56
212;1985;186;3;34;32;112771;16;17;1;5;0;142;911;52
212;1984;186;3;32;31;100622;13;18;1;2;0;139;817;56
212;1983;186;3;30;29;103555;19;11;0;1;0;112;854;58
212;1982;186;3;29;29;98933;15;11;3;2;0;114;846;58
212;1981;186;3;29;29;100724;14;14;1;1;0;111;872;58
212;1980;186;3;28;27;92455;16;9;3;2;0;96;757;55
