PlayerId;Year;TeamId;LeagueId;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
420;1980;223;9;4;3;13187;3;0;1;0;0;9;128;78
581;1981;237;9;2;2;7200;0;1;1;0;0;8;59;53
581;1980;8;0;0;0;0;0;0;0;0;0;0;0;0
2695;1979;21;0;3;3;7901;2;1;0;0;0;7;61;62
2695;1980;242;10;4;4;14400;2;0;2;0;0;9;114;75
2695;1981;21;0;4;4;14260;0;3;0;0;0;16;134;67
2695;1982;242;10;5;4;14746;2;2;0;0;0;14;111;57
2695;1983;242;10;0;0;0;0;0;0;0;0;0;0;0
656;1979;5;0;7;7;24172;5;2;0;1;0;19;175;65
656;1980;5;0;7;7;24864;3;3;1;2;1;23;178;61
656;1981;5;0;2;0;2669;0;0;0;1;0;2;31;66
656;1982;5;0;1;0;702;0;0;0;0;0;1;7;50
656;1983;5;0;0;0;0;0;0;0;0;0;0;0;0
2480;1979;279;0;4;3;13304;3;0;1;0;0;6;66;64
2480;1980;15;0;4;4;12675;1;1;1;0;0;14;107;60
2480;1981;15;0;1;0;643;0;0;0;0;0;0;3;53
2480;1982;15;0;0;0;0;0;0;0;0;0;0;0;0
2480;1983;236;9;1;1;2219;0;0;0;0;0;6;25;29
2480;1984;236;9;3;3;10781;1;2;0;0;0;12;108;68
2480;1985;236;9;3;3;10643;0;3;0;0;0;11;89;60
745;1984;283;12;3;2;7692;2;0;0;0;0;2;45;67
380;1986;218;9;4;4;11833;1;2;1;0;0;14;133;64
380;1984;226;9;3;2;9806;1;1;0;0;0;11;106;60
380;1979;0;0;1;0;459;0;0;0;0;0;1;7;49
380;1980;0;0;4;4;11120;3;1;0;0;0;9;65;56
380;1981;0;0;2;2;7200;2;0;0;0;0;6;61;75
380;1982;226;9;3;2;7779;1;1;0;0;0;14;83;43
51;1986;223;9;5;2;11240;0;2;0;0;0;13;126;63
51;1982;279;0;0;0;0;0;0;0;0;0;0;0;0
51;1983;214;9;1;1;2715;0;1;0;0;0;6;39;48
51;1985;223;9;3;2;9696;0;2;0;0;0;11;74;47
259;1985;304;12;4;2;9887;1;1;1;0;0;7;89;67
259;1984;304;12;3;3;11100;1;1;1;0;0;11;96;58
259;1979;14;0;1;0;796;0;0;0;0;0;2;6;37
259;1980;14;0;2;2;4067;0;2;0;0;0;6;36;47
259;1981;25;0;1;0;621;0;0;0;0;0;1;6;47
688;1979;18;0;5;3;13412;1;2;0;0;0;11;105;64
688;1980;18;0;7;7;21064;3;3;0;0;2;20;185;69
688;1981;18;0;7;7;25200;5;1;1;0;0;22;183;66
688;1982;18;0;7;7;24507;3;3;0;0;0;24;200;65
688;1983;18;0;7;7;25500;6;0;1;0;2;13;171;78
688;1984;18;0;0;0;0;0;0;0;0;0;0;0;0
688;1985;18;0;4;4;14381;2;2;0;0;0;14;120;66
688;1986;18;0;1;0;1768;0;0;0;0;0;2;11;47
977;1981;12;0;1;1;3246;0;0;0;0;0;6;21;20
977;1982;12;0;3;3;10748;2;1;0;1;0;7;85;76
977;1983;12;0;0;0;0;0;0;0;0;0;0;0;0
977;1984;12;0;2;2;7116;0;2;0;1;0;10;77;65
977;1985;12;0;3;3;10800;2;1;0;0;0;11;94;70
1170;1979;21;0;5;4;17271;1;1;2;0;1;11;126;73
1170;1980;21;0;3;3;10771;2;1;0;1;0;11;100;73
1170;1981;21;0;3;3;10800;1;1;1;0;1;8;96;76
1170;1982;21;0;5;3;11320;3;0;0;1;0;6;82;67
1170;1983;21;0;4;3;10979;1;1;1;1;0;11;83;58
1232;1979;0;0;7;7;24705;4;2;1;1;0;27;214;66
1232;1980;0;0;4;3;14052;2;0;1;0;0;13;107;64
1232;1981;0;0;5;5;17965;0;4;1;1;0;23;137;49
1232;1982;0;0;7;7;24156;3;3;1;0;0;25;164;54
1232;1983;0;0;5;5;16583;1;4;0;0;0;24;167;58
1232;1984;0;0;6;5;18562;2;3;0;0;0;21;139;54
1232;1985;0;0;6;6;21534;5;1;0;0;0;22;187;68
1232;1986;0;0;4;4;13510;3;1;0;0;0;16;131;66
1326;1985;288;12;4;2;9577;2;0;0;0;0;6;101;71
1326;1984;288;12;3;2;10425;2;1;0;0;0;4;73;74
1445;1979;26;0;7;7;25200;4;3;0;0;1;19;180;70
1445;1980;26;0;6;4;17013;1;3;0;2;0;26;161;50
1445;1981;26;0;3;3;10800;2;1;0;0;0;9;103;83
1445;1982;254;10;5;5;18000;5;0;0;0;1;7;115;72
1445;1983;254;10;4;3;13707;3;0;1;0;0;7;71;60
