PlayerId;Year;TeamId;LeagueId;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
1587;1979;186;3;38;36;127051;19;17;2;4;0;121;1087;52
2745;1979;186;3;41;40;142411;31;9;1;0;0;111;1142;53
2873;1979;186;3;34;33;119889;14;15;5;0;0;128;1011;47
2974;1979;186;3;33;31;114801;8;22;3;5;0;174;977;42
794;1980;166;5;33;33;115830;21;11;1;2;0;135;939;54
794;1979;166;5;34;34;115683;21;12;1;3;0;145;949;56
420;1980;223;9;36;32;116954;12;15;5;0;0;117;1147;65
420;1979;186;3;33;32;116271;22;8;3;2;0;91;972;57
581;1981;237;9;22;20;72849;10;5;5;1;2;59;638;68
581;1979;8;0;70;69;250386;41;18;9;3;7;188;1800;69
581;1980;8;0;5;0;8138;0;0;0;1;0;9;64;52
581;1980;237;9;37;34;120461;12;16;5;0;1;127;1020;57
242;1983;186;3;27;25;94023;18;8;1;3;0;110;760;57
242;1979;186;3;27;27;93298;12;12;3;1;0;86;778;55
242;1980;186;3;37;36;120591;15;18;4;6;0;123;962;53
242;1981;186;3;24;20;68717;13;9;2;3;0;75;564;59
242;1982;186;3;28;26;92388;16;11;1;1;0;96;750;57
2199;1983;186;3;29;26;99116;10;13;6;1;0;129;830;48
2199;1982;186;3;32;32;108713;16;15;1;3;0;128;939;46
2199;1981;186;3;34;33;117809;15;14;5;1;0;147;979;52
2199;1980;186;3;34;31;111703;15;18;1;3;0;155;917;49
2199;1979;186;3;32;29;99316;8;20;4;2;0;129;829;48
118;1984;154;5;35;33;115399;10;22;3;5;0;255;938;47
118;1983;154;5;33;30;106099;5;26;2;7;0;246;911;49
118;1982;154;5;34;34;108860;6;25;3;4;0;252;913;47
118;1981;154;5;26;23;84143;8;16;2;1;0;169;701;50
118;1980;154;5;31;29;97310;9;21;1;3;0;186;788;46
118;1979;154;5;33;32;112845;15;15;3;2;0;183;935;48
337;1984;155;5;36;33;122467;18;16;2;3;0;200;993;55
337;1983;155;5;33;31;112554;18;13;2;0;0;173;924;57
337;1982;155;5;28;26;87227;9;13;6;1;0;164;736;55
337;1981;155;5;30;30;107022;20;7;3;1;0;135;873;60
337;1980;155;5;33;32;113867;24;7;2;2;0;132;948;54
337;1979;155;5;30;28;102609;19;8;3;1;0;120;879;56
1451;1984;186;3;28;27;91651;8;19;1;4;0;151;748;51
1451;1983;186;3;40;37;125046;16;21;3;3;0;207;1046;50
1451;1982;186;3;39;35;127351;15;21;3;3;0;169;1085;53
1451;1981;186;3;25;24;86528;14;7;4;0;0;97;694;54
1451;1980;186;3;29;27;93179;15;11;3;3;0;100;783;51
1451;1979;186;3;33;32;108598;13;17;3;4;0;131;868;51
