PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
51;223;9;3;3;180;0;3;0;112;98;14;4.67;0;.875;57
63;296;296;6;6;366;2;4;0;220;192;28;4.58;0;.873;59
100;288;288;5;5;299;1;4;0;168;149;19;3.81;0;.887;66
134;282;282;17;17;1002;10;6;0;489;434;55;3.29;1;.888;62
145;280;280;1;0;51;0;0;0;53;47;6;6.95;0;.887;84
155;295;295;10;10;605;6;3;0;274;244;30;2.97;0;.891;62
174;301;301;9;9;482;7;1;0;161;138;23;2.86;0;.857;50
221;14;14;3;0;63;1;0;0;28;28;0;0.00;0;1.000;65
229;279;279;4;4;239;0;4;0;141;127;14;3.51;0;.901;71
432;15;15;10;10;558;4;6;0;236;202;34;3.65;1;.856;56
442;18;18;14;14;832;9;5;0;449;405;44;3.17;1;.902;70
463;291;291;16;16;948;9;6;0;507;449;58;3.67;0;.886;60
472;301;301;4;3;236;2;2;0;103;91;12;3.04;0;.883;61
496;305;305;7;7;424;3;4;0;168;146;22;3.11;0;.869;60
510;15;15;2;0;49;0;0;0;33;31;2;2.41;0;.939;64
523;3;3;15;15;922;12;2;0;355;311;44;2.86;1;.876;61
679;19;19;10;10;594;5;5;0;313;276;37;3.73;0;.882;63
695;23;23;1;1;59;0;1;0;32;27;5;5.07;0;.844;45
852;9;9;5;5;298;1;4;0;216;195;21;4.22;0;.903;73
868;22;22;4;4;241;0;4;0;114;99;15;3.73;0;.868;52
935;236;25;11;11;659;9;2;0;284;261;23;2.09;0;.919;74
964;280;280;5;5;250;1;4;0;203;184;19;4.55;0;.906;73
1055;299;299;14;14;851;7;7;0;384;340;44;3.10;2;.885;64
1087;3;3;1;0;7;0;1;0;3;1;2;16.74;0;.333;35
1088;287;287;6;6;381;2;4;0;223;199;24;3.77;0;.892;67
1151;8;8;6;6;369;2;4;0;206;184;22;3.57;0;.893;68
1215;23;23;5;5;328;2;3;0;175;155;20;3.66;0;.886;62
1222;296;296;2;1;64;1;0;0;34;32;2;1.86;0;.941;70
1232;0;0;5;5;304;1;4;0;212;193;19;3.75;0;.910;77
1258;14;14;15;15;835;9;5;0;430;381;49;3.52;0;.886;60
1284;294;294;1;0;40;0;0;0;27;24;3;4.44;0;.889;61
1290;233;17;3;3;181;0;3;0;99;85;14;4.62;0;.859;52
1327;302;302;2;1;65;0;1;0;46;38;8;7.36;0;.826;43
1372;302;302;11;10;614;4;6;0;357;320;37;3.61;0;.896;62
1381;10;10;10;10;653;4;6;0;365;325;40;3.67;0;.890;63
1410;278;278;5;5;298;1;4;0;159;142;17;3.42;0;.893;65
1445;305;305;1;0;16;0;0;0;4;4;0;0.00;0;1.000;52
1476;19;19;1;0;8;0;0;0;4;4;0;0.00;0;1.000;54
1532;216;10;12;12;719;8;4;0;321;282;39;3.25;0;.879;59
1819;285;285;2;1;131;1;1;0;86;81;5;2.29;0;.942;74
2000;291;291;1;0;8;1;0;0;4;4;0;0.00;0;1.000;61
2313;218;218;2;0;62;0;0;0;39;37;2;1.93;0;.949;65
2347;290;290;4;4;277;0;4;0;130;117;13;2.81;0;.900;69
2381;282;282;1;0;72;0;1;0;40;38;2;1.67;0;.950;73
2395;21;21;8;8;477;4;4;0;227;206;21;2.64;0;.907;67
2414;18;18;1;0;7;0;0;0;7;7;0;0.00;0;1.000;57
2623;295;295;7;5;322;4;2;0;182;161;21;3.91;0;.885;60
2646;17;17;1;0;6;0;0;0;4;4;0;0.00;0;1.000;58
2721;17;17;14;14;832;12;2;0;325;296;29;2.09;3;.911;66
2722;222;5;3;3;179;0;3;0;78;69;9;3.00;0;.885;63
2780;283;283;13;13;801;7;6;0;362;320;42;3.14;0;.884;60
2810;289;289;11;11;694;7;4;0;349;315;34;2.94;1;.903;66
2881;300;300;5;5;298;1;4;0;175;157;18;3.62;0;.897;66
3293;285;285;5;5;283;1;3;0;145;127;18;3.80;0;.876;58
3398;294;294;5;5;284;1;4;0;187;163;24;5.05;0;.872;56
4551;237;8;5;5;336;2;3;0;167;151;16;2.85;0;.904;67
4571;214;11;7;7;419;4;3;0;228;206;22;3.14;0;.904;69
4788;218;14;8;8;453;3;5;0;217;185;32;4.23;0;.853;49
