PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
1;25;25;1;1;60;1;0;0;33;30;3;3.00;0;.909;74
45;237;3;1;1;62;0;1;0;31;26;5;4.81;0;.839;45
63;296;296;2;2;119;1;1;0;53;46;7;3.51;0;.868;55
100;288;288;3;2;172;0;2;0;97;87;10;3.48;0;.897;63
-1;236;15;1;1;60;1;0;0;31;30;1;1.00;0;.968;82
145;280;280;2;0;39;0;0;0;31;28;3;4.61;0;.903;55
155;295;295;2;2;119;1;1;0;70;63;7;3.53;0;.900;65
159;284;284;2;2;122;0;2;0;71;61;10;4.91;0;.859;57
174;301;301;2;2;120;2;0;0;41;36;5;2.50;0;.878;59
223;16;16;3;3;126;2;1;0;65;58;7;3.33;0;.892;59
229;279;279;7;7;396;3;3;1;214;195;19;2.87;0;.911;71
248;224;22;2;2;76;0;1;1;58;51;7;5.51;0;.879;58
252;16;16;5;4;292;3;1;0;142;125;17;3.48;0;.880;55
432;15;15;7;7;403;3;3;1;187;162;25;3.72;1;.866;57
435;24;24;7;7;417;4;3;0;171;150;21;3.02;1;.877;61
442;18;18;7;7;433;2;2;3;225;200;25;3.46;0;.889;62
463;291;291;1;1;59;0;1;0;23;21;2;2.02;0;.913;63
472;301;301;2;2;120;2;0;0;48;44;4;2.00;0;.917;63
496;305;305;2;2;120;2;0;0;61;57;4;2.00;0;.934;77
510;15;15;1;0;23;0;0;0;23;22;1;2.51;0;.957;71
644;9;9;7;7;402;3;4;0;237;213;24;3.58;0;.899;70
645;283;283;2;2;125;0;1;1;58;49;9;4.32;0;.845;54
662;8;8;4;0;106;0;0;0;63;52;11;6.17;0;.825;43
671;20;20;2;1;89;0;1;0;64;56;8;5.37;0;.875;56
679;19;19;7;7;425;2;4;1;234;207;27;3.80;0;.885;66
687;299;299;2;2;120;2;0;0;37;35;2;1.00;0;.946;74
695;23;23;3;3;180;3;0;0;81;67;14;4.67;0;.827;44
752;297;297;3;2;170;1;0;1;70;62;8;2.81;0;.886;54
822;224;224;2;1;110;1;0;0;55;48;7;3.80;0;.873;62
851;304;304;2;2;118;0;2;0;60;51;9;4.55;0;.850;49
852;9;9;1;0;16;0;0;0;11;8;3;11.12;0;.727;29
868;22;22;7;7;424;4;3;0;256;237;19;2.69;1;.926;80
898;10;10;3;3;184;3;0;0;66;60;6;1.95;0;.909;64
935;285;285;2;2;122;2;0;0;47;42;5;2.45;0;.894;60
961;0;0;6;6;369;2;2;1;221;197;24;3.90;0;.891;69
964;280;280;7;7;385;2;4;1;258;230;28;4.36;0;.891;65
1055;299;299;2;2;118;1;1;0;46;39;7;3.53;0;.848;48
1087;3;3;7;7;420;5;2;0;163;141;22;3.14;1;.865;54
1088;300;300;3;3;180;2;1;0;89;84;5;1.67;2;.944;78
1093;286;286;2;2;119;1;1;0;72;67;5;2.51;0;.931;83
1151;8;8;7;7;311;1;6;0;191;160;31;5.97;0;.838;49
1157;298;298;2;2;120;2;0;0;68;65;3;1.50;0;.956;83
1190;26;26;5;5;270;2;3;0;161;142;19;4.21;0;.882;59
