PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
1;25;25;3;3;156;0;3;0;105;87;18;6.92;0;.829;47
145;280;280;1;0;17;0;0;0;14;12;2;7.03;0;.857;49
223;16;16;2;1;118;0;0;1;47;43;4;2.02;0;.915;64
229;279;279;3;3;179;2;1;0;84;77;7;2.34;0;.917;70
252;16;16;2;2;66;0;2;0;50;43;7;6.35;0;.860;44
432;15;15;3;3;180;3;0;0;72;65;7;2.33;0;.903;64
435;24;24;3;3;180;3;0;0;71;66;5;1.67;0;.930;73
442;18;18;3;3;180;2;1;0;100;89;11;3.67;0;.890;62
644;9;9;1;0;4;0;0;0;2;1;1;14.52;0;.500;39
679;19;19;3;3;180;3;0;0;69;61;8;2.67;0;.884;62
852;9;9;3;3;175;1;2;0;104;91;13;4.44;0;.875;59
868;22;22;2;2;120;2;0;0;73;69;4;2.00;0;.945;85
898;10;10;1;1;60;1;0;0;20;18;2;2.00;0;.900;61
961;0;0;3;3;180;2;1;0;96;86;10;3.33;0;.896;73
964;280;280;2;2;102;0;2;0;76;64;12;6.99;0;.842;38
1087;3;3;3;3;179;2;1;0;69;62;7;2.34;0;.899;60
1151;8;8;3;3;184;0;2;1;118;109;9;2.93;0;.924;78
1190;26;26;3;2;128;0;2;0;77;71;6;2.79;0;.922;65
1215;23;23;3;3;179;2;1;0;97;82;15;5.01;0;.845;49
1247;11;11;4;4;185;0;3;0;129;112;17;5.51;0;.868;60
1258;14;14;3;3;179;2;1;0;74;64;10;3.35;0;.865;53
1278;12;12;2;2;106;0;1;1;66;57;9;5.05;0;.864;59
1381;10;10;2;2;117;0;2;0;32;24;8;4.08;0;.750;28
1410;278;278;3;3;183;0;2;1;107;93;14;4.59;0;.869;56
1412;5;5;3;3;179;1;2;0;115;104;11;3.69;0;.904;72
1427;20;20;3;3;184;0;2;1;136;124;12;3.90;0;.912;76
1498;12;12;1;0;18;0;0;0;7;6;1;3.32;0;.857;47
2395;21;21;3;3;180;3;0;0;89;80;9;3.00;0;.899;64
2646;17;17;1;1;60;1;0;0;18;18;0;0.00;1;1.000;89
2721;17;17;2;2;120;2;0;0;40;37;3;1.50;0;.925;77
2805;26;26;1;1;50;0;1;0;40;34;6;7.19;0;.850;60
4550;25;25;2;0;23;0;0;0;12;11;1;2.51;0;.917;54
4776;11;11;3;0;59;0;0;1;56;47;9;9.01;0;.839;48
