PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
0;0;8;5;18;20;13;8;15;16;15;13;16;15;1;1;15;15;16;16;15;15;6;14;12;14;12;16;8;14;12;13;11;14;8;12;15;1;1;1;1;1;1;1;1;1;1;1;15;16;12;11;12;17;12;13;0;0;2Aa;2Aa
1;20;0;0;0;0;0;5;1;13;13;14;1;12;17;18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;12;14;14;15;14;15;14;14;14;16;0;0;7;0;1;9;11;0;13;15;2.5Bc;2.5Bc
2;0;8;5;19;20;13;13;15;14;12;14;12;14;1;1;7;12;8;10;8;8;8;11;11;11;11;11;4;10;12;11;11;11;6;11;13;1;1;1;1;1;1;1;1;1;1;1;8;9;11;10;11;13;12;10;0;0;0.5Ca;0.5Ca
3;0;5;8;12;19;20;9;18;15;15;18;12;14;1;1;13;12;15;11;14;15;7;17;12;12;13;12;7;12;15;15;14;16;7;18;17;1;1;1;1;1;1;1;1;1;1;1;13;13;13;14;14;16;12;12;0;0;2Dc;2.5Dc
4;0;8;5;20;10;15;10;11;14;11;11;8;13;1;1;12;12;14;12;15;14;10;14;13;12;13;14;5;14;13;10;16;15;9;15;14;1;1;1;1;1;1;1;1;1;1;1;12;12;11;13;13;17;11;13;0;0;1.5Cd;1.5Cd
5;0;15;20;10;19;12;9;12;11;15;14;7;11;1;1;13;12;13;13;15;14;7;12;14;16;12;12;6;14;13;14;11;12;7;18;13;1;1;1;1;1;1;1;1;1;1;1;13;9;15;12;11;17;12;12;0;0;1Dc;1Dc
6;0;8;5;20;19;14;8;16;14;13;16;7;13;1;1;17;16;16;16;17;14;8;17;17;17;16;16;6;16;14;13;15;17;8;15;15;1;1;1;1;1;1;1;1;1;1;1;16;14;13;13;14;18;12;16;0;0;3.5Ac;4Ac
7;0;20;14;8;5;5;9;13;13;16;13;10;14;1;1;7;5;12;10;11;11;10;7;13;14;15;10;16;15;13;6;12;12;13;14;16;1;1;1;1;1;1;1;1;1;1;1;9;13;12;13;10;15;11;14;0;0;1Cd;1Cd
8;0;8;8;19;13;20;8;15;14;16;14;14;14;1;1;10;12;11;12;7;13;6;13;12;12;13;13;6;14;10;11;14;10;6;12;11;1;1;1;1;1;1;1;1;1;1;1;11;12;12;9;12;13;10;13;0;0;0.5Ca;0.5Ca
9;0;8;5;20;10;18;10;14;14;17;14;12;16;1;1;11;10;10;11;9;7;8;10;13;14;13;11;7;10;12;11;7;10;6;9;13;1;1;1;1;1;1;1;1;1;1;1;10;12;14;9;9;14;11;11;0;0;0.5Ca;0.5Ca
10;0;11;10;20;15;19;8;15;16;15;14;16;16;1;1;17;16;17;20;15;11;8;16;17;16;16;15;7;17;16;12;10;14;10;13;15;1;1;1;1;1;1;1;1;1;1;1;18;14;14;13;12;17;11;17;0;0;3Cc;3.5Cc
11;0;6;8;14;16;20;9;10;7;13;8;7;7;1;1;4;8;7;9;6;6;3;8;9;5;7;10;4;9;8;10;7;4;3;8;4;1;1;1;1;1;1;1;1;1;1;1;6;9;9;5;8;12;9;9;0;0;0.5Ca;0.5Ca
12;0;20;19;10;8;16;13;18;13;10;12;8;15;1;1;7;6;7;6;7;11;12;10;12;13;13;9;16;12;14;7;18;12;13;13;13;1;1;1;1;1;1;1;1;1;1;1;6;12;11;13;14;13;10;12;0;0;0.5Cc;0.5Cc
13;0;8;5;20;19;12;10;15;14;12;14;10;13;1;1;8;8;11;6;7;12;6;8;10;11;10;13;4;12;10;10;9;13;8;11;11;1;1;1;1;1;1;1;1;1;1;1;8;10;11;10;10;13;12;11;0;0;0.5Ca;0.5Ca
14;0;8;8;20;10;19;8;16;15;15;15;11;13;1;1;12;11;14;12;13;14;7;18;13;14;15;13;7;14;14;14;15;15;7;14;15;1;1;1;1;1;1;1;1;1;1;1;12;13;13;12;14;16;10;13;0;0;2Dc;2Dc
15;0;17;20;10;6;12;12;14;17;18;19;15;14;1;1;16;15;17;18;20;17;6;10;16;19;19;10;18;17;11;10;13;15;14;16;13;1;1;1;1;1;1;1;1;1;1;1;17;14;15;14;13;20;15;14;0;0;4.5Dc;4.5Dc
16;0;19;20;8;5;8;9;14;14;16;15;13;13;1;1;12;11;11;12;10;9;10;7;9;12;13;6;14;12;13;6;9;13;12;12;13;1;1;1;1;1;1;1;1;1;1;1;11;10;13;12;9;14;11;13;0;0;0.5Ca;0.5Ca
18;0;20;19;8;5;5;5;7;10;10;10;12;8;1;1;7;9;6;6;10;6;5;3;6;11;10;6;14;9;10;5;6;8;10;12;11;1;1;1;1;1;1;1;1;1;1;1;6;10;10;10;5;14;10;9;0;0;0.5Ca;0.5Ca
