PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;1986;9;0;3;0;0;0;-1;0;0;0;0;52;0;0;8;3;1;0;0;4;1215;0;0;0;0
0;1982;9;0;8;4;1;0;-4;0;0;0;0;59;1;17;56;23;6;11;6;5;5828;125;351;0;0
0;1983;9;0;3;0;0;2;-3;0;0;0;0;58;0;5;14;7;1;0;1;4;1581;0;98;0;0
0;1984;9;0;5;1;1;0;-1;0;0;0;0;59;0;8;26;13;0;2;1;0;3156;0;110;0;0
0;1985;9;0;7;1;1;2;-1;0;0;0;0;55;0;5;48;19;1;1;0;1;3284;0;0;0;0
2;1986;294;12;4;1;0;0;-7;0;0;0;0;51;0;5;48;27;6;2;1;2;3266;68;506;0;0
2;1979;242;10;3;2;0;4;0;0;0;0;0;62;0;8;26;14;6;1;0;0;3264;107;142;0;0
2;1980;242;10;1;0;0;2;0;0;0;0;0;64;0;0;2;1;4;0;1;0;897;0;20;0;0
3;1983;214;9;9;1;1;2;-1;1;0;0;0;53;0;3;38;24;4;3;1;0;3299;4;1174;0;0
4;1984;222;9;2;0;1;0;1;0;0;0;0;62;0;4;1;0;2;2;2;0;1847;40;74;0;0
6;1983;5;0;5;4;0;2;-3;0;0;0;0;70;1;12;3;1;7;2;3;1;4091;673;53;0;0
6;1985;5;0;4;2;3;7;-3;1;3;0;0;80;0;15;10;4;11;2;0;6;3863;560;423;1;0
7;1986;287;12;6;1;4;5;2;0;2;0;0;72;0;10;0;0;8;3;1;7;6651;1347;239;1;0
7;1985;287;12;6;0;1;0;-1;0;0;0;0;56;0;9;0;0;1;1;0;0;4722;0;295;0;0
8;1986;223;9;3;0;0;0;-2;0;0;0;0;49;0;0;0;0;1;0;0;0;707;0;119;0;0
8;1982;9;0;8;0;0;0;-3;0;0;0;0;59;0;7;0;0;9;4;1;0;3301;155;0;0;0
8;1983;9;0;3;0;0;0;-2;0;0;0;0;57;0;1;0;0;1;0;0;0;1156;0;0;0;0
8;1984;9;0;5;0;1;2;3;0;0;0;0;63;0;3;1;1;3;0;0;1;2328;0;0;0;0
9;1983;216;9;2;1;0;0;0;0;0;0;0;53;0;2;2;1;0;0;0;0;776;0;75;0;0
9;1982;216;9;3;0;2;2;0;0;1;0;0;58;0;3;5;2;2;0;0;0;2286;147;70;0;0
10;1986;23;0;6;3;6;6;1;0;0;0;1;63;0;22;0;0;5;4;0;1;6351;686;363;0;0
10;1981;238;10;4;3;2;0;-5;0;0;0;0;76;0;16;11;3;6;3;4;4;6281;845;553;0;0
10;1985;23;0;5;1;3;2;-2;1;0;0;0;68;0;10;0;0;7;6;1;6;4182;811;0;0;0
12;1985;298;12;1;0;0;0;3;0;0;0;0;69;0;1;0;0;2;0;0;0;1038;0;56;0;0
12;1984;298;12;10;2;3;2;6;0;0;0;0;55;0;19;0;0;21;3;4;3;10569;287;728;0;0
14;1982;223;9;1;0;0;0;-1;0;0;0;0;44;0;1;0;0;0;0;0;0;196;0;0;0;0
14;1983;223;9;5;0;1;4;1;0;0;0;0;61;0;5;10;6;10;3;3;2;5337;265;107;0;0
14;1985;19;0;7;0;0;2;1;0;0;0;0;61;0;9;0;0;7;4;4;1;3210;79;203;0;0
15;1986;3;0;15;9;6;0;17;0;2;0;1;65;2;75;0;0;22;3;6;11;18270;2695;1161;0;0
15;1979;18;0;19;2;16;4;16;2;2;0;0;77;0;45;0;0;27;4;16;39;23496;2315;1704;0;0
15;1980;18;0;23;3;12;11;8;2;4;0;0;71;0;43;0;0;26;4;8;31;27262;2650;2650;1;1
15;1981;18;0;19;5;20;17;21;4;2;0;1;79;0;31;0;0;23;6;16;45;22858;2879;1779;1;1
15;1982;18;0;22;5;20;29;22;1;2;0;0;76;0;48;1;1;25;6;18;46;27408;3545;2456;1;0
15;1983;3;0;3;0;2;0;-5;0;2;0;0;63;0;1;0;0;1;1;4;11;3768;370;224;0;0
15;1984;3;0;22;1;16;17;19;0;2;0;1;71;1;45;0;0;28;4;18;82;27990;741;1108;3;0
15;1985;3;0;12;3;5;10;3;2;1;0;0;71;0;32;0;0;19;7;15;41;14239;2040;776;0;0
16;1986;295;12;14;3;4;4;2;0;2;0;0;57;0;27;0;0;12;6;7;12;14139;1917;869;0;0
16;1985;295;12;18;3;8;5;-8;1;3;0;0;62;0;52;0;0;7;13;8;32;17667;4371;1169;1;0
16;1980;20;0;9;0;2;7;1;0;0;0;0;65;0;5;0;0;6;3;4;21;9350;254;698;1;0
16;1981;279;0;5;0;3;0;1;0;0;0;0;61;0;8;0;0;6;0;2;7;5642;162;237;0;0
19;1986;8;0;6;0;0;0;0;0;0;0;0;54;0;8;41;20;3;0;1;1;2928;0;291;0;0
19;1979;24;0;17;3;6;15;5;0;0;0;0;59;0;17;8;4;30;6;5;7;9540;0;1521;1;1
19;1980;24;0;8;2;3;20;-1;0;1;0;0;61;0;4;48;21;8;4;3;0;3647;1538;21;2;1
19;1981;24;0;8;1;0;0;0;0;0;0;0;60;0;6;2;0;9;2;1;3;4072;20;141;0;0
19;1982;254;10;3;1;0;2;-6;0;0;0;0;47;0;3;9;6;5;1;1;2;3402;50;230;0;0
19;1983;24;0;16;2;1;9;0;0;0;0;1;58;0;22;76;33;12;8;7;4;6493;0;2060;1;1
19;1984;24;0;11;0;2;0;-2;0;0;0;0;56;0;12;65;32;5;1;5;2;5307;107;173;0;0
19;1985;24;0;4;0;0;0;-4;0;0;0;0;57;0;1;25;15;1;0;3;1;1442;0;549;0;0
21;1985;303;12;7;0;4;2;-1;0;0;0;0;53;0;9;38;23;6;4;3;5;6113;86;890;0;0
21;1979;20;0;8;3;2;0;5;0;0;0;0;65;1;20;1;1;7;6;0;5;7528;316;123;0;0
21;1980;20;0;9;2;1;0;-7;0;0;0;0;62;0;19;10;2;9;6;5;3;8445;210;272;0;0
21;1981;3;0;3;0;0;0;-3;0;0;0;0;56;0;1;10;2;4;3;3;1;1392;0;339;0;0
21;1982;3;0;5;0;0;0;-2;0;0;0;0;59;0;6;0;0;5;2;2;1;2283;0;702;0;0
21;1984;237;9;3;1;1;0;1;0;0;0;0;56;0;4;20;9;0;0;2;2;3387;178;332;0;0
22;1986;15;0;10;8;6;4;-2;2;3;0;0;83;0;41;212;119;1;5;6;5;10493;2077;149;0;0
22;1981;15;0;15;12;5;8;-8;1;3;0;0;77;3;55;225;112;14;11;13;6;16207;1952;140;0;0
22;1982;15;0;4;5;2;0;-1;0;0;0;0;79;1;19;76;40;3;4;6;1;4452;746;89;0;0
22;1983;15;0;23;24;20;6;10;0;4;0;0;82;4;97;357;191;24;20;17;8;25899;3547;141;0;0
22;1984;15;0;5;6;1;2;1;0;0;0;0;79;1;24;68;41;4;7;3;3;5462;560;116;0;0
22;1985;15;0;24;26;17;11;7;1;10;0;0;79;3;81;344;194;14;22;14;15;26116;3593;342;1;1
23;1986;282;12;17;2;1;6;-3;0;0;0;0;55;0;25;125;61;8;5;0;2;9282;99;673;0;0
23;1985;282;12;3;0;0;2;-1;0;0;0;0;61;0;5;2;2;1;0;1;0;2322;163;0;0;0
23;1979;22;0;3;0;1;0;-2;0;0;0;0;63;0;4;0;0;4;3;2;0;2856;163;0;0;0
24;1986;22;0;4;1;1;2;-1;0;1;0;0;75;0;8;68;34;2;1;6;6;4219;522;751;0;0
24;1979;22;0;3;1;2;0;-5;1;0;0;0;69;0;3;1;0;1;1;3;2;3076;248;0;0;0
24;1981;22;0;16;3;9;7;-14;1;3;0;0;75;1;43;13;11;21;14;11;7;19071;1594;724;1;0
24;1983;22;0;9;3;9;5;10;0;1;0;0;76;1;19;120;57;10;3;13;7;9671;1618;116;1;1
24;1985;22;0;11;4;7;6;3;0;2;0;0;74;0;29;149;68;13;6;20;7;11906;1780;1448;0;0
26;1980;3;0;4;1;0;0;-4;1;0;0;0;76;0;14;12;7;5;8;5;2;4312;908;272;0;0
26;1981;3;0;3;1;1;0;-5;0;0;0;0;73;0;9;1;0;0;2;0;1;3241;192;5;0;0
26;1982;3;0;5;2;5;0;1;0;4;0;0;66;1;14;77;38;1;7;4;6;5603;447;0;0;0
26;1983;3;0;3;1;5;0;0;1;1;0;0;76;0;5;0;0;4;2;0;0;3079;351;0;0;0
26;1984;3;0;22;17;20;10;25;2;6;1;0;78;4;85;3;2;45;23;13;12;23197;3619;114;0;0
26;1985;3;0;12;8;10;0;9;1;1;0;0;73;0;38;0;0;20;9;4;3;12940;370;68;0;0
26;1986;3;0;15;5;6;4;9;0;0;0;0;62;0;32;0;0;9;9;8;12;15356;782;0;0;0
29;1986;300;12;5;2;1;0;4;0;0;0;0;54;0;5;23;8;3;0;0;1;1938;0;0;0;0
29;1985;300;12;19;6;10;6;5;1;1;0;1;59;0;44;251;142;10;7;4;9;16367;1382;650;0;0
29;1984;300;12;25;9;15;16;3;4;7;0;0;66;1;54;422;223;17;6;4;8;23408;3853;166;0;0
30;1982;17;0;2;1;3;0;2;0;0;0;0;83;0;4;0;0;2;1;2;1;1848;84;0;0;0
30;1983;17;0;12;3;7;4;-3;1;1;0;0;73;0;30;0;0;9;8;5;6;11420;252;0;0;0
30;1984;17;0;15;3;9;0;8;0;0;0;0;72;0;40;65;35;18;10;6;6;15295;987;0;0;0
30;1985;17;0;23;11;17;2;15;2;8;0;0;77;3;85;9;2;31;19;7;15;21442;4023;0;0;0
31;1982;11;0;9;0;4;2;-13;0;0;0;0;54;0;8;0;0;17;3;3;23;9774;27;214;0;0
31;1984;11;0;10;0;3;15;-5;0;0;0;0;61;0;8;0;0;10;0;7;27;11407;172;540;1;1
32;1982;3;0;5;1;0;0;-3;0;0;0;0;56;0;7;37;23;1;2;1;2;3617;0;642;0;0
32;1983;3;0;3;0;0;2;-8;0;0;0;0;54;0;3;29;10;0;0;5;0;2214;24;322;0;0
32;1984;3;0;22;2;2;4;-2;0;0;0;1;61;0;13;177;77;12;10;13;15;11080;82;2454;0;0
33;1979;241;10;4;2;2;2;-6;0;1;0;0;78;0;12;81;39;7;1;0;4;6944;264;412;0;0
33;1982;237;9;5;2;2;0;1;0;0;0;0;61;1;8;84;40;3;1;3;5;5526;90;455;0;0
33;1983;254;10;4;1;3;0;-1;0;0;0;0;58;0;4;56;28;1;0;4;2;3507;134;220;0;0
33;1984;237;9;3;0;0;2;-1;0;0;0;0;50;0;1;7;3;1;1;0;2;1180;0;350;0;0
34;1979;279;0;3;0;1;0;-5;0;0;0;0;57;0;5;40;26;4;5;2;5;2653;0;444;0;0
34;1980;279;0;4;0;0;2;-6;0;0;0;0;56;0;4;33;21;3;2;1;4;2983;0;48;0;0
34;1981;279;0;5;0;2;4;-6;0;0;0;0;52;0;4;41;25;4;3;1;2;3554;0;294;0;0
36;1986;283;12;13;2;11;6;1;0;3;0;0;67;0;42;7;4;11;3;7;7;11779;1701;29;0;0
36;1985;283;12;7;1;3;0;0;0;1;0;0;64;0;19;11;8;6;6;2;4;6925;774;462;0;0
36;1981;5;0;3;0;0;0;-2;0;0;0;0;55;0;1;15;6;3;1;0;1;1737;69;328;0;0
38;1986;23;0;6;1;0;0;-4;0;0;0;0;62;0;13;5;2;5;0;3;4;4963;712;112;0;0
38;1985;23;0;5;2;4;0;-2;0;0;0;0;57;1;6;1;1;7;1;2;4;5288;186;32;0;0
39;1986;9;0;5;0;0;0;-3;0;0;0;0;60;0;6;48;27;3;4;0;6;3957;79;191;0;0
39;1982;9;0;8;0;1;5;0;0;0;0;0;57;0;7;44;21;0;5;4;1;4474;0;175;1;0
39;1983;9;0;3;0;0;0;-2;0;0;0;0;58;0;4;18;11;2;3;1;1;2114;0;0;0;0
39;1984;9;0;5;4;5;0;6;0;0;0;0;66;1;12;43;25;1;4;7;3;4636;35;148;0;0
39;1985;9;0;7;4;2;5;1;0;0;0;0;61;1;11;46;25;4;6;4;3;5510;0;271;1;0
40;1980;222;9;2;0;1;0;3;0;0;0;1;73;0;0;0;0;5;1;0;3;2034;0;323;0;0
41;1986;299;12;1;0;0;0;1;0;0;0;0;49;0;3;0;0;1;1;0;0;1077;0;0;0;0
41;1979;8;0;14;0;6;4;-3;0;0;0;0;58;0;15;0;0;10;3;4;21;14391;78;204;0;0
41;1981;8;0;3;0;1;5;-4;0;0;0;0;51;0;2;0;0;5;0;4;1;3240;0;70;1;0
41;1982;8;0;4;0;0;0;3;0;0;0;0;64;0;3;0;0;7;1;1;9;4534;133;114;0;0
41;1983;8;0;4;1;1;6;-5;0;0;0;0;54;0;2;0;0;7;1;3;9;4907;21;73;0;0
41;1984;8;0;4;0;2;0;-2;0;0;0;0;58;0;2;0;0;3;3;3;6;4279;4;34;0;0
42;1986;22;0;4;1;1;0;0;0;0;0;0;57;0;6;3;0;4;1;1;2;3408;0;217;0;0
42;1983;22;0;9;0;2;0;0;0;0;0;0;59;0;7;0;0;7;5;2;4;5168;63;0;0;0
42;1985;22;0;11;3;3;15;-5;0;0;0;0;60;0;12;4;2;9;6;3;6;8446;25;0;1;0
43;1979;12;0;10;2;4;0;2;0;0;0;0;61;0;7;1;0;8;4;1;4;5584;24;0;0;0
43;1980;253;10;4;1;1;0;-5;0;0;0;0;66;0;6;7;4;5;0;1;7;3837;109;206;0;0
43;1981;22;0;10;0;1;5;-4;0;0;0;0;58;0;8;89;50;11;5;3;4;6321;188;164;1;0
43;1982;224;9;5;2;2;0;-1;0;0;0;0;67;1;9;91;44;5;0;0;3;5637;176;502;0;0
43;1985;224;9;2;1;0;0;-1;0;0;0;0;63;0;5;36;17;0;0;0;3;1885;181;273;0;0
44;1986;15;0;10;3;5;0;2;0;2;0;0;66;0;22;19;9;6;8;5;4;9324;1924;378;0;0
44;1979;280;0;4;2;3;2;0;0;0;0;0;69;0;8;5;2;12;11;4;2;4637;221;109;0;0
44;1980;280;0;3;0;4;4;2;0;0;0;0;71;0;6;3;2;0;1;3;1;3396;19;73;0;0
44;1982;280;0;4;3;2;0;-2;0;0;0;0;79;0;12;3;3;8;4;0;1;4021;732;0;0;0
44;1983;280;0;10;7;8;0;1;3;1;0;0;83;2;32;0;0;14;6;8;3;9676;1669;0;0;0
44;1984;280;0;14;6;10;2;11;1;2;0;0;84;2;49;13;5;29;8;16;7;13729;2045;148;0;0
44;1985;280;0;2;1;0;0;-2;0;0;0;0;77;0;9;3;0;2;2;1;1;2169;132;0;0;0
46;1986;23;0;6;0;1;0;-3;0;0;0;0;58;0;6;73;37;7;1;0;5;5688;0;0;0;0
46;1979;280;0;4;1;1;2;-3;0;0;0;0;64;0;3;72;35;0;2;6;1;4391;385;213;0;0
46;1980;280;0;3;2;1;0;-3;0;1;0;0;71;0;5;59;30;1;1;6;7;3747;35;402;0;0
46;1982;280;0;4;2;0;2;-5;0;0;0;0;62;0;10;52;22;4;3;3;2;4184;104;96;0;0
46;1983;280;0;10;6;5;2;0;1;3;0;0;69;2;19;155;88;6;5;9;10;9762;1770;111;0;0
46;1984;280;0;11;5;9;5;6;1;0;0;0;69;0;18;151;81;13;10;5;8;10539;1105;212;1;0
46;1985;280;0;11;11;8;2;7;2;1;0;0;72;0;24;154;84;21;14;7;12;10885;1511;1455;0;0
47;1986;17;0;14;3;2;0;4;0;0;1;0;65;1;30;0;0;7;6;5;17;12173;0;1624;0;0
47;1982;17;0;4;0;1;0;1;0;0;0;0;68;0;2;0;0;6;0;1;11;3637;0;264;0;0
47;1984;17;0;3;0;2;0;1;0;0;0;0;54;0;1;0;0;4;1;1;3;2623;0;0;0;0
47;1985;17;0;23;2;7;4;1;0;0;0;0;60;0;18;0;0;21;3;13;39;21915;241;1214;0;0
48;1986;296;12;7;4;4;0;-1;0;0;0;0;61;0;12;3;2;16;1;3;12;7155;422;278;0;0
48;1984;296;12;4;1;1;4;-4;0;0;0;0;56;0;7;0;0;6;2;0;2;4065;0;193;0;0
48;1985;296;12;4;0;0;0;-3;0;0;0;0;57;0;7;6;3;6;0;0;1;4773;176;271;0;0
49;1985;300;12;9;3;1;0;0;1;1;0;0;57;1;11;116;56;5;4;0;3;5027;1991;72;0;0
49;1984;300;12;25;5;15;20;6;1;2;0;0;62;1;35;311;147;12;4;7;9;20850;2499;8;0;0
49;1982;223;9;3;0;0;0;-1;0;0;0;0;53;0;2;4;3;0;1;0;0;675;418;48;0;0
49;1980;223;9;6;2;4;2;1;0;0;0;0;66;0;11;93;46;8;2;1;11;5880;0;333;0;0
50;1986;285;12;2;0;0;0;-2;0;0;0;0;49;0;0;3;0;2;0;0;4;1297;0;130;0;0
50;1985;285;12;19;2;3;0;3;0;0;0;1;56;0;13;99;37;13;0;4;10;9841;216;818;0;0
50;1984;285;12;11;3;1;0;2;0;1;0;0;56;1;22;16;9;14;5;5;3;5556;1885;14;0;0
50;1979;255;10;8;3;6;9;-7;1;1;0;0;60;1;23;123;53;29;0;4;13;11229;160;681;1;0
50;1980;255;10;3;0;2;0;-2;0;1;0;0;68;0;4;48;17;2;0;0;2;2780;806;17;0;0
50;1981;255;10;4;1;1;2;-4;1;0;0;0;60;0;13;6;4;11;1;2;4;6017;634;426;0;0
52;1986;301;12;12;4;7;6;15;0;0;0;0;56;0;18;30;17;11;4;8;2;12034;275;784;0;0
52;1985;236;9;1;0;1;0;-1;0;0;0;0;54;0;2;1;0;3;1;0;0;829;0;79;0;0
52;1980;236;9;3;0;2;0;-1;0;0;0;0;46;0;4;2;1;2;0;0;1;2438;0;436;0;0
52;1982;236;9;10;2;4;2;1;0;0;0;0;57;0;22;26;10;18;5;1;10;10186;113;1404;0;0
53;1986;15;0;10;2;6;5;-1;0;1;1;0;61;1;19;1;0;16;6;6;2;10582;347;374;1;0
53;1979;11;0;11;3;6;20;1;0;1;0;0;65;0;24;5;2;28;8;3;10;12089;192;34;2;0
53;1980;11;0;5;0;1;6;0;0;0;0;0;74;0;11;0;0;12;3;6;6;4423;628;95;0;0
53;1981;11;0;5;3;5;0;1;3;0;0;0;75;0;9;0;0;9;2;4;3;4404;948;0;0;0
53;1982;11;0;9;3;11;19;-1;2;2;0;0;70;0;22;0;0;16;8;6;4;8528;1372;310;3;2
53;1984;11;0;10;3;2;24;-5;1;1;0;0;67;1;26;3;1;21;11;5;5;8984;1245;528;2;2
53;1985;280;0;11;4;8;13;11;0;0;0;0;77;0;24;21;8;38;11;3;6;11000;504;1094;1;1
54;1980;10;0;4;1;3;2;0;0;0;0;1;65;0;6;0;0;12;2;3;4;4739;58;119;0;0
54;1982;10;0;4;0;1;2;0;0;0;0;0;62;0;3;0;0;3;2;4;1;4249;0;125;0;0
54;1983;10;0;4;0;3;4;2;0;0;0;1;63;0;5;0;0;0;0;4;2;4646;45;234;0;0
54;1984;10;0;4;0;1;0;2;0;0;0;0;69;0;5;0;0;9;1;0;11;4846;807;215;0;0
