PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
0;1986;9;0;7;1;0;2;-2;0;0;0;0;59;1;10;54;24;5;2;3;2;3900;92;169;0;0
0;1979;9;9999;3;0;8;0;3;0;1;0;3;60;0;1;51;25;4;0;2;2;3073;31;404;0;0
0;1979;9;0;7;0;3;2;-10;0;2;0;0;52;0;11;92;45;5;4;4;2;6937;384;120;0;0
0;1980;9;0;7;2;3;0;-1;1;0;0;1;63;0;9;61;38;6;3;3;3;4757;90;690;0;0
0;1981;9;0;7;0;1;0;-6;0;0;0;0;62;0;11;62;32;7;3;5;1;5557;10;42;0;0
0;1982;9;0;7;3;1;7;3;0;0;0;1;60;0;15;60;32;5;6;2;1;5334;34;252;1;0
0;1983;9;0;7;1;0;0;-8;0;0;0;0;56;0;6;50;28;3;7;2;1;5152;25;135;0;0
0;1984;9;0;3;1;1;0;0;0;0;0;1;65;0;5;20;13;3;2;1;0;2162;43;134;0;0
0;1985;9;0;7;1;1;4;1;0;0;0;0;58;0;2;37;22;3;1;0;1;3489;59;100;0;0
2;1986;294;12;6;0;0;5;-5;0;0;0;0;53;0;9;51;24;5;1;2;11;3706;324;605;1;0
2;1985;294;12;7;2;1;2;-4;0;0;0;0;56;0;6;74;30;6;0;3;7;5362;125;3;0;0
2;1984;294;12;7;2;0;4;3;0;0;0;0;57;1;9;48;24;10;2;1;6;5267;109;1002;0;0
2;1979;242;10;6;1;3;2;5;0;1;0;0;73;0;19;19;7;6;1;3;0;6042;964;427;0;0
2;1979;21;9999;4;4;7;6;5;0;1;0;1;64;0;7;9;6;18;0;2;0;3996;48;440;0;0
2;1980;242;10;5;2;3;2;9;0;0;0;0;69;0;10;10;7;8;2;1;3;4300;46;905;0;0
2;1980;21;9999;5;1;0;0;3;0;0;0;0;58;1;14;0;0;6;5;0;1;3596;41;248;0;0
2;1981;242;10;6;0;4;2;0;0;1;0;0;61;0;11;6;3;19;2;1;3;5687;148;671;0;0
2;1982;242;10;4;1;2;4;3;0;1;0;0;60;0;6;4;1;7;2;2;7;4040;73;399;0;0
2;1983;242;10;1;0;0;0;0;0;0;0;0;62;0;2;0;0;1;0;1;0;704;0;80;0;0
3;1980;11;9999;5;1;0;0;1;0;0;0;0;61;0;6;18;8;3;2;2;2;2839;256;211;0;0
3;1981;11;9999;5;1;0;9;-3;0;0;0;0;61;0;9;55;28;7;3;2;2;4182;317;321;1;0
3;1982;11;9999;5;2;0;6;-1;0;0;0;0;65;0;8;62;29;11;4;4;0;3847;390;722;0;0
3;1983;214;9;4;0;1;0;2;0;0;0;0;58;0;1;61;30;3;1;1;2;3237;0;689;0;0
3;1983;11;9999;5;1;0;2;-2;0;0;0;0;62;0;6;46;27;6;4;4;2;4062;33;657;0;0
3;1984;11;9999;5;2;3;9;7;0;0;0;0;74;1;5;25;10;14;5;4;3;4486;293;603;1;1
3;1984;214;9;5;1;1;0;2;0;0;0;0;58;0;9;32;18;7;3;1;1;2764;0;804;0;0
3;1985;11;9999;5;3;1;0;-2;0;0;0;0;68;0;13;31;7;10;6;8;6;4227;405;1207;0;0
3;1986;11;0;7;0;2;4;-5;0;0;0;0;59;0;0;50;25;1;6;10;0;5778;275;265;0;0
4;1985;280;9999;5;0;1;5;-2;0;0;0;0;62;0;11;2;1;7;7;5;5;4302;0;235;1;0
4;1984;222;9;5;1;0;5;0;0;0;0;0;65;0;9;15;8;11;3;5;3;4523;1154;689;1;0
4;1984;5;9999;5;1;3;10;-2;0;0;0;0;66;0;9;8;4;8;4;3;8;4648;317;570;0;0
4;1983;222;9;5;1;3;0;3;0;1;0;1;66;0;7;17;7;8;0;4;4;3532;308;1102;0;0
4;1983;5;9999;5;2;2;17;-2;0;0;0;0;67;1;10;12;5;10;4;4;5;4123;114;531;1;1
4;1980;22;9999;5;1;3;5;1;0;0;0;0;61;0;9;5;2;15;3;1;3;3391;0;443;1;0
4;1981;22;9999;5;1;2;5;-3;0;0;0;0;53;0;8;2;1;12;5;1;1;3961;0;604;1;1
5;1986;226;9;7;1;2;8;-4;0;1;0;0;64;0;19;103;47;2;5;3;7;6416;742;518;0;0
5;1985;280;9999;5;0;0;4;-2;0;0;0;0;66;0;5;45;16;9;2;5;2;4685;178;244;0;0
5;1980;280;9999;5;1;1;8;2;0;0;0;0;59;0;3;49;21;7;6;1;0;4371;240;151;0;0
5;1981;280;9999;5;0;2;4;0;0;0;0;0;58;0;9;49;21;5;7;3;1;3692;493;263;0;0
5;1981;253;10;3;0;1;0;-3;0;0;0;0;52;0;2;14;6;1;0;0;1;1629;77;411;0;0
5;1982;280;9999;5;3;1;0;1;0;0;0;0;63;2;8;64;28;7;6;4;1;3905;410;191;0;0
5;1983;280;9999;5;1;2;7;3;0;0;0;0;68;0;8;57;24;7;2;3;1;4653;420;115;1;0
5;1984;280;9999;5;1;1;2;1;0;0;1;0;65;0;8;40;19;7;3;7;2;4554;0;261;0;0
6;1986;5;0;7;1;3;49;4;0;0;0;0;76;1;16;13;6;15;10;7;5;5575;1569;725;3;3
6;1980;5;9999;5;0;2;2;1;0;0;0;0;71;0;15;20;8;12;3;3;1;3984;731;927;0;0
6;1981;5;9999;5;1;2;8;-9;0;2;0;0;69;0;14;16;8;16;8;4;5;4371;1065;811;0;0
6;1982;5;9999;2;1;0;0;0;0;0;0;0;70;0;9;2;0;4;2;3;0;1789;464;107;0;0
6;1983;5;0;7;1;1;16;1;0;0;0;0;65;0;9;19;13;13;6;3;1;6803;559;23;2;0
6;1984;5;0;7;4;1;10;-1;1;1;0;0;72;1;14;5;2;17;6;1;4;5192;1535;129;0;0
6;1985;5;0;7;4;6;12;-2;1;3;0;0;78;0;14;2;2;23;6;6;6;6680;1505;475;2;0
7;1986;287;12;6;0;6;19;3;0;1;0;0;68;0;10;0;0;2;2;7;2;5633;1083;356;1;1
7;1985;287;12;6;0;1;2;2;0;0;0;0;69;0;9;0;0;5;1;0;7;5775;390;585;0;0
8;1986;223;9;6;0;3;4;-3;0;1;0;0;57;0;5;14;9;2;1;3;5;3732;660;0;0;0
8;1979;9;9999;5;3;6;0;5;0;0;1;0;73;0;3;0;0;22;1;1;1;3212;56;61;0;0
8;1979;9;0;7;3;1;17;2;1;0;0;0;65;1;10;2;0;12;3;3;2;5253;362;0;1;0
8;1980;9;0;7;3;3;4;-1;0;0;0;0;61;0;16;2;0;10;6;2;0;4678;224;0;0;0
8;1981;9;0;7;1;2;7;-1;0;0;0;0;62;0;4;2;2;6;4;2;3;3528;27;122;1;0
