PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
2544;1980;233;9;3;0;0;0;1;0;0;0;0;55;0;1;0;0;1;1;0;0;2775;0;128;0;0
3557;1979;25;0;10;3;1;4;-3;0;0;0;0;69;1;22;4;3;20;7;8;2;10706;257;510;0;0
3543;1979;280;0;4;1;0;0;-4;0;0;0;0;63;0;8;0;0;5;2;3;1;3782;39;0;0;0
3543;1980;280;0;3;2;2;4;-1;0;0;0;0;74;0;8;0;0;5;2;2;1;3416;22;0;0;0
986;1980;15;0;9;3;2;0;4;0;0;0;0;61;0;6;12;6;15;11;3;2;5910;102;157;0;0
986;1981;15;0;15;2;2;0;-8;0;0;0;0;58;0;19;14;5;7;5;6;5;7597;0;470;0;0
56;1982;256;10;7;2;2;4;3;1;0;0;0;61;0;15;6;3;3;4;3;11;6606;348;112;0;0
343;1982;233;9;3;0;0;0;-1;0;0;0;0;50;0;0;1;0;0;0;0;0;611;0;5;0;0
493;1982;256;10;4;1;2;0;1;0;0;0;0;54;0;2;0;0;1;0;0;4;1983;9;152;0;0
1100;1983;253;10;9;0;3;0;-5;0;0;0;0;54;0;16;0;0;2;4;0;1;8142;222;306;0;0
1100;1979;253;10;3;2;0;0;-2;2;0;0;0;65;0;10;0;0;1;0;1;0;3101;761;190;0;0
1100;1980;253;10;4;0;2;2;-1;0;0;0;0;64;0;13;0;0;5;0;1;1;5072;642;119;0;0
1100;1981;253;10;8;6;2;2;-3;0;1;0;0;57;2;27;0;0;4;1;3;14;12513;1550;1077;0;0
1499;1979;255;10;8;0;6;4;-6;0;0;0;0;66;0;23;2;1;6;2;3;26;12280;616;494;0;0
1499;1982;20;0;25;2;4;10;-3;0;0;0;0;58;0;24;0;0;19;3;5;34;22067;93;3103;0;0
247;1984;216;9;11;0;1;2;0;0;0;0;0;54;0;14;0;0;11;3;3;3;11087;3;1088;0;0
247;1981;253;10;8;1;6;13;-6;0;2;0;0;69;0;13;0;0;14;2;9;31;12376;815;1095;1;0
247;1980;253;10;4;0;1;0;-4;0;0;0;0;49;0;8;0;0;3;4;2;3;4759;0;284;0;0
247;1979;12;0;10;0;9;14;11;0;0;0;1;66;0;17;0;0;10;4;4;39;11412;0;314;2;0
358;1983;254;10;5;2;2;0;1;1;1;0;0;60;0;11;78;38;4;4;1;9;5233;773;39;0;0
358;1979;24;0;17;11;11;4;13;0;1;0;0;68;2;55;217;116;18;20;7;6;17808;759;122;0;0
358;1980;24;0;15;8;9;12;4;0;1;0;0;68;1;28;191;100;14;9;6;9;14312;473;28;2;1
358;1981;279;0;5;3;2;0;4;0;0;0;0;67;0;12;1;0;12;9;4;3;4802;670;0;0;0
410;1979;26;0;2;0;0;0;0;0;0;0;0;55;0;1;0;0;1;0;0;0;675;0;0;0;0
410;1982;254;10;1;0;0;0;-1;0;0;0;0;57;0;1;1;0;1;0;0;1;1038;121;0;0;0
410;1983;254;10;1;0;0;0;0;0;0;0;0;56;0;1;0;0;1;0;1;0;391;14;0;0;0
