PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
2544;1980;233;9;3;1;0;2;0;0;0;0;0;60;0;2;0;0;5;1;1;3;2901;0;529;0;0
2544;1979;233;9;7;1;1;6;-5;0;0;0;0;49;0;7;0;0;7;0;2;12;6891;398;1019;0;0
2568;1980;216;9;3;1;1;2;-2;1;0;0;0;57;0;7;0;0;4;3;1;5;2660;921;85;0;0
2568;1979;218;9;6;3;3;4;2;0;1;0;0;62;1;10;0;0;5;5;0;6;5573;1103;577;0;0
3557;1979;236;9;4;1;4;0;3;0;1;0;0;64;0;11;0;0;3;2;1;1;3634;225;41;0;0
3557;1979;25;9999;5;3;9;4;-3;0;1;0;0;52;0;3;0;0;16;0;2;3;4641;34;32;0;0
3557;1979;25;0;7;0;1;7;-1;0;0;0;0;59;0;3;0;0;12;2;3;3;6006;40;123;1;0
172;1979;250;10;7;0;3;17;-3;0;0;0;0;58;0;4;0;0;12;1;2;9;7380;34;845;1;1
239;1979;255;10;5;2;1;0;5;0;0;0;0;65;0;10;0;0;8;3;1;3;5229;717;523;0;0
1092;1981;255;10;3;0;0;0;0;0;0;0;0;48;0;0;3;0;0;0;0;0;509;0;0;0;0
3543;1979;280;9999;5;1;6;0;-16;0;1;1;0;58;0;1;1;1;18;1;2;2;2362;518;124;0;0
3543;1979;280;0;7;0;4;15;-6;0;1;0;0;64;0;6;3;1;10;3;0;0;4324;1801;29;1;0
66;1981;214;9;4;0;2;6;5;0;0;0;0;61;0;2;60;27;9;1;0;3;3533;157;316;0;0
66;1979;214;9;2;0;1;0;1;0;0;0;0;56;0;3;5;3;3;1;0;1;1245;0;269;0;0
986;1979;15;0;7;2;0;2;-4;0;0;1;0;58;0;6;33;18;6;3;1;0;3587;116;488;0;0
986;1980;15;0;7;1;1;0;-2;0;0;0;0;58;0;9;9;7;7;4;1;0;3587;134;609;0;0
986;1981;15;0;7;1;2;2;3;0;0;0;0;59;0;4;7;3;6;5;3;2;3555;0;206;0;0
56;1983;256;10;2;0;1;0;-1;0;0;0;1;55;0;1;4;3;1;1;0;1;484;61;268;0;0
56;1980;5;0;7;3;6;2;4;1;2;0;0;67;0;13;2;2;12;6;2;3;5691;1044;0;0;0
56;1981;5;0;7;2;1;2;2;1;0;0;0;60;0;10;31;16;5;2;1;7;3778;390;62;0;0
56;1982;20;0;7;1;4;4;-7;0;0;0;0;65;0;16;35;14;16;4;1;4;6176;1467;0;0;0
