PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
773;1979;165;5;46;6;17;62;0;1;4;0;0;49;0;30;156;46;10;30;11;9;17580;840;240;0;0
983;1979;186;3;79;19;35;146;8;3;3;2;2;60;5;123;477;237;57;33;29;38;29760;960;300;2;0
1125;1979;155;5;46;24;25;52;9;8;4;2;2;56;6;72;301;92;11;20;17;17;17520;540;300;0;0
2821;1979;186;3;79;18;30;124;0;1;8;0;1;57;2;119;467;158;31;31;26;27;29460;1080;600;2;1
3472;1979;186;3;78;12;16;121;7;2;1;0;1;55;2;103;386;78;55;50;36;47;27660;900;480;1;0
1116;1980;186;3;79;20;31;132;6;5;6;1;2;57;1;111;422;158;50;35;27;45;29880;1260;540;2;0
1116;1979;186;3;79;21;25;107;6;5;7;1;0;59;3;112;438;237;38;47;36;42;28080;1200;600;3;0
1257;1980;186;3;78;13;21;153;3;3;3;2;0;56;1;100;87;0;73;46;26;23;27240;600;240;6;3
1257;1979;186;3;77;13;26;150;-2;5;8;1;1;56;1;104;89;0;93;41;21;25;30060;1080;360;10;1
2544;1980;233;9;29;4;9;8;3;0;0;0;1;50;0;31;1;0;27;4;4;17;22806;171;3976;0;0
2544;1979;233;9;17;2;2;4;-8;0;0;0;0;54;0;20;0;0;32;3;3;21;15895;753;1447;0;0
2568;1980;216;9;10;4;4;4;-2;1;3;0;0;57;0;24;0;0;9;7;1;6;8738;2116;1096;0;0
2568;1979;218;9;79;12;31;50;-25;1;6;0;2;58;1;171;0;0;82;45;13;77;80045;10966;5610;0;0
2868;1980;186;3;80;5;10;115;4;1;1;0;1;48;1;65;298;80;62;64;14;29;32100;1560;480;1;0
2868;1979;186;3;80;7;9;144;-5;3;3;0;0;49;1;76;305;80;51;60;29;36;28620;540;300;4;0
3557;1979;25;0;77;14;16;39;-2;2;3;0;0;64;1;119;4;1;101;37;36;18;66166;2463;165;3;2
172;1979;250;10;57;4;13;83;-5;0;0;0;0;56;1;65;0;0;93;24;30;58;56117;550;10408;9;3
172;1980;238;10;3;0;0;2;-4;0;0;0;0;48;0;4;0;0;4;2;0;1;2868;0;659;0;0
172;1981;233;9;19;1;4;12;-14;0;0;0;0;48;0;21;0;0;18;2;8;16;15658;0;2005;2;0
239;1981;186;3;68;10;29;115;8;2;10;0;0;58;3;105;1;0;75;50;19;71;38460;840;3780;5;2
239;1980;255;10;3;0;1;2;0;0;0;0;0;53;0;6;0;0;4;2;1;4;3363;0;530;0;0
239;1979;255;10;27;1;3;12;-6;0;2;0;0;55;0;37;42;19;20;6;5;23;19266;2421;3080;0;0
622;1981;186;3;79;3;22;115;-9;0;5;0;0;50;0;59;0;0;37;81;19;46;45120;840;4260;3;0
622;1980;186;3;78;4;20;121;3;1;2;0;1;51;1;65;0;0;42;77;10;31;42780;600;4020;1;1
622;1979;186;3;79;3;12;150;-3;1;1;0;0;54;1;71;0;0;40;70;14;56;46380;1080;4200;4;0
725;1981;186;3;80;16;24;133;1;5;5;0;1;57;2;124;100;0;93;35;22;40;31200;1200;780;3;0
725;1980;186;3;80;26;42;143;2;4;7;1;2;60;5;146;111;0;84;44;37;48;31440;1260;360;4;1
725;1979;186;3;80;20;40;140;-3;6;12;1;0;61;1;138;117;0;92;42;27;39;39120;1860;1380;6;1
1021;1981;186;3;80;3;17;123;1;0;5;0;0;48;0;73;0;0;50;66;13;62;44280;660;4080;2;0
1021;1980;186;3;80;10;19;125;1;1;4;1;2;51;1;84;0;0;35;65;16;56;44100;900;4260;1;0
1021;1979;186;3;78;6;17;138;-6;0;3;0;1;51;4;88;0;0;51;68;18;55;44760;600;4080;1;0
1092;1980;186;3;80;3;5;110;-2;1;2;0;0;43;1;41;35;0;17;116;15;16;31680;1020;660;0;0
1092;1979;186;3;79;6;1;96;2;1;0;0;0;43;1;43;37;0;35;92;8;16;29940;1260;720;0;0
1363;1981;155;5;46;9;18;70;-3;1;4;0;1;55;0;55;0;0;48;25;14;64;25440;420;2520;4;1
1363;1980;155;5;46;5;18;81;1;0;2;0;1;59;1;55;0;0;49;27;11;62;27600;720;2760;3;0
1363;1979;155;5;45;3;14;53;2;1;1;1;0;58;1;54;0;0;41;35;9;52;24480;480;2400;1;0
1826;1981;186;3;78;17;18;103;-3;3;4;0;0;51;1;82;67;0;64;52;15;30;27900;300;120;3;0
1826;1980;186;3;78;12;18;142;2;4;5;0;0;50;3;86;74;0;57;48;19;24;27480;780;540;5;1
1826;1979;186;3;80;13;18;135;5;0;4;1;0;52;1;89;68;0;61;45;20;26;29100;840;120;3;0
2612;1981;186;3;79;14;30;135;3;4;7;0;2;54;2;107;82;0;72;45;23;26;29940;1080;600;4;0
2612;1980;186;3;80;13;27;128;11;2;4;0;1;54;3;102;84;0;72;36;25;38;27900;720;240;6;1
2612;1979;186;3;78;14;21;144;-10;2;5;0;1;55;3;106;90;0;74;29;17;21;29400;900;600;4;1
2726;1981;186;3;79;14;16;122;7;3;5;1;1;52;5;96;82;0;64;44;25;25;30660;1200;600;2;0
2726;1980;186;3;80;20;25;119;1;7;7;1;0;54;6;103;83;0;58;48;18;22;26880;660;360;3;0
