PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
0;9;9;29;5;4;-6;2;0;0;0;0;0;0;5;18;11;7;56;53;57;28;15216;527;198;98.2;2.8;4.0;27.2;32.9;180;215;45.6;-3.2;137;158;46.4;-1.6;1;171;75
2;294;294;9;0;2;2;2;0;0;0;0;0;0;7;1;1;8;57;55;57;5;4044;8;857;107.7;1.8;0.0;23.1;16.0;46;50;47.9;3.7;35;35;50.0;4.3;0;52;24
3;11;11;26;1;2;-18;32;0;0;0;0;2;0;30;23;6;0;56;55;57;2;19111;1790;3712;94.7;1.1;4.5;4.7;15.4;31;91;25.4;-12.7;31;86;26.5;-11.2;0;81;37
5;226;226;29;5;13;3;40;1;3;0;0;0;0;22;10;19;21;70;64;72;57;25426;4499;3036;104.4;2.7;2.3;25.1;35.5;350;443;44.1;9.1;252;335;42.9;9.5;0;345;179
6;5;5;26;11;20;3;62;6;11;0;0;4;0;63;29;19;14;77;71;72;65;21731;6475;1049;103.5;4.0;3.0;29.2;29.5;297;286;50.9;5.9;205;201;50.5;6.2;1;8;6
7;287;287;23;4;12;16;17;0;1;0;1;3;2;20;6;9;14;64;57;68;53;21054;2479;2293;107.3;4.8;2.1;31.8;26.5;351;292;54.6;-0.3;260;221;54.1;-0.5;0;0;0
8;223;9;14;4;6;6;12;1;0;0;0;0;0;22;4;3;7;58;62;53;22;10946;342;977;107.6;3.6;1.6;27.3;29.3;156;170;47.9;1.3;120;122;49.6;3.4;1;26;14
10;23;23;26;15;15;9;25;4;4;1;0;1;1;35;25;13;11;73;69;68;82;20852;7278;1201;97.7;5.4;4.1;38.8;25.7;349;261;57.2;7.3;263;175;60.0;8.2;2;2;0
12;298;298;26;2;1;-6;56;0;0;1;0;6;3;39;14;4;4;55;46;55;17;19935;187;2153;96.4;1.3;2.9;23.5;32.3;259;328;44.1;-8.7;175;247;41.5;-9.5;0;1;0
15;3;3;20;4;16;-8;16;1;5;0;2;0;0;30;3;14;39;65;65;64;65;21626;4118;1984;93.5;4.7;5.8;34.6;29.1;300;311;49.1;1.5;237;207;53.4;1.8;1;0;0
16;295;295;24;1;5;9;30;0;0;0;0;4;0;9;14;10;34;53;50;56;36;22927;653;2597;101.6;4.4;3.1;33.3;27.0;377;311;54.8;1.0;288;236;55.0;1.4;0;0;0
19;8;8;22;1;4;0;8;0;0;0;0;0;0;14;5;13;5;58;51;63;15;11608;732;1158;103.2;3.7;3.7;25.4;32.6;139;181;43.4;-3.1;93;115;44.7;-4.0;1;165;71
21;303;303;26;4;6;-11;18;1;1;0;1;2;0;16;11;9;29;59;58;59;30;17009;2107;3923;93.5;2.1;4.7;24.1;30.5;229;287;44.4;1.6;165;201;45.1;2.2;0;59;38
22;15;15;26;30;17;30;22;0;7;0;0;0;0;29;21;35;6;81;77;73;101;25260;6618;770;107.2;6.4;2.1;33.9;18.2;384;209;64.8;7.9;277;147;65.3;8.4;5;350;188
23;282;282;16;6;11;3;2;3;9;0;0;0;0;7;2;4;1;65;64;64;36;8480;4385;69;98.8;3.8;2.1;35.7;17.8;149;92;61.8;4.0;107;65;62.2;3.0;1;210;112
24;22;22;26;11;24;6;30;1;9;1;3;4;0;47;28;33;19;77;69;79;53;23525;6787;4820;100.6;4.0;3.1;34.0;27.5;360;304;54.2;8.2;256;215;54.4;8.6;1;396;216
