TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
0;0;Wichita;Thunder;WIC;-1;-1;-1;-1;-1;-1;-1;-1;#005da6;#878589;#fefef4;0;1
3;0;Toronto;Maple Leafs;TOR;-1;-1;-1;-1;-1;-1;-1;-1;#000084;#000084;#fefef4;0;0
5;0;Hamilton;Steel;HAM;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#ea8804;#ffffff;0;0
8;0;Chicago;Black Hawks;CHI;-1;-1;-1;-1;-1;-1;-1;-1;#c8102e;#000000;#fefef4;1;0
9;0;Halifax;Privateers;HAL;-1;-1;-1;-1;-1;-1;-1;-1;#0b2945;#a48049;#fefef4;1;0
10;0;Moncton;Wildcats;MON;-1;-1;-1;-1;-1;-1;-1;-1;#003087;#cc1140;#fefef4;0;0
11;0;Kunlun;Red Star;KUN;-1;-1;-1;-1;-1;-1;-1;-1;#dc1621;#e3bc61;#000000;1;0
12;0;Portland;Buckaroos;POR;-1;-1;-1;-1;-1;-1;-1;-1;#ec171d;#000000;#fefef4;1;1
14;0;London;Black Knights;LON;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#d0bf71;#fefef4;0;1
15;0;Pittsburgh;Penguins;PIT;-1;-1;-1;-1;-1;-1;-1;-1;#00205b;#010101;#fefef4;1;0
16;0;Victoria;Royals;VIC;-1;-1;-1;-1;-1;-1;-1;-1;#053e7e;#b2b7bb;#ffffff;0;0
17;0;Tokyo;Katanas;TOK;-1;-1;-1;-1;-1;-1;-1;-1;#b01215;#010401;#fefef4;1;0
18;0;Toronto;Six;SIX;-1;-1;-1;-1;-1;-1;-1;-1;#ed1c24;#ccad6e;#fefef4;1;1
19;0;Kenya;Pride;KEN;-1;-1;-1;-1;-1;-1;-1;-1;#114d23;#c81a10;#fefef4;0;1
20;0;Montreal;Canadiens;MTL;-1;-1;-1;-1;-1;-1;-1;-1;#c8102e;#003087;#fefef4;1;1
21;0;Florida;Party Animals;FLA;-1;-1;-1;-1;-1;-1;-1;-1;#fe60bb;#3baad0;#ffffff;1;1
22;0;Bangkok;Roosters;BGK;-1;-1;-1;-1;-1;-1;-1;-1;#ae3031;#3d50d0;#fefef4;1;1
23;0;Edmonton;Oilers;EDM;-1;-1;-1;-1;-1;-1;-1;-1;#00205b;#ff6319;#fefef4;0;0
24;0;Trois-Rivières;Lions;TRL;-1;-1;-1;-1;-1;-1;-1;-1;#223a85;#cdc7c7;#fefef4;0;1
25;0;Canmore;Eagles;CAN;-1;-1;-1;-1;-1;-1;-1;-1;#0a0d4a;#2e6cd2;#fefef4;0;1
26;0;Fort Wayne;Komets;FW;-1;-1;-1;-1;-1;-1;-1;-1;#fc5804;#0c0c0c;#fefef4;1;0
51;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#c60000;#0031ad;#fefef4;-1;0
54;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
56;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#eaaa00;#fefef4;-1;0
57;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#014900;#014900;#ffd52a;-1;2
59;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#003087;#003087;#fefef4;-1;2
60;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#e4002b;#e4002b;#fefef4;-1;0
61;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
62;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
63;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#009065;#eca604;#fefef4;-1;2
65;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
66;3;Independent;Team;Ind;-1;-1;-1;-1;-1;-1;-1;-1;#000000;#000000;#fefef4;-1;0
