League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;0;1;16;14;4;3;0;0;36;147;130;.529
0;3;0;0;18;13;2;1;0;0;38;133;122;.576
0;5;0;0;10;20;2;1;0;0;22;105;150;.344
0;8;1;0;18;14;0;1;0;0;36;119;129;.563
0;9;1;0;16;16;2;0;0;0;34;130;141;.500
0;10;0;0;17;12;3;0;0;0;37;117;102;.578
0;11;1;0;5;25;2;3;0;0;12;58;112;.188
0;12;1;1;11;16;3;0;0;0;25;104;132;.417
0;14;0;1;22;11;1;1;0;0;45;164;125;.662
0;15;1;0;27;4;1;2;0;0;55;154;75;.859
0;16;0;0;5;23;5;0;0;0;15;78;159;.227
0;17;1;0;23;9;1;3;0;0;47;196;122;.712
0;18;1;1;18;11;5;0;0;0;41;142;116;.603
0;19;0;1;23;9;1;0;0;0;47;159;107;.712
0;20;1;1;11;20;2;0;0;0;24;90;140;.364
0;21;1;1;17;16;2;3;0;0;36;163;143;.514
0;22;1;1;16;12;3;0;0;0;35;119;112;.565
0;23;0;0;17;11;3;1;0;0;37;131;102;.597
0;24;0;1;7;22;3;2;0;0;17;96;148;.266
0;25;0;1;13;19;2;4;0;0;28;115;126;.412
0;26;1;0;10;17;6;1;0;0;26;112;127;.394
0;278;1;1;10;22;2;0;0;0;22;79;123;.324
0;279;0;1;22;10;0;1;0;0;44;153;99;.688
0;280;0;0;13;19;1;0;0;0;27;117;139;.409
9;214;-1;0;11;19;2;0;0;0;24;107;124;.375
9;216;-1;1;18;13;3;1;0;0;39;136;103;.574
9;218;-1;0;16;12;2;0;0;0;34;100;84;.567
9;222;-1;1;16;15;3;1;0;0;35;119;113;.515
9;223;-1;0;11;16;7;0;0;0;29;106;129;.426
9;224;-1;1;13;17;3;0;0;0;29;88;117;.439
9;226;-1;0;9;25;2;1;0;0;20;105;158;.278
9;233;-1;1;15;13;3;0;0;0;33;94;92;.532
9;236;-1;1;23;9;4;1;0;0;50;146;101;.694
9;237;-1;0;19;12;3;1;0;0;41;120;100;.603
12;282;-1;0;22;9;1;0;0;0;45;143;93;.703
12;283;-1;0;13;18;2;2;0;0;28;120;124;.424
12;284;-1;0;10;22;1;3;0;0;21;120;152;.318
12;285;-1;0;15;19;3;1;0;0;33;111;125;.446
12;286;-1;0;10;20;2;0;0;0;22;104;133;.344
12;287;-1;0;19;7;7;0;0;0;45;150;105;.682
12;288;-1;1;15;17;1;2;0;0;31;117;137;.470
12;289;-1;1;20;9;3;0;0;0;43;126;96;.672
12;290;-1;1;14;16;4;0;0;0;32;121;130;.471
12;291;-1;1;16;16;1;0;0;0;33;100;112;.500
12;292;-1;1;12;19;5;1;0;0;29;110;122;.403
12;293;-1;1;13;17;3;1;0;0;29;115;129;.439
12;294;-1;2;11;17;4;1;0;0;26;115;132;.406
12;295;-1;2;18;11;5;1;0;0;41;144;103;.603
12;296;-1;2;12;18;1;0;0;0;25;106;144;.403
12;297;-1;2;10;18;4;1;0;0;24;123;147;.375
12;298;-1;2;12;20;2;2;0;0;26;111;124;.382
12;299;-1;2;17;13;3;2;0;0;37;129;108;.561
12;300;-1;3;16;14;4;0;0;0;36;126;119;.529
12;301;-1;3;21;10;4;2;0;0;46;146;108;.657
12;302;-1;3;21;10;3;0;0;0;45;137;115;.662
12;303;-1;3;11;17;5;2;0;0;27;110;132;.409
12;304;-1;3;15;11;5;0;0;0;35;124;114;.565
12;305;-1;3;17;12;3;0;0;0;37;110;114;.578
