TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
0;66;293;282;2175;2269;49.0;1089;1532;753;633;60;21.94;312;50;6;313;59;5;495863;505435;14584;15794;28;24;100
3;65;279;229;2134;1737;50.0;1075;1563;684;609;115;20.43;300;61;7;285;42;14;489630;592437;16321;16926;30;26;101
5;63;206;292;1651;1958;47.2;1071;1589;667;673;110;26.46;326;54;11;318;47;6;570674;536942;19022;16270;20;23;99
8;64;215;253;1599;1898;44.9;1032;1445;763;569;105;20.22;243;39;8;278;52;6;517137;553493;17832;15814;18;25;99
9;64;276;240;1790;1905;51.9;949;1479;566;689;208;22.08;278;56;7;261;45;11;481525;492777;14591;15896;31;24;100
10;64;227;213;2030;1681;54.0;911;1288;630;562;332;19.64;262;40;5;261;39;6;435000;594777;15000;16993;29;27;100
11;64;152;247;955;1241;51.2;437;1524;618;762;50;21.03;278;16;6;286;30;5;430769;525905;13895;15936;0;24;83
12;63;196;286;1751;2162;48.4;1182;1601;639;646;67;23.25;249;40;9;271;34;11;456930;510621;14279;16471;14;23;97
14;64;286;236;2303;1890;48.6;1054;1232;711;567;30;18.84;260;56;3;255;45;10;477114;501504;14458;16177;33;25;100
15;63;308;156;1944;1522;51.6;828;1474;650;688;220;19.48;273;47;6;244;26;3;525140;508661;16940;15895;31;24;100
16;65;158;278;1483;2054;48.8;1144;1475;618;573;293;21.80;306;43;6;319;57;2;714219;532680;22319;16141;7;28;89
17;65;354;248;2275;1689;52.9;960;1269;718;648;152;18.54;258;55;4;296;50;13;504900;503581;14850;16244;34;27;100
18;67;284;226;2114;1872;52.1;1046;1578;625;689;149;21.21;346;45;11;317;51;5;554914;533827;16321;16176;34;23;101
19;63;317;180;2224;1519;52.4;956;1591;634;579;93;22.03;234;44;4;258;32;10;531828;451458;15642;15567;34;23;100
20;63;207;261;1723;2015;51.4;927;1640;595;658;107;20.52;288;40;7;257;50;8;662626;469885;20079;15662;10;24;97
21;64;275;264;1991;2135;52.8;1095;1816;585;603;45;24.38;294;42;12;306;51;4;485199;510071;14703;16453;33;20;100
