rank,driver,points,races,wins,best_finish,average_finish
1,Joey,43,2,1,1,1.50
2,Taggart,43,2,1,1,1.50
3,Oilempire,40,3,1,1,6.67
4,Connor,38,3,0,2,4.00
5,Senpai,37,4,1,1,9.50
6,Randy,32,4,0,2,7.00
7,Starv,30,3,0,3,7.00
8,Mcdoublehero,19,3,0,3,7.33
9,Min,18,3,0,4,9.33
10,Lilboiloui,16,3,0,4,7.33
11,Campbell,14,2,0,5,6.50
12,GreedyFish,14,3,0,6,11.00
13,Faarmerryan,12,3,0,7,8.00
14,Skyvendrake,10,2,0,5,9.50
15,Caper,10,3,0,5,12.67
16,BoiledEgg,9,2,0,6,8.00
17,Choog,8,2,0,6,9.50
18,Blazed,6,3,0,7,11.00
19,Thinkblue,2,2,0,10,10.00
20,MachoMike,0,4,0,9,14.50
21,Yammyhotspur,0,3,0,10,11.67
22,Fkncommish,0,3,0,11,15.33
23,Parchie,0,3,0,11,16.00
24,Nick,0,1,0,12,12.00
25,CmdrRENhoek,0,3,0,12,13.33
26,Wombat,0,1,0,14,14.00
27,Mrmuffn,0,4,0,14,16.75
28,Scubasteve,0,1,0,16,16.00
29,Stlrs,0,2,0,17,18.00
30,Wardo,0,1,0,18,18.00
31,RJ,0,2,0,18,19.00
32,Kings,0,0,0,0,0.00
