position,number,driver,rolls,finish_gear,finish_roll,overshoot,wear,qualified
1,3,Faarmerryan,16,6,30,7,12,true
2,21,Senpai,17,6,28,5,14,true
3,14,Mrmuffn,17,6,21,1,14,true
4,32,BoiledEgg,17,6,21,1,9,true
5,16,CmdrRENhoek,18,5,17,16,7,true
6,92,Blazed,18,6,22,15,12,true
7,31,RJ,18,5,19,2,12,true
8,24,Skyvendrake,19,6,30,25,10,true
9,19,Connor,19,6,27,25,13,true
10,28,Thinkblue,19,5,18,16,13,true
11,5,Parchie,19,6,23,14,11,true
12,15,Min,19,4,12,5,7,true
13,67,Randy,20,6,28,20,9,true
14,6,MachoMike,20,5,19,11,13,true
15,27,Taggart,20,5,20,8,10,true
16,39,Wardo,20,5,16,8,11,true
17,12,Lilboiloui,21,6,30,25,13,true
18,25,Starv,21,6,24,13,12,true
19,2,Campbell,21,5,18,13,10,true
20,17,Yammyhotspur,21,6,22,11,11,true
21,36,Oilempire,21,5,17,11,13,false
22,7,Fkncommish,21,5,18,7,13,false
23,29,Wombat,21,5,15,6,13,false
24,33,Joey,22,6,27,26,12,false
25,9,Mcdoublehero,22,6,26,21,13,false
26,1,Choog,22,6,24,18,12,false
27,66,Nick,22,6,23,16,12,false
28,22,Scubasteve,22,5,20,13,11,false
29,10,Caper,22,4,12,5,7,false
30,26,Stlrs,23,6,28,20,13,false
31,4,GreedyFish,26,2,3,0,8,false
