Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
7268;4048;118;0;0;0;0;.00nan;0;0
7268;4933;122;100;23;0;23;1.000;3600000;0
7268;4051;122;0;0;0;0;.00nan;0;0
7268;5060;118;95;32;1;31;.969;3580550;0
7676;3955;8;0;0;0;0;.00nan;0;0
7676;4735;3;48;18;3;15;.833;3562100;0
7676;5090;8;100;37;1;36;.973;3600000;0
7676;2959;3;0;0;0;0;.00nan;0;0
7304;4343;5;0;0;0;0;.00nan;0;0
7304;3679;121;40;31;6;25;.806;3600000;0
7304;4621;121;0;0;0;0;.00nan;0;0
7304;4379;5;63;13;1;12;.923;3600000;0
7278;4472;123;81;23;1;22;.957;3600000;0
7278;4603;123;0;0;0;0;.00nan;0;0
7278;4150;0;0;0;0;0;.00nan;0;0
7278;4960;0;69;26;3;23;.885;3547550;0
7246;4142;120;69;20;2;18;.900;3600000;0
7246;4616;119;0;0;0;0;.00nan;0;0
7246;4958;120;0;0;0;0;.00nan;0;0
7246;5103;119;55;15;2;13;.867;3600000;0
7256;4142;120;87;24;1;23;.958;3600000;0
7256;3679;121;35;16;4;12;.750;3600000;0
7256;4621;121;0;0;0;0;.00nan;0;0
7256;4958;120;0;0;0;0;.00nan;0;0
7248;4735;3;47;23;4;19;.826;3551900;0
7248;3139;10;0;0;0;0;.00nan;0;0
7248;5106;10;75;32;3;29;.906;3600000;0
7248;2959;3;0;0;0;0;.00nan;0;0
7366;4598;9;68;28;3;25;.893;3600000;0
7366;3955;8;90;34;2;32;.941;3600000;0
7366;5090;8;0;0;0;0;.00nan;0;0
7366;2961;9;0;0;0;0;.00nan;0;0
7247;4933;122;72;23;2;21;.913;3600000;0
7247;4051;122;0;0;0;0;.00nan;0;0
7247;4616;119;0;0;0;0;.00nan;0;0
7247;5103;119;63;26;3;23;.885;3573450;0
7257;4150;0;0;0;0;0;.00nan;0;0
7257;3139;10;0;0;0;0;.00nan;0;0
7257;4960;0;93;33;1;32;.970;3600000;0
7257;5106;10;56;20;3;17;.850;3544700;0
7249;4472;123;82;24;1;23;.958;3600000;0
7249;4048;118;0;0;0;0;.00nan;0;0
7249;5060;118;71;24;2;22;.917;3567800;0
7249;4603;123;0;0;0;0;.00nan;0;0
7250;4343;5;63;19;2;17;.895;3559650;0
7250;4598;9;100;31;0;31;1.000;3600000;0
7250;4379;5;0;0;0;0;.00nan;0;0
7250;2961;9;0;0;0;0;.00nan;0;0
7251;4048;118;0;0;0;0;.00nan;0;0
7251;5060;118;52;14;2;12;.857;3565350;0
7251;3679;121;87;26;1;25;.962;3600000;0
7251;4621;121;0;0;0;0;.00nan;0;0
7258;4735;3;43;27;5;22;.815;3553000;0
7258;4150;0;0;0;0;0;.00nan;0;0
7258;4960;0;81;27;2;25;.926;3600000;0
7258;2959;3;0;0;0;0;.00nan;0;0
7252;3955;8;0;0;0;0;.00nan;0;0
7252;4616;119;0;0;0;0;.00nan;0;0
7252;5090;8;72;18;1;17;.944;3600000;0
7252;5103;119;47;17;3;14;.824;3528150;0
7266;3955;8;77;33;3;30;.909;3574050;0
7266;4735;3;91;28;1;27;.964;3600000;0
7266;5090;8;0;0;0;0;.00nan;0;0
7266;2959;3;0;0;0;0;.00nan;0;0
7267;4343;5;92;26;1;25;.962;3600000;0
7267;3139;10;0;0;0;0;.00nan;0;0
7267;4379;5;0;0;0;0;.00nan;0;0
7267;5106;10;66;33;4;29;.879;3600000;0
7303;4142;120;68;27;3;24;.889;3600000;0
7303;4598;9;0;0;0;0;.00nan;0;0
7303;4958;120;0;0;0;0;.00nan;0;0
7303;2961;9;42;13;3;10;.769;3566600;0
7254;4472;123;74;25;2;23;.920;3600000;0
7254;4933;122;52;29;5;24;.828;3600000;0
7254;4051;122;0;0;0;0;.00nan;0;0
7254;4603;123;0;0;0;0;.00nan;0;0
7253;4933;122;73;25;2;23;.920;3600000;0
7253;4051;122;0;0;0;0;.00nan;0;0
7253;4616;119;0;0;0;0;.00nan;0;0
7253;5103;119;53;26;4;22;.846;3539650;0
7271;4048;118;0;0;0;0;.00nan;0;0
7271;5060;118;43;21;4;17;.810;3600000;0
7271;3139;10;0;0;0;0;.00nan;0;0
7271;5106;10;68;16;1;15;.938;3600000;0
7282;4343;5;50;29;5;24;.828;3529150;0
7282;4735;3;83;36;3;33;.917;3600000;0
7282;4379;5;0;0;0;0;.00nan;0;0
7282;2959;3;0;0;0;0;.00nan;0;0
7318;4150;0;0;0;0;0;.00nan;0;0
7318;3679;121;79;22;1;21;.955;3600000;0
7318;4621;121;0;0;0;0;.00nan;0;0
7318;4960;0;61;25;3;22;.880;3600000;0
7260;4048;118;53;3;0;3;1.000;1382950;0
7260;3955;8;0;0;0;0;.00nan;0;0
7260;5060;118;26;12;4;8;.667;2158550;0
7260;5090;8;57;15;2;13;.867;3600000;0
7301;4142;120;79;22;1;21;.955;3600000;0
7301;4472;123;0;0;0;0;.00nan;0;0
7301;4603;123;67;22;2;20;.909;3573800;0
7301;4958;120;0;0;0;0;.00nan;0;0
7310;4933;122;76;24;2;22;.917;3600000;0
7310;4051;122;0;0;0;0;.00nan;0;0
7310;3679;121;35;17;4;13;.765;3542950;0
7310;4621;121;0;0;0;0;.00nan;0;0
7255;4472;123;66;28;3;25;.893;3550100;0
7255;4603;123;0;0;0;0;.00nan;0;0
7255;4616;119;0;0;0;0;.00nan;0;0
7255;5103;119;87;31;2;29;.935;3600000;0
