fhm_player_id,kind,inducted_year,sort_order
2095,skater,1945,0
1799,goalie,1945,1
2026,goalie,1945,2
2134,goalie,1945,3
2088,skater,1946,4
1702,skater,1946,5
1866,skater,1946,6
1628,goalie,1946,7
1676,skater,1947,8
1696,goalie,1947,9
1686,goalie,1947,10
1856,goalie,1947,11
206,skater,1948,12
1962,skater,1948,13
2057,skater,1948,14
525,goalie,1948,15
105,skater,1949,16
486,skater,1949,17
1688,skater,1949,18
1876,goalie,1949,19
1956,skater,1950,20
1848,skater,1950,21
1824,goalie,1950,22
1773,goalie,1950,23
11,skater,1951,24
1643,skater,1951,25
2133,goalie,1951,26
475,skater,1952,27
227,skater,1952,28
241,skater,1952,29
246,skater,1953,30
57,skater,1953,31
1896,skater,1953,32
153,skater,1954,33
236,skater,1954,34
69,goalie,1954,35
13,skater,1955,36
27,skater,1956,37
68,goalie,1956,38
439,goalie,1957,39
122,skater,1957,40
164,skater,1958,41
471,skater,1959,42
110,skater,1959,43
0,skater,1959,44
42,skater,1960,46
157,skater,1960,47
303,skater,1960,48
519,skater,1960,49
56,skater,1961,50
109,skater,1961,51
144,skater,1961,52
396,skater,1962,53
202,skater,1962,54
446,skater,1962,55
511,skater,1963,56
546,skater,1964,57
378,goalie,1964,58
424,skater,1964,59
88,skater,1964,60
325,goalie,1965,61
394,skater,1965,62
190,skater,1965,63
41,skater,1965,64
2113,goalie,1966,65
447,skater,1966,66
319,skater,1966,67
283,skater,1966,68
61,goalie,1967,69
2695,skater,1967,70
247,skater,1967,71
436,skater,1967,72
507,skater,1968,73
2845,skater,1968,74
2972,goalie,1968,75
434,skater,1968,76
