season,team,slot,position,player_id,team_id,notes
1942-43,1,1,Goal,68,-1,
1942-43,1,2,Defence,434,-1,
1942-43,1,3,Defence,122,-1,
1942-43,1,4,Left Wing,511,-1,
1942-43,1,5,Center,5398,3,
1942-43,1,6,Right Wing,153,-1,
1942-43,2,1,Goal,69,-1,
1942-43,2,2,Defence,508,-1,
1942-43,2,3,Defence,219,-1,
1942-43,2,4,Left Wing,41,-1,
1942-43,2,5,Center,43,-1,
1942-43,2,6,Right Wing,94,-1,
1943-44,1,1,Goal,69,-1,
1943-44,1,2,Defence,105,-1,
1943-44,1,3,Defence,227,-1,
1943-44,1,4,Left Wing,246,-1,
1943-44,1,5,Center,5398,3,
1943-44,1,6,Right Wing,4480,120,
1943-44,2,1,Goal,148,-1,
1943-44,2,2,Defence,56,-1,
1943-44,2,3,Defence,441,-1,
1943-44,2,4,Left Wing,110,-1,
1943-44,2,5,Center,0,-1,
1943-44,2,6,Right Wing,447,-1,
1944-45,1,1,Goal,325,-1,
1944-45,1,2,Defence,475,-1,
1944-45,1,3,Defence,365,-1,
1944-45,1,4,Left Wing,110,-1,
1944-45,1,5,Center,0,-1,
1944-45,1,6,Right Wing,511,-1,
1944-45,2,1,Goal,69,-1,
1944-45,2,2,Defence,394,-1,
1944-45,2,3,Defence,434,-1,
1944-45,2,4,Left Wing,51,-1,
1944-45,2,5,Center,471,-1,
1944-45,2,6,Right Wing,447,-1,
1945-46,1,1,Goal,325,-1,
1945-46,1,2,Defence,512,-1,
1945-46,1,3,Defence,434,-1,
1945-46,1,4,Left Wing,41,-1,
1945-46,1,5,Center,471,-1,
1945-46,1,6,Right Wing,447,-1,
1945-46,2,1,Goal,106,-1,
1945-46,2,2,Defence,21,-1,
1945-46,2,3,Defence,2721,90,
1945-46,2,4,Left Wing,546,-1,
1945-46,2,5,Center,0,-1,
1945-46,2,6,Right Wing,98,-1,
1946-47,1,1,Goal,69,-1,
1946-47,1,2,Defence,56,-1,
1946-47,1,3,Defence,394,-1,
1946-47,1,4,Left Wing,2239,-1,
1946-47,1,5,Center,471,-1,
1946-47,1,6,Right Wing,447,-1,
1946-47,2,1,Goal,439,-1,
1946-47,2,2,Defence,225,-1,
1946-47,2,3,Defence,222,-1,
1946-47,2,4,Left Wing,511,-1,
1946-47,2,5,Center,42,-1,
1946-47,2,6,Right Wing,2831,10,
1947-48,1,1,Goal,458,-1,
1947-48,1,2,Defence,56,-1,
1947-48,1,3,Defence,512,-1,
1947-48,1,4,Left Wing,283,-1,
1947-48,1,5,Center,0,-1,
1947-48,1,6,Right Wing,2831,10,
1947-48,2,1,Goal,69,-1,
1947-48,2,2,Defence,446,-1,
1947-48,2,3,Defence,21,-1,
1947-48,2,4,Left Wing,110,-1,
1947-48,2,5,Center,471,-1,
1947-48,2,6,Right Wing,447,-1,
1948-49,1,1,Goal,458,-1,
1948-49,1,2,Defence,2019,-1,
1948-49,1,3,Defence,202,-1,
1948-49,1,4,Left Wing,511,-1,
1948-49,1,5,Center,2845,-1,
1948-49,1,6,Right Wing,447,-1,
1948-49,2,1,Goal,325,-1,
1948-49,2,2,Defence,512,-1,
1948-49,2,3,Defence,295,-1,
1948-49,2,4,Left Wing,283,-1,
