season,award_name,player_id,team_id,staff_id,notes
1942-43,ART ROSS TROPHY,13,,,
1942-43,RICHARD TROPHY,13,,,
1942-43,NORRIS TROPHY,434,,,
1942-43,BOURQUE TROPHY,56,,,
1942-43,LANGWAY TROPHY,122,,,
1942-43,CALDER TROPHY,511,,,
1942-43,SELKE TROPHY,511,,,
1943-44,ART ROSS TROPHY,13,,,
1943-44,RICHARD TROPHY,13,,,
1943-44,NORRIS TROPHY,105,,,
1943-44,BOURQUE TROPHY,105,,,
1943-44,LANGWAY TROPHY,441,,,
1943-44,CALDER TROPHY,225,,,
1943-44,SELKE TROPHY,0,,,
1944-45,ART ROSS TROPHY,511,,,
1944-45,RICHARD TROPHY,13,,,
1944-45,NORRIS TROPHY,475,,,
1944-45,BOURQUE TROPHY,11,,,
1944-45,LANGWAY TROPHY,222,,,
1944-45,CALDER TROPHY,436,,,
1944-45,SELKE TROPHY,0,,,
1945-46,ART ROSS TROPHY,471,,,
1945-46,RICHARD TROPHY,471,,,
1945-46,NORRIS TROPHY,512,,,
1945-46,BOURQUE TROPHY,21,,,
1945-46,LANGWAY TROPHY,434,,,
1945-46,CALDER TROPHY,2703,,,
1945-46,SELKE TROPHY,2239,,,
1946-47,ART ROSS TROPHY,0,,,
1946-47,RICHARD TROPHY,2239,,,
1946-47,NORRIS TROPHY,56,,,
1946-47,BOURQUE TROPHY,2703,,,
1946-47,LANGWAY TROPHY,56,,,
1946-47,CALDER TROPHY,2831,,,
1946-47,SELKE TROPHY,283,,,
1947-48,ART ROSS TROPHY,2831,,,
1947-48,RICHARD TROPHY,0,,,
1947-48,NORRIS TROPHY,56,,,
1947-48,BOURQUE TROPHY,2703,,,
1947-48,LANGWAY TROPHY,2019,,,
1947-48,CALDER TROPHY,2845,,,
1947-48,SELKE TROPHY,283,,,
1948-49,ART ROSS TROPHY,511,,,
1948-49,RICHARD TROPHY,2845,,,
1948-49,NORRIS TROPHY,2019,,,
1948-49,BOURQUE TROPHY,2703,,,
1948-49,LANGWAY TROPHY,295,,,
1948-49,CALDER TROPHY,2700,,,
1948-49,SELKE TROPHY,511,,,
1949-50,ART ROSS TROPHY,2831,,,
1949-50,RICHARD TROPHY,501,,,
1949-50,NORRIS TROPHY,225,,,
1949-50,BOURQUE TROPHY,2703,,,
1949-50,LANGWAY TROPHY,142,,,
1949-50,CALDER TROPHY,3131,,,
1949-50,SELKE TROPHY,2831,,,
1950-51,ART ROSS TROPHY,396,,,
1950-51,RICHARD TROPHY,501,,,
1950-51,NORRIS TROPHY,2703,,,
1950-51,BOURQUE TROPHY,2703,,,
1950-51,LANGWAY TROPHY,2019,,,
1950-51,CALDER TROPHY,3136,,,
1950-51,SELKE TROPHY,2711,,,
1951-52,ART ROSS TROPHY,2845,,,
1951-52,RICHARD TROPHY,2845,,,
1951-52,NORRIS TROPHY,394,,,
1951-52,BOURQUE TROPHY,2703,,,
1951-52,LANGWAY TROPHY,2695,,,
1951-52,CALDER TROPHY,3150,,,
1951-52,SELKE TROPHY,290,,,
1952-53,ART ROSS TROPHY,3131,,,
1952-53,RICHARD TROPHY,2845,,,
1952-53,NORRIS TROPHY,3151,,,
1952-53,BOURQUE TROPHY,2703,,,
1952-53,LANGWAY TROPHY,247,,,
1952-53,CALDER TROPHY,3139,,,
1952-53,SELKE TROPHY,2694,,,
1953-54,ART ROSS TROPHY,3131,,,
1953-54,RICHARD TROPHY,3131,,,
1953-54,NORRIS TROPHY,2703,,,
1953-54,BOURQUE TROPHY,2703,,,
1953-54,LANGWAY TROPHY,2967,,,unresolved_player=Dollard St-Laurent
1953-54,CALDER TROPHY,3052,,,
1953-54,SELKE TROPHY,3452,,,
1954-55,ART ROSS TROPHY,3131,,,
1954-55,RICHARD TROPHY,3340,,,
1954-55,NORRIS TROPHY,2695,,,
1954-55,BOURQUE TROPHY,2703,,,
1954-55,LANGWAY TROPHY,2695,,,
1954-55,CALDER TROPHY,3146,,,
1954-55,SELKE TROPHY,3452,,,
1955-56,ART ROSS TROPHY,2845,,,
1955-56,RICHARD TROPHY,2845,,,
1955-56,NORRIS TROPHY,3061,,,
1955-56,BOURQUE TROPHY,2703,,,
1955-56,LANGWAY TROPHY,3061,,,
1955-56,CALDER TROPHY,3885,,,
1955-56,SELKE TROPHY,3455,,,
1956-57,ART ROSS TROPHY,3340,,,
1956-57,RICHARD TROPHY,3340,,,
1956-57,NORRIS TROPHY,2703,,,
1956-57,BOURQUE TROPHY,2703,,,
1956-57,LANGWAY TROPHY,3153,,,
1956-57,CALDER TROPHY,4060,,,
1956-57,SELKE TROPHY,3452,,,
1957-58,ART ROSS TROPHY,3131,,,
1957-58,RICHARD TROPHY,3131,,,
1957-58,NORRIS TROPHY,3320,,,
1957-58,BOURQUE TROPHY,225,,,
1957-58,LANGWAY TROPHY,3320,,,
