PlayerId;Year;Team Id;League Id;GP;GS;Min;W;L;T/OL;ENG;SO;GA;SA;GR
4341;1964;0;0;2;2;7200;0;1;1;0;0;8;69;69
4342;1958;10;0;0;0;0;0;0;0;0;0;0;0;0
4342;1959;10;0;0;0;0;0;0;0;0;0;0;0;0
4343;1958;0;0;5;5;17913;2;2;0;0;1;9;126;80
4343;1959;0;0;0;0;0;0;0;0;0;0;0;0;0
4343;1960;0;0;0;0;0;0;0;0;0;0;0;0;0
4343;1961;0;0;0;0;0;0;0;0;0;0;0;0;0
4343;1962;0;0;7;7;25177;4;2;1;0;1;14;169;74
4343;1963;0;0;7;7;25132;4;2;1;0;0;16;214;83
4343;1964;5;0;7;7;25062;4;2;1;1;0;17;150;64
4343;1965;5;0;3;3;10800;3;0;0;0;0;5;55;66
4343;1966;5;0;4;4;14037;2;1;1;0;0;13;88;54
4343;1967;5;0;3;3;10743;2;1;0;1;0;6;58;66
4343;1968;5;0;4;4;14313;2;1;1;0;0;9;113;80
4142;1961;8;0;2;2;7114;0;2;0;1;0;12;77;53
4142;1962;8;0;4;4;14379;2;2;0;1;0;10;107;74
4142;1963;8;0;5;5;17972;1;4;0;1;0;16;178;75
4142;1964;8;0;6;6;20091;4;2;0;0;1;15;171;74
4142;1965;8;0;4;4;14274;0;4;0;2;0;16;101;52
4142;1966;8;0;5;5;17842;0;5;0;2;0;21;158;64
4142;1967;120;0;7;7;25152;2;5;0;0;1;14;167;71
4142;1968;120;0;7;7;22560;2;4;1;1;1;23;173;61
3128;1950;10;9999;0;0;0;0;0;0;0;0;0;0;0
4472;1968;123;0;4;4;12664;1;3;0;0;0;14;95;53
4472;1964;3;0;2;0;2999;0;0;0;0;0;1;23;63
4472;1967;123;0;7;7;22488;1;4;2;1;1;23;196;66
4598;1968;9;0;4;4;11479;2;2;0;0;1;8;79;63
4598;1963;3;0;0;0;0;0;0;0;0;0;0;0;0
4598;1964;9;0;2;2;7200;2;0;0;0;0;2;36;71
4598;1965;9;0;3;3;10512;1;2;0;1;0;11;87;59
4598;1966;9;0;4;4;11100;0;3;1;0;0;17;79;38
4598;1967;9;0;4;4;14312;1;3;0;0;0;15;102;54
4048;1968;8;0;4;3;11998;1;1;1;0;0;13;82;53
4048;1959;9;0;1;1;3600;0;1;0;0;0;4;42;83
4048;1961;9;0;4;4;14400;3;0;1;0;0;9;87;65
4048;1962;9;0;3;3;10800;1;2;0;0;0;9;67;61
4048;1963;9;0;4;4;14400;2;2;0;0;1;18;101;52
4048;1965;9;0;5;4;14682;1;3;0;0;0;10;146;79
4048;1967;118;0;7;7;25170;2;5;0;1;1;23;186;64
4933;1968;122;0;7;7;25200;1;3;3;0;0;23;203;69
4933;1966;0;0;4;4;14400;4;0;0;0;0;8;83;66
4933;1967;122;0;7;7;25093;2;2;3;0;2;14;147;69
4051;1968;122;0;0;0;0;0;0;0;0;0;0;0;0
4051;1962;5;0;3;3;10750;2;1;0;0;0;7;90;79
4051;1963;5;0;4;4;14162;2;2;0;1;1;9;95;70
4051;1967;122;0;0;0;0;0;0;0;0;0;0;0;0
3955;1964;8;0;2;1;5108;1;0;0;0;0;1;40;79
3955;1965;8;0;3;3;10800;1;2;0;0;0;12;97;61
3955;1966;8;0;2;2;7088;0;2;0;0;0;9;75;66
3955;1967;8;0;4;4;14400;3;0;1;0;1;7;91;78
3427;1960;9;0;3;3;10718;1;2;0;1;0;8;94;79
3427;1961;9;0;3;3;10777;0;3;0;0;0;11;80;59
254;1944;9;9999;5;5;18000;1;4;0;0;0;20;159;63
254;1949;5;9999;0;0;0;0;0;0;0;0;0;0;0
5060;1968;118;0;7;7;25180;2;4;1;1;1;16;174;69
5060;1967;118;0;0;0;0;0;0;0;0;0;0;0;0
4603;1968;123;0;4;3;12423;1;1;1;0;0;16;107;54
4603;1967;123;0;2;0;2692;0;0;0;0;0;2;15;50
4735;1968;3;0;6;6;21600;5;1;0;0;0;12;139;72
4735;1964;3;0;0;0;0;0;0;0;0;0;0;0;0
4735;1965;3;0;6;6;21544;4;2;0;2;1;10;126;71
4735;1966;3;0;5;5;18000;3;1;1;0;0;16;112;55
4735;1967;3;0;7;7;25194;6;1;0;0;3;7;123;75
4150;1968;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1957;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1958;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1962;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1963;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1964;0;0;3;2;8403;1;1;0;0;0;7;66;66
4150;1965;0;0;0;0;0;0;0;0;0;0;0;0;0
4150;1967;0;0;4;4;14400;2;1;1;0;1;8;92;71
5412;1968;9;0;4;3;13720;1;0;2;0;0;13;91;56
5412;1966;9;0;3;1;6859;1;0;0;0;0;3;43;64
5412;1967;9;0;3;3;10800;2;1;0;0;0;6;70;70
4616;1968;119;0;1;0;1680;0;0;0;0;0;0;3;53
4616;1967;119;0;2;0;3839;0;0;0;0;0;3;21;50
3679;1956;5;0;3;3;10749;1;2;0;1;0;12;80;54
3679;1957;5;0;3;3;10800;3;0;0;0;1;4;74;83
3679;1958;5;0;4;4;14371;1;2;0;1;2;7;83;72
3679;1959;5;0;3;3;10800;3;0;0;0;0;6;65;67
3679;1960;5;0;3;3;10759;2;1;0;0;0;8;89;74
3679;1961;5;0;4;4;14400;2;0;2;0;1;10;97;66
3679;1962;5;0;4;4;14254;2;2;0;0;0;11;99;64
3679;1963;5;0;3;3;10800;3;0;0;0;0;7;60;61
3679;1964;5;0;0;0;0;0;0;0;0;0;0;0;0
3679;1965;5;0;4;4;14381;3;1;0;0;1;7;79;69
3679;1966;5;0;4;3;11162;3;0;0;0;0;6;68;64
3679;1967;121;0;7;7;25148;3;3;1;1;0;20;180;65
3679;1968;121;0;5;3;14961;1;2;0;0;0;18;113;51
4621;1964;9;0;2;1;6606;1;0;0;0;1;3;44;78
4621;1967;121;0;0;0;0;0;0;0;0;0;0;0;0
3139;1968;10;0;0;0;0;0;0;0;0;0;0;0;0
3139;1949;10;0;2;2;7200;1;0;1;0;0;6;53;67
3139;1950;10;0;2;2;7200;1;1;0;0;0;11;61;48
3139;1951;10;0;4;4;14397;1;1;2;0;1;10;101;72
3139;1952;10;0;4;4;14400;3;0;1;0;1;7;86;73
3139;1953;10;0;7;7;25147;5;1;0;0;0;15;180;73
3139;1954;10;0;7;7;25200;5;2;0;0;1;13;158;73
3139;1955;10;0;7;7;25126;2;5;0;1;0;20;186;67
3139;1956;10;0;7;7;25177;3;3;1;1;1;27;150;48
3139;1957;10;0;7;7;24971;3;4;0;2;0;17;174;69
3139;1958;10;0;7;7;25200;3;4;0;0;0;22;193;65
3139;1959;10;0;7;7;25123;2;3;2;2;0;18;209;76
3139;1960;10;0;7;7;25139;3;4;0;2;0;21;215;73
3139;1961;10;0;7;7;25200;3;2;2;0;0;21;207;73
3139;1962;10;0;7;7;25151;4;2;1;0;2;14;173;74
3139;1963;10;0;7;7;25105;3;3;1;0;0;20;183;66
3139;1964;10;0;7;7;25023;2;3;2;1;0;19;154;61
3139;1965;10;0;7;7;25200;6;1;0;0;2;13;144;71
3139;1966;10;0;3;3;10698;0;3;0;2;0;15;95;51
3139;1967;10;0;0;0;0;0;0;0;0;0;0;0;0
3436;1954;3;0;0;0;0;0;0;0;0;0;0;0;0
3436;1955;3;0;0;0;0;0;0;0;0;0;0;0;0
3436;1956;3;0;0;0;0;0;0;0;0;0;0;0;0
3439;1952;8;0;4;4;14379;1;2;1;0;0;11;159;91
3439;1954;8;0;0;0;0;0;0;0;0;0;0;0;0
3439;1955;8;0;3;3;10752;2;1;0;0;0;6;91;78
3439;1956;8;0;4;4;14357;0;3;1;0;0;14;138;69
3439;1957;8;0;3;3;10786;1;2;0;0;0;14;93;55
3439;1958;8;0;2;2;7200;0;2;0;0;0;4;65;84
3439;1959;8;0;3;3;10788;1;2;0;0;0;12;105;69
3439;1960;8;0;3;3;10752;2;1;0;0;0;6;69;69
3439;1961;8;0;3;3;10800;0;1;2;0;0;17;93;44
3439;1962;8;0;3;3;10755;1;2;0;1;0;9;69;61
3439;1963;8;0;2;2;7200;1;0;1;0;0;4;49;78
4958;1967;120;0;0;0;0;0;0;0;0;0;0;0;0
4958;1968;120;0;1;0;2521;0;0;0;0;0;3;16;45
3684;1963;10;0;0;0;0;0;0;0;0;0;0;0;0
4960;1968;0;0;7;7;25200;6;1;0;0;2;15;150;70
4960;1964;0;0;3;3;9592;0;3;0;0;0;13;88;57
4960;1965;0;0;7;7;25142;1;6;0;0;0;30;215;58
4960;1966;0;0;3;3;10800;2;0;1;0;1;4;68;80
4960;1967;0;0;3;3;10766;1;2;0;0;0;9;56;50
5090;1968;8;0;4;4;13047;1;2;1;0;0;10;115;71
5090;1967;8;0;3;3;10728;1;2;0;1;0;9;89;70
3447;1956;10;0;0;0;0;0;0;0;0;0;0;0;0
3447;1960;10;0;0;0;0;0;0;0;0;0;0;0;0
3447;1961;10;0;0;0;0;0;0;0;0;0;0;0;0
3447;1962;10;0;0;0;0;0;0;0;0;0;0;0;0
4378;1964;9;0;2;2;4193;0;2;0;0;0;8;46;47
4379;1968;5;0;3;3;10800;2;0;1;0;0;6;52;60
4379;1967;5;0;4;4;14400;4;0;0;0;1;4;92;79
5256;1968;118;0;0;0;0;0;0;0;0;0;0;0;0
3334;1950;9;9999;5;5;17933;0;3;2;0;0;10;89;60
3152;1949;10;9999;0;0;0;0;0;0;0;0;0;0;0
3152;1950;9;9999;0;0;0;0;0;0;0;0;0;0;0
3154;1950;5;9999;5;5;17955;1;3;1;0;1;8;114;75
3154;1951;5;0;3;3;10800;1;2;0;0;0;12;105;66
3154;1952;5;0;4;4;14400;2;2;0;0;1;14;135;71
3154;1953;5;0;3;3;10697;0;3;0;2;0;14;97;57
3154;1954;5;0;4;4;14363;1;3;0;1;0;21;135;50
3162;1949;3;9999;0;0;0;0;0;0;0;0;0;0;0
3162;1950;3;9999;5;5;17976;3;1;1;1;1;6;105;78
5103;1968;119;0;7;7;23499;0;6;0;1;1;28;188;51
5103;1967;119;0;7;7;21280;2;3;2;1;2;18;157;63
5106;1968;10;0;7;7;25158;5;1;0;0;3;5;146;84
5106;1964;10;0;0;0;0;0;0;0;0;0;0;0;0
5106;1965;10;0;0;0;0;0;0;0;0;0;0;0;0
5106;1966;10;0;4;4;14281;2;2;0;0;0;8;79;63
5106;1967;10;0;7;7;25175;2;3;1;0;1;20;143;58
5698;1968;121;0;5;4;10204;1;3;0;0;0;16;103;51
2942;1947;5;9999;0;0;0;0;0;0;0;0;0;0;0
2942;1948;5;9999;0;0;0;0;0;0;0;0;0;0;0
2942;1955;5;0;4;4;14380;1;2;1;0;0;12;160;88
2958;1948;5;9999;5;5;17921;1;3;0;1;2;10;105;70
2958;1949;3;9999;5;5;17971;1;3;1;0;1;16;136;66
2958;1957;10;0;0;0;0;0;0;0;0;0;0;0;0
2959;1968;3;0;1;1;3600;1;0;0;0;0;3;20;53
2959;1947;8;9999;0;0;0;0;0;0;0;0;0;0;0
2959;1948;8;9999;0;0;0;0;0;0;0;0;0;0;0
2959;1949;8;0;4;4;14400;3;1;0;0;1;10;114;72
2959;1950;8;0;5;5;18000;5;0;0;0;1;11;166;87
2959;1951;8;0;4;4;14319;1;2;1;1;0;9;120;80
2959;1952;8;0;3;3;10784;1;2;0;1;0;11;80;58
2959;1953;8;0;6;6;21600;4;1;1;0;1;19;173;68
2959;1954;8;0;7;7;25035;2;5;0;3;0;21;188;67
2959;1955;8;0;4;4;14301;0;3;1;1;0;14;123;67
2959;1956;8;0;3;3;10785;2;1;0;1;0;8;117;91
2959;1957;8;0;4;4;14201;1;3;0;2;0;13;106;61
2959;1958;8;0;5;5;18000;5;0;0;0;2;5;150;90
2959;1959;8;0;4;4;14400;2;1;1;0;0;18;113;58
2959;1960;8;0;4;4;14316;2;2;0;1;1;15;122;61
2959;1961;8;0;2;2;7200;1;0;1;0;0;7;68;76
2959;1962;3;0;7;7;25200;3;4;0;0;0;24;199;65
2959;1963;3;0;7;7;25067;2;4;1;1;0;18;206;75
2959;1964;3;0;7;7;22200;3;4;0;0;0;24;157;53
2959;1965;3;0;1;1;3600;1;0;0;0;1;0;14;85
2959;1966;3;0;2;2;7120;0;2;0;0;0;7;50;56
2959;1967;3;0;0;0;0;0;0;0;0;0;0;0;0
2961;1948;9;9999;5;5;18000;3;1;1;0;1;6;112;79
2961;1948;9;0;0;0;0;0;0;0;0;0;0;0;0
2961;1949;9;9999;0;0;0;0;0;0;0;0;0;0;0
2961;1949;9;0;0;0;0;0;0;0;0;0;0;0;0
2961;1950;9;0;7;7;25200;5;2;0;0;3;17;202;76
2961;1951;9;0;7;7;25034;1;4;2;1;1;24;215;69
2961;1952;9;0;2;2;7200;0;0;2;0;0;4;53;79
2961;1953;9;0;3;3;10800;0;2;1;0;0;10;113;82
2961;1954;9;0;4;4;14333;3;1;0;0;0;12;113;71
2961;1955;9;0;4;4;14400;3;0;1;0;1;5;122;89
