PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
4343;5;5;6;6;362;2;4;0;211;188;23;3.80;0;.891;73
4142;120;120;9;9;551;4;5;0;208;189;19;2.07;0;.909;68
4933;122;122;8;8;494;6;2;0;200;181;19;2.31;1;.905;72
4603;123;123;7;7;432;3;4;0;160;146;14;1.94;0;.913;69
4735;3;3;9;9;539;5;4;0;247;225;22;2.44;0;.911;71
4150;0;0;1;0;55;1;0;0;33;31;2;2.18;0;.939;91
3679;121;121;6;6;358;2;4;0;143;120;23;3.85;0;.839;50
4621;121;121;1;0;15;0;0;0;1;0;1;3.78;0;.000;39
4960;0;0;8;8;431;4;3;0;213;189;24;3.34;1;.887;67
5106;10;10;7;7;419;3;4;0;242;218;24;3.43;0;.901;73
