PlayerId;TeamId;FranchiseId;Games Played;Games Started;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
4343;3;3;53;53;3136;32;17;3;1315;1175;140;2.68;6;.894;68
6091;5;5;54;54;3232;22;26;6;1308;1162;146;2.71;4;.888;64
4142;120;120;57;57;3404;33;15;8;1326;1200;126;2.22;5;.905;70
4472;123;123;32;28;1715;9;15;4;836;738;98;3.43;0;.883;65
4598;9;9;21;18;1112;5;8;5;605;529;76;4.10;0;.874;61
4933;122;122;28;28;1623;14;12;0;730;646;84;3.10;4;.885;67
5055;122;122;28;28;1563;15;10;2;676;600;76;2.92;2;.888;64
3955;118;118;1;0;19;0;0;0;5;4;1;3.13;0;.800;46
5060;118;118;67;67;3992;21;34;9;1566;1381;185;2.78;5;.882;62
4603;123;123;41;39;2292;13;23;2;1165;1036;129;3.38;4;.889;68
4735;3;3;17;14;876;8;5;1;328;286;42;2.88;0;.872;59
4150;120;120;12;11;668;7;4;1;250;218;32;2.87;0;.872;60
5412;9;9;50;48;2844;25;16;7;1303;1175;128;2.70;6;.902;69
5415;119;119;63;63;3679;21;34;7;1369;1220;149;2.43;10;.891;64
3679;121;121;7;0;145;0;0;0;55;49;6;2.47;0;.891;52
4621;131;131;52;48;2855;14;27;6;1388;1217;171;3.59;1;.877;63
3139;10;10;2;0;11;0;0;0;2;2;0;0.00;0;1.000;49
4960;0;0;59;59;3491;42;14;3;1261;1127;134;2.30;11;.894;66
5090;8;8;51;50;3006;27;18;2;1203;1069;134;2.67;4;.889;65
4378;131;131;24;18;1097;3;11;4;528;448;80;4.37;0;.848;53
4379;5;5;13;13;778;4;5;3;343;304;39;3.01;0;.886;64
5905;122;122;14;10;764;2;4;5;328;291;37;2.90;1;.887;64
5102;0;0;12;8;519;5;1;1;172;153;19;2.20;3;.890;62
5103;119;119;7;3;268;0;2;1;94;78;16;3.57;0;.830;48
5106;10;10;67;67;4004;41;17;9;1630;1471;159;2.38;9;.902;70
5688;130;130;4;3;188;1;2;0;88;81;7;2.23;1;.920;73
6150;130;130;2;2;57;0;2;0;34;24;10;10.51;0;.706;24
5698;121;121;66;66;3804;16;39;10;1845;1594;251;3.96;0;.864;58
6160;130;130;44;42;2498;10;27;4;1138;1005;133;3.19;0;.883;63
5710;8;8;18;17;998;11;5;1;373;337;36;2.16;2;.903;66
5736;130;130;24;20;1264;5;13;2;556;490;66;3.13;2;.881;62
