PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning;Ability;Potential
4037;0;5;8;19;20;19;8;13;14;15;18;12;15;1;1;14;13;11;11;15;12;8;14;13;17;15;13;7;13;16;15;13;16;8;16;15;1;1;1;1;1;1;1;1;1;1;1;12;13;15;14;12;17;13;13;0;0;2.5Aa;2.5Aa
5636;0;8;5;12;20;10;8;12;13;14;13;13;12;1;1;13;14;12;14;16;11;7;13;12;12;13;13;10;14;13;14;11;16;7;16;12;1;1;1;1;1;1;1;1;1;1;1;13;16;12;13;11;17;11;13;0;0;1Cd;1Cd
4921;0;8;5;20;12;13;8;13;12;11;11;11;13;1;1;8;14;11;11;15;12;5;14;10;11;10;11;4;9;10;11;9;14;8;15;14;1;1;1;1;1;1;1;1;1;1;1;10;9;12;11;11;17;11;9;0;0;0.5Ad;0.5Ad
4465;0;8;8;20;13;19;7;13;13;17;13;15;18;1;1;15;13;15;15;14;13;4;15;16;17;14;13;6;17;13;11;9;15;7;12;16;1;1;1;1;1;1;1;1;1;1;1;15;12;15;11;11;16;12;16;0;0;2Aa;2Aa
6085;0;5;8;13;10;20;8;13;12;11;11;13;12;1;1;13;13;15;14;15;12;7;13;16;11;13;15;8;14;13;10;11;13;6;14;14;1;1;1;1;1;1;1;1;1;1;1;14;15;10;11;11;17;11;15;0;0;1Cd;1.5Cd
4136;0;15;20;5;5;8;13;13;14;10;11;8;10;1;1;11;12;8;12;12;11;9;10;10;13;16;10;15;13;14;6;13;15;13;13;13;1;1;1;1;1;1;1;1;1;1;1;10;12;10;13;12;16;12;14;0;0;0.5Ad;0.5Ad
5637;0;8;5;20;10;12;6;10;12;11;10;14;13;1;1;14;13;14;14;16;10;6;12;13;13;17;13;8;13;12;9;12;14;9;16;13;1;1;1;1;1;1;1;1;1;1;1;14;14;11;12;10;17;10;13;0;0;1Dd;1Dd
4466;0;5;8;13;11;20;9;13;14;16;13;14;14;1;1;15;14;14;14;14;11;8;15;16;19;14;16;5;16;12;12;11;14;8;14;14;1;1;1;1;1;1;1;1;1;1;1;14;13;16;12;11;17;13;16;0;0;3Ad;3Ad
4467;0;8;5;20;10;12;14;14;13;11;11;6;12;1;1;8;7;12;8;12;6;14;15;9;10;12;9;5;10;12;8;13;10;7;9;11;1;1;1;1;1;1;1;1;1;1;1;9;9;11;9;12;15;10;9;0;0;0.5Ad;0.5Ad
5638;0;19;20;14;8;15;8;14;13;12;11;12;15;1;1;14;12;13;15;13;12;7;9;12;12;14;8;16;14;13;8;14;13;12;14;13;1;1;1;1;1;1;1;1;1;1;1;14;12;11;13;11;16;11;13;0;0;1Dd;1Dd
4038;0;10;15;12;10;20;14;15;13;16;13;6;12;1;1;12;11;9;11;11;11;12;14;12;14;14;10;6;11;12;10;11;12;8;11;13;1;1;1;1;1;1;1;1;1;1;1;10;11;14;10;13;15;11;11;0;0;0.5Ad;0.5Ad
7360;0;8;5;12;20;10;5;8;7;10;8;8;7;1;1;8;9;8;8;8;7;1;8;7;12;11;9;1;11;5;9;6;8;3;9;8;1;1;1;1;1;1;1;1;1;1;1;8;5;12;6;6;13;8;9;0;0;0.5e;1.5e
6086;0;8;5;20;10;12;8;10;11;16;11;11;11;1;1;13;15;13;14;15;13;8;14;14;17;14;13;5;16;12;10;13;12;11;13;13;1;1;1;1;1;1;1;1;1;1;1;13;11;15;12;11;17;10;15;0;0;1Ad;1.5Ad
6568;0;5;8;12;10;20;8;10;13;10;11;9;13;1;1;11;12;11;14;13;12;8;14;12;12;13;11;7;12;12;12;12;12;7;13;11;1;1;1;1;1;1;1;1;1;1;1;12;12;10;11;11;16;11;12;0;0;0.5e;2e
6569;0;14;20;5;5;8;12;13;13;8;10;6;13;1;1;9;10;11;12;14;12;11;7;11;11;13;7;16;11;15;6;14;13;14;13;12;1;1;1;1;1;1;1;1;1;1;1;10;11;10;13;11;16;11;12;0;0;0.5e;1e
4341;20;0;0;0;0;0;6;1;14;13;12;1;14;13;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12;11;13;12;14;12;12;13;10;13;14;0;0;7;0;1;9;11;0;12;12;0.5Ac;0.5Ac
6822;0;5;8;19;10;20;5;9;9;14;9;11;11;1;1;12;11;13;12;12;9;6;12;11;13;13;12;4;13;10;11;8;10;4;14;12;1;1;1;1;1;1;1;1;1;1;1;12;10;13;9;8;15;9;12;0;0;0.5Ad;1.5Ad
5396;0;8;5;14;20;10;8;12;14;12;14;12;11;1;1;11;12;13;17;14;12;8;13;13;17;14;14;5;16;11;15;11;11;10;12;14;1;1;1;1;1;1;1;1;1;1;1;13;12;14;11;11;16;12;14;0;0;1.5Dd;1.5Dd
4468;0;8;5;20;18;13;9;14;13;15;12;10;14;1;1;13;13;14;12;15;13;7;14;12;12;15;13;6;12;13;12;12;13;7;13;13;1;1;1;1;1;1;1;1;1;1;1;13;12;12;11;12;17;11;12;0;0;0.5Ba;0.5Ba
6570;0;20;15;8;5;5;8;11;13;9;11;10;10;1;1;13;11;12;13;14;12;7;9;12;13;13;5;16;12;14;4;11;16;15;17;14;1;1;1;1;1;1;1;1;1;1;1;12;10;11;15;10;16;12;15;0;0;0.5Cd;1Cd
4922;0;14;20;5;5;8;9;13;15;13;11;12;14;1;1;14;17;14;14;16;13;8;8;13;15;18;12;15;16;13;10;12;12;13;13;16;1;1;1;1;1;1;1;1;1;1;1;14;13;13;12;11;18;12;14;0;0;2Da;2.5Da
4039;0;20;13;8;5;5;14;16;12;10;11;3;12;1;1;8;6;7;5;9;6;14;8;10;14;14;10;14;13;13;5;13;11;14;12;12;1;1;1;1;1;1;1;1;1;1;1;6;12;11;12;11;14;11;11;0;0;0.5e;0.5e
5397;0;20;17;8;5;5;8;13;12;10;12;12;11;1;1;10;11;11;12;11;13;8;6;9;12;18;7;16;12;13;9;13;12;11;11;12;1;1;1;1;1;1;1;1;1;1;1;11;11;11;11;10;15;11;12;0;0;0.5e;0.5e
5639;0;5;8;13;10;20;9;11;12;11;13;11;13;1;1;15;14;14;16;14;13;7;14;14;14;15;16;5;15;15;12;14;15;8;15;14;1;1;1;1;1;1;1;1;1;1;1;15;13;11;13;12;17;10;14;0;0;2Dd;2Dd
4923;0;20;16;8;5;5;8;13;12;18;12;12;12;1;1;14;12;14;12;15;11;8;8;12;16;16;8;16;15;12;7;12;14;14;13;12;1;1;1;1;1;1;1;1;1;1;1;13;12;16;13;10;17;11;13;0;0;1.5Dd;1.5Dd
6571;20;0;0;0;0;0;5;1;10;13;12;1;11;12;14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12;13;11;11;12;13;11;12;11;16;10;0;0;7;0;1;9;11;0;12;11;0.5e;1e
4924;0;8;5;20;10;12;8;14;14;14;13;15;14;1;1;13;14;15;13;14;13;8;14;14;15;14;13;7;16;13;11;12;14;8;17;13;1;1;1;1;1;1;1;1;1;1;1;13;13;13;13;12;17;11;15;0;0;2Db;2Db
3663;0;8;5;20;10;13;8;8;12;11;9;11;10;1;1;7;7;4;8;9;5;9;7;12;12;11;8;4;7;4;9;9;6;5;11;9;1;1;1;1;1;1;1;1;1;1;1;6;8;11;6;7;14;9;9;0;0;0.5Ad;0.5Ad
6324;0;5;8;12;10;20;6;12;12;13;15;14;12;1;1;14;13;12;14;13;12;7;12;14;10;18;14;7;10;12;11;11;13;10;15;13;1;1;1;1;1;1;1;1;1;1;1;13;14;10;12;10;16;11;12;0;0;0.5e;2e
4137;0;16;20;5;5;8;13;16;17;14;15;7;15;1;1;12;13;13;13;14;11;10;9;13;14;15;9;15;12;17;7;18;19;18;17;16;1;1;1;1;1;1;1;1;1;1;1;12;12;13;17;13;16;13;17;0;0;2Ac;2Ac
4040;0;8;5;20;11;19;12;15;15;14;18;9;15;1;1;13;10;15;11;17;12;11;15;13;17;16;15;6;13;15;9;15;13;7;13;15;1;1;1;1;1;1;1;1;1;1;1;13;13;13;12;13;18;13;13;0;0;2.5Ad;2.5Ad
6823;0;8;5;20;10;13;8;11;9;11;9;9;9;1;1;10;10;11;10;10;9;6;10;9;9;12;11;6;10;11;8;9;11;6;10;11;1;1;1;1;1;1;1;1;1;1;1;10;11;10;9;9;14;11;9;0;0;0.5e;1e
5849;0;8;5;19;20;12;8;10;9;11;11;10;9;1;1;14;12;13;12;15;11;10;13;14;14;14;13;10;15;13;13;13;13;8;13;14;1;1;1;1;1;1;1;1;1;1;1;13;16;12;11;11;17;10;14;0;0;0.5Bd;1Bd
6087;0;19;20;8;5;5;8;15;13;11;11;5;11;1;1;16;12;15;16;14;13;8;8;11;16;12;10;14;11;16;6;15;16;17;17;19;1;1;1;1;1;1;1;1;1;1;1;15;12;13;16;11;16;12;17;0;0;1.5Aa;2Aa
5640;0;10;8;20;11;15;13;14;12;14;15;7;13;1;1;12;13;15;13;17;12;12;15;15;15;16;15;7;16;15;12;18;13;9;12;13;1;1;1;1;1;1;1;1;1;1;1;13;14;14;12;14;18;11;15;0;0;2Cd;2.5Cd
5398;0;9;10;19;20;13;10;14;14;16;15;12;14;1;1;15;19;15;17;16;16;10;14;14;18;20;15;8;19;13;16;15;14;7;15;15;1;1;1;1;1;1;1;1;1;1;1;15;15;16;12;13;18;12;16;0;0;4Ac;4.5Ac
