PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4037;1967;123;0;7;0;2;0;1;0;0;0;0;64;0;5;82;45;5;4;5;3;7540;7;763;0;0
4037;1963;9;0;12;1;0;4;-3;0;0;0;0;60;0;6;69;27;5;1;7;10;7220;149;509;0;0
4037;1964;9;0;11;3;3;7;1;0;0;0;0;56;1;15;100;43;8;7;3;1;9025;71;680;1;0
4037;1965;9;0;13;2;8;10;3;0;0;0;0;67;0;16;54;30;9;6;2;4;10861;175;743;0;0
4037;1966;9;0;5;0;1;2;1;0;0;0;1;59;0;5;19;7;6;1;3;0;3071;0;234;0;0
4465;1967;123;0;7;1;2;2;-1;0;1;0;0;69;0;13;6;2;9;6;3;6;8137;282;405;0;0
4465;1962;3;0;11;4;5;2;2;0;0;0;0;64;1;22;0;0;9;12;5;4;7794;0;0;0;0
4465;1963;3;0;7;0;0;0;-4;0;0;0;0;60;0;8;1;1;3;4;1;1;4784;0;0;0;0
4465;1964;3;0;4;0;1;2;-2;0;0;0;0;59;0;5;0;0;2;4;0;0;2527;103;83;0;0
4465;1965;3;0;5;1;0;0;2;0;0;1;0;61;0;6;1;0;3;0;1;0;1895;0;284;0;0
4465;1966;3;0;12;3;3;0;-3;1;2;0;0;63;0;21;8;4;6;9;3;5;5551;1716;292;0;0
4466;1967;122;0;6;2;3;0;0;0;0;0;0;70;0;11;5;3;11;10;4;2;7332;335;17;0;0
4922;1967;123;0;7;0;2;0;-2;0;0;0;0;68;0;9;0;0;7;0;2;4;9146;669;122;0;0
4040;1957;10;0;7;2;1;0;3;0;0;0;0;63;0;3;0;0;6;3;3;1;3177;205;86;0;0
4040;1958;10;0;7;0;0;2;-5;0;0;0;0;63;0;7;10;7;17;5;1;3;6351;339;371;0;0
4040;1961;10;0;7;0;0;0;-4;0;0;0;0;53;0;9;0;0;7;4;0;3;4221;0;286;0;0
4040;1962;10;0;7;0;1;0;1;0;0;0;0;67;0;7;1;1;9;3;1;5;4979;153;117;0;0
4040;1964;10;0;5;0;0;2;-5;0;0;0;0;57;0;5;2;1;9;3;0;4;4828;0;110;0;0
4040;1965;10;0;6;2;0;0;2;0;0;0;0;73;0;13;3;1;13;4;5;6;6162;227;96;0;0
5398;1967;3;0;7;0;3;2;0;0;0;0;0;62;0;6;54;26;3;3;3;0;5477;293;0;0;0
3947;1959;0;0;11;0;4;4;1;0;0;0;0;58;0;12;7;3;11;5;1;2;5062;143;499;0;0
3947;1961;0;0;6;0;2;2;-3;0;0;0;0;64;0;8;20;10;15;6;3;2;6194;348;791;0;0
3947;1963;0;0;6;2;1;2;0;0;0;0;0;61;1;19;2;1;9;2;2;3;4146;438;332;0;0
3947;1966;0;0;6;0;1;0;-2;0;0;0;0;67;0;7;11;3;6;5;5;3;5983;328;446;0;0
3855;1962;10;0;7;0;0;0;0;0;0;0;0;60;0;7;0;0;5;2;3;2;3099;0;0;0;0
4138;1961;3;0;13;5;7;8;6;0;0;0;0;67;0;29;141;74;5;15;13;6;13999;591;162;0;0
4138;1962;3;0;11;5;7;2;5;1;0;0;0;69;1;23;125;60;9;11;10;3;10945;656;251;0;0
4138;1963;3;0;7;5;2;4;2;0;1;0;0;74;1;11;86;49;14;7;9;2;6226;1538;368;0;0
4138;1964;3;0;4;0;2;0;-3;0;0;0;0;64;0;3;33;14;2;3;4;1;3778;200;148;0;0
4138;1965;3;0;5;3;1;2;1;0;0;0;0;70;0;12;40;17;1;5;6;6;5063;197;184;0;0
4138;1966;3;0;12;3;8;4;6;0;0;0;0;73;2;26;14;4;18;17;10;7;11624;867;654;0;0
4138;1967;3;0;7;0;3;2;-1;0;0;0;0;71;0;15;32;17;9;7;4;1;6839;193;767;0;0
4041;1961;3;0;14;1;0;4;-5;0;0;0;0;62;0;6;0;0;5;2;11;40;15599;544;1199;0;0
4041;1962;3;0;11;0;3;10;-4;0;1;0;0;65;0;15;0;0;22;0;10;25;13907;558;632;0;0
4041;1963;3;0;7;1;2;7;-5;1;0;0;0;65;0;8;0;0;13;2;5;12;8477;1345;128;1;0
4041;1964;3;0;4;0;2;0;0;0;0;0;1;61;0;3;0;0;4;0;2;6;4930;437;394;0;0
4041;1965;3;0;5;0;3;4;1;0;0;0;1;67;0;4;0;0;3;0;5;13;5954;158;706;0;0
4041;1966;3;0;12;1;6;17;6;0;0;0;0;68;0;14;0;0;15;1;5;30;14116;991;349;1;0
4041;1967;3;0;7;1;3;0;4;0;0;0;0;69;0;12;0;0;16;1;5;19;8586;228;1023;0;0
