PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4037;1968;123;0;7;0;5;9;3;0;0;0;0;62;0;3;74;36;5;3;6;3;6617;12;438;1;1
4037;1961;9;0;7;5;1;13;-1;1;0;0;0;67;1;24;67;28;16;3;6;4;6717;113;660;1;0
4037;1963;9;0;7;0;1;2;-3;0;0;0;0;53;0;5;36;18;5;2;1;1;3759;37;211;0;0
4037;1964;9;0;5;0;2;7;1;0;0;0;0;63;0;3;49;22;4;4;4;4;3719;77;751;1;1
4037;1966;9;0;7;2;3;9;1;0;0;1;1;59;0;6;47;27;10;6;1;7;5160;119;693;1;0
4465;1968;123;0;7;2;1;4;-5;0;0;0;0;67;0;17;3;1;6;5;4;2;7683;206;291;0;0
4465;1962;3;0;7;1;3;0;2;0;0;0;0;62;0;6;0;0;2;1;0;1;3090;24;16;0;0
4465;1963;3;0;7;2;1;0;1;0;0;0;0;64;1;6;0;0;5;1;2;3;3976;35;70;0;0
4465;1964;3;0;7;2;1;0;1;0;0;0;0;60;0;5;0;0;2;4;0;0;2880;65;24;0;0
4465;1966;3;0;3;1;0;0;1;0;0;0;0;76;1;13;11;9;3;3;2;1;2821;880;433;0;0
4465;1967;123;0;7;1;0;2;-5;0;0;0;0;63;0;12;30;9;8;10;4;4;6680;254;1645;0;0
4466;1968;122;0;7;1;1;0;1;0;0;0;0;70;1;5;15;9;9;6;4;7;6631;710;35;0;0
4466;1967;122;0;7;2;0;7;-4;1;0;0;0;65;0;17;10;5;7;11;0;3;6877;746;186;1;0
3040;1949;8;9999;5;0;0;0;0;0;0;0;0;57;0;1;0;0;3;3;0;1;3674;170;0;0;0
3040;1950;8;9999;5;0;1;0;1;0;0;0;0;56;0;1;5;3;2;0;0;0;2523;0;453;0;0
2815;1947;9;9999;5;0;0;2;-1;0;0;0;0;57;0;6;44;20;8;5;0;3;4808;395;74;0;0
2815;1950;10;9999;5;0;1;0;3;0;0;0;0;59;0;2;55;33;2;8;2;1;4299;0;684;0;0
4922;1968;123;0;7;0;2;0;-3;0;0;0;0;63;0;3;0;0;5;3;7;5;7072;172;257;0;0
5639;1968;118;0;7;1;0;2;-1;0;0;0;0;67;0;9;0;0;16;2;2;3;5830;425;0;0;0
4137;1963;8;0;3;0;2;5;1;0;0;0;0;70;0;0;0;0;4;2;3;9;2736;0;168;1;0
4137;1964;8;0;7;0;4;9;6;0;0;0;0;65;0;6;0;0;12;2;1;15;6634;118;351;1;0
4137;1967;8;0;7;0;1;13;-1;0;0;0;0;60;0;3;0;0;7;1;2;11;7096;96;189;1;0
4040;1959;10;0;7;0;2;2;0;0;0;0;0;61;0;3;3;2;8;1;0;4;3562;209;355;0;0
4040;1960;10;0;3;0;1;2;-4;0;1;0;0;65;0;3;6;2;8;5;3;2;2240;329;158;0;0
4040;1961;10;0;7;1;3;4;-4;0;2;0;0;63;1;17;0;0;15;8;4;3;6133;470;80;0;0
4040;1962;10;0;7;1;1;4;2;0;0;0;0;60;0;10;2;1;7;2;1;4;3949;155;101;0;0
4040;1963;10;0;7;2;1;4;1;0;0;0;0;54;1;14;11;4;6;5;0;2;5296;0;173;0;0
4040;1964;10;0;7;0;1;2;1;0;0;0;0;60;0;9;6;1;6;4;3;4;5687;146;164;0;0
4040;1965;10;0;7;2;3;5;5;0;1;0;0;59;1;8;5;3;2;2;4;1;3828;240;288;1;0
4040;1966;10;0;7;2;1;7;-1;0;0;0;0;67;1;16;2;2;10;8;2;5;7388;699;356;1;0
4040;1967;10;0;7;1;2;10;-3;0;0;0;0;66;0;13;0;0;9;3;5;1;6799;454;187;0;0
5398;1968;3;0;5;2;1;0;3;1;0;0;0;69;0;8;14;8;4;2;0;3;4419;259;62;0;0
5398;1967;3;0;7;2;3;4;8;0;0;0;0;68;0;7;47;29;5;3;0;1;5494;42;23;0;0
3947;1955;0;0;1;0;0;0;0;0;0;0;0;63;0;0;8;3;1;1;0;2;359;0;177;0;0
3947;1962;0;0;7;0;3;6;2;0;0;0;0;61;0;17;13;8;12;8;0;3;4871;43;434;0;0
3947;1963;0;0;7;0;2;2;-3;0;1;0;0;60;0;6;2;1;10;1;2;2;4057;358;56;0;0
3947;1964;0;0;7;0;0;2;-6;0;0;0;0;54;0;1;62;26;9;0;2;3;6037;259;270;0;0
3947;1965;0;0;4;0;0;4;-8;0;0;0;0;57;0;1;29;16;11;0;4;3;3681;222;193;0;0
3947;1966;0;0;7;5;4;19;5;0;0;0;0;65;0;16;25;14;9;2;5;8;5647;18;1262;1;0
3947;1967;119;0;7;1;0;4;-7;0;0;1;0;64;1;11;34;16;8;5;5;6;6554;1467;988;0;0
5045;1968;119;0;7;0;1;4;-9;0;1;0;0;64;0;11;0;0;15;4;9;7;7129;1423;263;0;0
5045;1967;119;0;7;0;1;2;-1;0;0;0;0;59;0;11;0;0;9;5;3;9;8115;341;667;0;0
3855;1960;10;0;4;0;0;0;1;0;0;0;0;54;0;1;0;0;0;2;0;2;1579;27;0;0;0
3855;1962;10;0;7;0;1;2;0;0;0;0;0;57;0;2;0;0;6;1;0;1;2956;5;0;0;0
4138;1968;3;0;7;3;5;0;6;0;1;1;0;69;0;12;12;7;10;5;4;4;7578;376;454;0;0
4138;1960;3;0;7;1;0;4;-3;0;0;0;0;61;0;8;35;20;2;5;2;4;4533;211;417;0;0
4138;1961;3;0;7;0;3;0;-4;0;0;0;0;62;0;4;48;18;5;4;6;2;3947;25;1546;0;0
4138;1962;3;0;7;2;0;2;-4;0;0;0;0;64;0;13;74;36;5;7;8;2;6246;90;748;0;0
4138;1963;3;0;7;2;2;2;2;0;1;0;0;68;1;13;66;34;5;3;2;4;6228;601;581;0;0
4138;1964;3;0;7;3;1;6;0;1;0;0;0;67;0;16;70;41;2;4;8;1;6324;621;485;0;0
4138;1965;3;0;7;0;1;10;1;0;0;0;0;66;0;11;60;36;6;12;10;1;6351;94;686;0;0
4138;1966;3;0;7;0;5;4;-5;0;1;0;0;65;0;16;69;31;5;5;5;3;7160;334;324;0;0
4138;1967;3;0;7;4;9;17;10;0;2;0;0;76;1;14;6;3;8;7;5;3;6927;337;1164;1;0
4041;1957;3;0;7;0;0;2;-3;0;0;0;0;66;0;4;0;0;6;1;3;19;6628;166;704;0;0
4041;1958;3;0;7;0;0;14;1;0;0;0;0;72;0;6;0;0;8;3;3;23;6860;188;905;2;1
4041;1959;3;0;7;0;1;10;-5;0;0;0;0;63;0;7;0;0;18;2;4;17;6888;17;1062;0;0
4041;1961;3;0;7;0;3;4;0;0;0;0;0;64;0;9;0;0;14;2;4;16;7228;88;1139;0;0
4041;1962;3;0;7;0;1;4;-1;0;1;0;0;68;0;4;0;0;5;1;7;17;7218;646;992;0;0
4041;1963;3;0;7;0;2;36;-5;0;0;0;0;65;0;8;0;0;4;1;3;21;7542;618;590;4;2
4041;1964;3;0;7;0;3;38;-5;0;2;0;0;65;0;9;0;0;11;4;10;10;6860;869;398;2;0
4041;1965;3;0;7;0;0;15;0;0;0;0;0;67;0;11;0;0;13;1;1;18;7729;247;1407;3;1
4041;1966;3;0;7;0;4;7;-4;0;1;0;0;55;0;9;0;0;6;2;0;16;8432;326;938;1;1
4041;1967;3;0;7;0;4;6;9;0;0;0;0;67;0;7;0;0;6;4;2;14;8556;631;852;0;0
4041;1968;3;0;3;2;1;4;3;0;0;0;0;70;1;5;0;0;5;0;4;6;3514;12;53;0;0
3948;1955;5;0;7;0;2;6;-2;0;0;0;0;59;0;4;0;0;7;1;5;3;7044;16;30;1;1
3948;1956;5;0;7;2;5;6;4;0;0;0;0;54;0;13;0;0;10;0;4;3;6860;61;502;0;0
3948;1957;5;0;7;1;2;8;5;0;0;0;0;67;0;7;0;0;12;1;4;8;6564;48;468;0;0
3948;1958;5;0;7;0;1;11;1;0;0;0;0;64;0;8;0;0;12;3;5;6;7267;120;1253;1;0
3948;1959;3;0;7;0;1;22;0;0;0;0;0;66;0;7;0;0;16;3;5;12;7246;182;1475;2;1
3948;1960;3;0;7;1;1;6;4;0;0;0;0;70;0;4;0;0;16;0;3;13;6451;320;1306;0;0
3948;1961;3;0;7;1;3;21;-4;0;0;0;0;58;0;9;0;0;6;5;6;18;7517;104;913;1;0
3948;1962;3;0;7;1;1;7;-3;1;0;0;0;62;1;16;0;0;7;0;4;11;6121;1779;1089;1;0
3948;1963;3;0;7;1;1;11;1;0;0;0;1;67;0;9;0;0;10;1;4;16;6722;166;1386;1;1
3948;1964;3;0;7;0;2;23;-3;0;1;0;0;55;0;4;0;0;6;2;3;8;6071;112;1472;1;0
5227;1968;119;0;7;1;0;4;-5;0;0;0;0;57;0;9;0;0;5;2;1;9;8249;108;955;0;0
5227;1967;119;0;7;0;0;8;-2;0;0;0;0;65;0;5;0;0;5;2;12;14;7079;207;946;0;0
4139;1968;9;0;7;5;3;7;3;0;0;0;0;69;0;20;12;2;7;7;3;3;6841;1020;0;1;0
4139;1957;0;0;7;0;0;0;-2;0;0;0;0;60;0;7;12;6;6;1;1;1;2624;793;91;0;0
4139;1958;0;0;7;0;1;4;-3;0;0;0;0;56;0;8;29;8;4;3;0;2;3306;17;363;0;0
4139;1959;0;0;7;0;1;2;3;0;0;0;0;66;0;10;1;0;13;2;1;0;4762;316;20;0;0
4139;1960;0;0;7;1;1;2;-3;0;0;0;0;69;0;24;3;2;14;3;4;4;5700;507;8;0;0
4139;1961;0;0;7;3;5;10;4;0;0;0;0;76;0;23;0;0;19;0;4;4;6872;527;0;0;0
4139;1962;0;0;7;1;4;2;3;0;1;0;0;76;0;18;0;0;22;3;8;2;6211;1867;34;0;0
4139;1963;0;0;7;1;3;7;-5;1;2;0;0;73;1;15;1;1;17;6;2;6;6413;1825;171;1;0
4139;1964;0;0;7;0;1;4;-3;0;0;0;0;61;0;8;27;6;10;8;4;12;5177;234;1200;0;0
4139;1965;0;0;7;1;0;0;-2;0;0;0;0;68;0;11;33;11;14;4;3;11;6844;95;1240;0;0
4139;1966;0;0;7;1;5;5;2;0;1;0;0;76;0;16;0;0;13;8;2;6;7345;759;14;1;0
4139;1967;9;0;7;2;1;2;-2;0;0;0;0;74;0;29;17;8;10;4;7;2;5978;2465;229;0;0
4469;1968;122;0;7;0;1;2;-12;0;0;0;0;60;0;12;104;41;6;11;4;3;6946;1631;0;0;0
4469;1967;122;0;7;4;4;8;4;0;2;2;0;73;0;20;86;44;5;7;4;5;7767;1546;142;0;0
4594;1967;120;0;7;0;2;8;0;0;0;0;0;64;0;10;0;0;12;1;2;13;7385;171;802;0;0
3856;1968;121;0;1;0;0;0;1;0;0;0;0;72;0;1;0;0;3;0;1;2;1253;0;88;0;0
3856;1957;8;0;7;1;2;22;-4;0;0;0;0;67;1;7;0;0;12;1;5;4;6715;17;597;2;1
3856;1958;8;0;7;1;2;8;6;0;0;0;0;65;1;9;0;0;10;2;3;16;6986;40;349;0;0
3856;1959;8;0;7;0;4;7;0;0;1;0;0;66;0;8;0;0;9;1;4;14;7110;519;463;1;1
3856;1960;8;0;7;0;1;4;-2;0;0;0;0;64;0;7;0;0;9;3;5;12;7383;445;364;0;0
3856;1961;8;0;7;0;2;21;2;0;0;0;0;67;0;2;0;0;14;2;10;14;7475;548;393;1;1
3856;1962;8;0;7;0;2;8;1;0;0;0;0;71;0;4;0;0;10;0;12;15;7747;693;244;0;0
3856;1963;8;0;7;0;3;2;-3;0;0;0;0;66;0;1;0;0;14;1;9;20;8213;564;577;0;0
3856;1964;8;0;7;0;2;12;3;0;0;0;0;71;0;4;0;0;16;3;6;13;7235;1572;693;0;0
3856;1965;8;0;7;0;0;28;-1;0;0;0;0;71;0;10;0;0;10;5;5;22;7291;1572;918;2;1
3856;1967;121;0;7;1;0;15;0;0;0;0;0;59;0;5;0;0;12;0;3;1;6146;0;428;1;0
4926;1968;119;0;7;1;1;9;-6;0;0;0;0;58;0;8;99;54;2;5;5;3;7543;379;356;1;0
4719;1968;9;0;7;0;2;7;-2;0;0;0;0;65;0;3;0;0;8;1;7;24;7337;51;1058;1;0
4719;1961;9;0;7;0;3;4;-1;0;0;0;0;65;0;3;0;0;8;0;4;7;5959;698;337;0;0
4719;1962;9;0;7;0;0;17;-2;0;0;0;0;61;0;1;0;0;5;0;4;14;5838;0;604;1;0
