PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4037;1954;86;6;51;12;20;80;15;6;6;0;1;59;2;68;338;139;47;22;27;29;18720;780;360;0;0
4037;1955;86;6;52;26;40;73;1;2;8;1;0;66;1;92;399;178;38;25;20;27;36540;3120;2760;3;1
4037;1956;89;7;29;6;22;54;3;2;5;1;0;60;0;43;229;116;25;9;21;15;22740;1740;1680;0;0
4037;1957;27;3;70;18;40;111;4;4;10;0;0;61;4;103;485;210;55;35;37;36;34440;1560;1320;3;0
4037;1958;27;3;70;15;38;87;1;1;7;1;0;65;6;104;501;261;69;34;44;51;54660;4200;3900;1;0
4037;1959;27;3;69;22;44;123;2;7;11;0;0;63;7;117;574;276;82;26;37;41;53640;4140;3600;5;1
4037;1960;27;3;70;18;52;101;1;3;11;1;4;67;2;116;535;280;67;27;49;42;66420;5700;4680;1;0
4037;1961;9;0;14;1;2;10;-3;0;0;0;0;60;0;19;126;59;14;13;10;12;10299;10;1910;0;0
4037;1961;27;3;33;7;21;55;-2;1;6;1;0;69;3;53;289;132;33;13;21;22;32760;3060;2460;3;1
4037;1962;9;0;70;8;10;12;-7;0;0;0;0;59;1;40;405;212;34;23;30;27;39095;1025;1040;0;0
4037;1963;9;0;70;8;7;23;-12;1;0;0;1;57;3;45;423;218;24;30;26;20;35649;420;4339;1;0
4037;1964;9;0;23;1;6;15;4;0;0;0;0;62;0;27;164;81;21;11;12;16;15568;337;1482;0;0
4037;1965;9;0;70;9;16;16;1;1;0;0;1;63;2;74;300;143;49;34;40;18;40575;1401;4828;0;0
4037;1966;9;0;62;5;10;29;-20;0;2;0;1;62;1;60;659;354;43;48;48;27;58168;584;3438;0;0
4037;1967;123;0;15;1;7;2;1;0;1;0;0;67;0;13;186;95;16;15;14;10;14635;291;2830;0;0
4037;1968;123;0;32;3;7;17;-6;0;0;0;1;62;0;29;396;205;18;22;32;22;30735;83;4550;1;0
5636;1968;84;6;26;20;21;47;-2;5;8;0;0;65;0;63;223;104;25;17;24;14;24540;2160;1860;3;1
5636;1964;84;6;52;23;26;79;-16;3;3;3;3;53;1;76;284;82;18;32;25;22;19140;480;180;3;1
5636;1965;84;6;50;27;33;63;2;7;4;1;1;60;4;90;300;136;34;27;27;20;18540;420;120;3;0
5636;1966;84;6;52;30;40;97;-6;2;7;1;1;63;3;109;360;164;38;30;40;21;33780;2400;2100;3;0
5636;1967;84;6;53;29;45;95;1;10;5;0;2;65;4;109;360;212;47;21;36;38;38700;3180;2760;3;1
4921;1968;90;3;38;12;19;56;0;2;6;1;2;61;3;48;54;0;39;26;16;22;12420;180;60;2;1
4921;1967;90;3;74;18;35;126;-4;7;12;0;2;61;4;85;108;0;76;47;43;45;27840;600;180;4;0
4921;1966;90;3;69;17;41;100;-2;5;15;0;2;59;4;84;98;0;81;37;28;46;26100;900;240;6;0
4921;1960;57;4;52;8;23;87;2;3;2;1;1;54;1;46;65;0;52;31;24;37;20160;480;180;1;0
4921;1961;57;4;51;9;38;106;-5;3;8;0;2;60;0;58;64;0;41;33;22;24;20880;720;300;3;0
4921;1962;57;4;52;13;53;80;4;0;7;0;2;65;2;70;86;22;72;22;37;41;40140;3120;2820;1;0
4921;1963;84;6;45;19;48;93;7;2;11;0;1;67;1;68;71;30;57;26;24;32;35940;2700;2460;5;1
4921;1964;84;6;52;29;56;95;-6;7;9;1;2;62;4;100;87;45;61;18;28;36;37860;3120;2700;3;3
4921;1965;90;3;66;16;38;113;1;4;10;1;1;64;3;87;94;0;85;36;37;48;26460;1320;540;3;0
4465;1968;123;0;36;7;14;6;-9;0;1;0;1;70;1;66;25;9;50;25;20;15;38644;1256;1331;0;0
4465;1957;57;4;51;16;31;56;8;3;8;1;3;55;1;66;68;0;35;25;19;23;19680;720;240;0;0
4465;1958;57;4;51;23;48;72;2;6;6;2;1;63;4;82;77;0;39;21;15;24;31560;2040;1860;0;0
4465;1959;57;4;51;20;48;82;2;7;14;0;0;61;2;84;89;44;56;20;18;28;36780;3060;2400;2;1
4465;1960;22;3;70;21;36;136;1;9;12;2;0;60;2;105;113;0;41;21;33;24;53460;4200;3720;4;2
4465;1961;22;3;70;33;32;101;10;5;9;1;1;66;7;130;111;70;59;30;32;28;50100;4200;3360;3;1
4465;1962;3;0;70;5;7;6;2;0;0;0;0;60;1;59;0;0;38;20;10;20;31759;238;120;0;0
4465;1963;3;0;70;10;16;4;18;0;0;1;0;64;1;76;1;0;55;30;12;15;43691;134;770;0;0
4465;1964;3;0;70;8;20;12;16;1;0;0;1;64;1;74;14;6;48;31;21;8;41618;2992;1377;0;0
4465;1965;3;0;66;8;15;6;15;0;0;1;1;63;3;68;9;3;46;18;15;8;33050;250;2860;0;0
4465;1966;3;0;9;3;3;4;3;1;0;1;0;74;0;25;13;6;10;12;4;5;6724;2035;1828;0;0
4465;1967;123;0;74;27;25;16;8;1;4;1;2;74;4;156;100;40;93;80;29;30;76133;9657;5480;0;0
6085;1968;89;7;16;15;10;14;-2;7;3;0;0;68;0;48;22;16;13;7;5;2;12600;960;780;0;0
6085;1967;86;6;53;37;32;97;11;10;9;1;1;58;6;138;68;0;36;28;20;14;20940;900;540;5;0
6085;1966;86;6;51;23;26;82;4;5;10;1;1;56;2;101;67;0;37;32;20;17;18840;540;180;4;1
4136;1968;26;3;37;0;23;75;-1;0;6;0;1;67;0;61;0;0;49;21;13;49;29460;1620;3720;5;3
4136;1967;26;3;74;9;34;173;0;3;10;0;0;67;1;129;1;0;87;43;24;103;58920;3000;6960;11;2
4136;1955;57;4;51;10;19;82;9;4;4;0;0;54;1;67;0;0;36;38;7;53;28440;360;2520;2;0
4136;1956;57;4;51;2;22;86;5;0;7;0;2;57;0;74;0;0;45;30;14;65;30120;660;2940;2;0
4136;1957;57;4;52;7;24;95;-2;0;3;0;0;57;1;84;0;0;51;36;17;66;30120;480;2820;7;0
4136;1958;28;3;70;5;22;113;-7;1;2;0;1;59;2;101;1;0;79;57;12;67;37680;660;3540;5;2
4136;1959;28;3;70;3;28;131;-1;0;6;0;1;59;0;103;0;0;69;51;18;84;39180;780;3540;7;2
4136;1960;28;3;70;5;25;135;2;1;4;0;1;61;1;114;1;0;71;47;19;91;39720;660;3660;5;2
4136;1961;28;3;68;14;23;127;-6;2;1;0;0;62;4;113;0;0;85;45;20;90;54060;2820;6300;6;0
4136;1962;28;3;70;14;23;131;8;5;1;0;1;64;2;124;1;1;86;46;17;104;56820;2760;6660;5;3
4136;1963;28;3;69;10;31;148;3;4;5;0;0;61;2;117;1;0;94;53;21;87;55200;2760;6420;8;3
4136;1964;28;3;69;13;30;125;2;2;5;1;1;64;2;123;1;1;101;36;24;82;55260;2820;6540;7;2
4136;1965;28;3;70;9;31;133;8;2;7;1;0;65;0;123;1;0;92;42;29;82;53520;2460;6300;7;1
