PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
105;1942;5;0;7;1;3;4;6;0;0;0;1;63;0;19;0;0;8;2;10;2;8139;496;752;0;0
105;1943;5;0;7;3;8;9;12;0;0;0;1;68;0;19;0;0;10;1;4;5;8640;39;572;1;0
344;1942;8;0;7;2;5;0;-3;0;0;0;0;60;0;9;7;1;15;8;3;1;6693;368;268;0;0
344;1943;8;0;6;4;3;2;-7;1;2;0;0;66;0;14;5;2;19;7;1;2;5456;1487;235;0;0
353;1942;8;0;7;0;1;0;-2;0;0;0;0;57;0;11;0;0;6;1;4;8;6389;0;344;0;0
118;1943;5;0;7;1;5;10;2;0;2;0;0;69;0;19;0;0;12;1;3;10;7058;963;354;0;0
11;1942;0;0;6;1;4;4;9;0;1;0;0;63;0;10;0;0;8;4;0;9;6873;348;237;0;0
11;1943;0;0;7;4;5;0;2;1;0;0;0;63;0;19;0;0;7;2;3;3;7195;643;343;0;0
11;1944;0;0;4;1;2;4;1;0;1;0;0;64;0;8;0;0;8;1;2;6;3883;653;206;0;0
11;1945;0;0;7;1;3;4;-4;0;0;0;1;45;0;21;0;0;4;2;2;0;6878;32;281;0;0
94;1942;3;0;7;1;6;6;2;1;2;0;0;72;0;10;4;1;19;5;2;1;7247;635;79;0;0
94;1944;3;0;7;2;4;11;-2;0;1;0;0;69;1;11;0;0;12;9;5;1;7128;2055;0;0;0
94;1945;3;0;7;3;5;2;1;1;3;0;0;70;1;19;0;0;11;7;3;0;7435;1293;19;0;0
527;1942;8;0;7;3;3;2;-1;1;1;0;0;64;0;17;96;51;6;5;4;4;7472;484;1147;0;0
121;1942;5;0;7;2;4;7;0;0;2;0;1;69;0;22;90;50;12;6;7;0;6967;1683;370;0;0
121;1943;5;0;7;5;5;2;8;0;0;0;1;68;0;20;84;47;3;3;4;1;7594;380;323;0;0
121;1944;5;0;7;5;1;12;-3;1;1;0;0;61;0;7;96;43;2;6;3;2;6232;1106;35;0;0
121;1945;5;0;7;6;2;0;-8;2;1;0;0;64;0;19;93;48;5;6;7;2;5844;1787;23;0;0
121;1946;5;0;7;1;3;0;2;0;1;0;0;63;0;8;73;35;8;5;1;3;6298;40;12;0;0
