PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4465;123;123;7;1;6;7;0;0;0;0;0;0;0;11;5;2;4;80;83;69;11;8326;369;126;115.8;4.8;1.7;22.1;29.8;100;107;48.3;3.0;67;83;44.7;0.4;0;3;3
4466;122;122;5;2;0;1;0;0;0;0;0;0;0;8;4;1;1;72;71;57;8;5062;259;0;96.8;3.6;2.8;19.9;13.5;41;25;62.1;6.7;30;21;58.8;3.1;0;5;1
4922;123;123;7;0;3;6;4;0;0;0;0;0;0;9;3;4;13;69;63;71;5;7469;1432;91;113.1;5.8;2.9;25.5;30.4;89;98;47.6;1.9;62;75;45.3;1.3;0;0;0
4040;10;10;6;2;1;-3;0;0;0;0;0;0;0;7;4;3;4;70;69;60;10;6129;0;29;94.1;1.8;3.5;30.0;30.0;103;101;50.5;-1.3;62;60;50.8;3.4;0;0;0
5398;3;3;6;3;4;3;0;0;1;0;0;0;0;6;1;6;0;70;64;69;14;6089;619;141;104.5;4.1;2.4;26.0;20.7;99;90;52.4;5.3;60;49;55.0;4.7;0;83;41
4138;3;3;6;1;3;1;2;0;0;0;0;0;0;8;5;3;7;71;65;72;12;6656;102;450;104.9;3.8;3.2;26.0;33.5;95;114;45.5;-4.7;67;67;50.0;-2.3;0;30;16
4041;3;3;6;0;3;0;2;0;0;0;0;0;0;5;1;3;25;69;53;81;3;7607;113;179;101.2;2.8;2.8;30.3;34.5;124;129;49.0;0.6;79;82;49.1;-4.1;0;0;0
4469;122;122;5;6;4;6;2;1;1;0;0;0;0;5;9;2;3;78;76;68;16;5658;943;0;111.2;6.4;2.5;25.4;18.5;58;46;55.8;-2.2;42;32;56.8;0.3;1;67;33
4594;120;120;5;0;1;-4;2;0;0;0;0;0;0;5;1;6;7;58;52;66;1;5206;0;395;98.8;2.8;5.5;15.9;29.7;31;53;36.9;-8.9;26;45;36.6;-10.9;0;0;0
3856;121;121;7;0;6;9;0;0;0;0;0;0;0;11;0;4;13;68;55;77;5;8314;0;498;109.5;4.8;0.9;35.5;22.1;116;96;54.7;1.6;89;62;58.9;5.1;0;0;0
4719;9;9;4;0;1;-6;15;0;0;0;0;1;0;4;0;5;11;60;53;64;4;4202;0;479;83.4;0.9;6.0;16.3;27.4;35;60;36.8;-3.5;22;39;36.1;-5.4;0;0;0
4927;121;121;7;1;1;0;0;0;1;0;0;0;0;8;4;3;3;62;55;68;13;2930;627;533;101.5;2.5;2.5;25.8;30.7;28;42;40.0;-15.5;24;30;44.4;-12.8;1;24;16
4044;0;0;4;0;5;5;0;0;0;0;0;0;0;8;1;1;3;63;57;71;2;4047;0;125;111.5;6.2;1.8;30.2;19.6;53;36;59.6;-1.6;37;26;58.7;-2.1;0;0;0
4346;123;123;7;4;3;4;0;0;0;0;0;0;0;0;4;5;5;74;70;70;11;7310;1445;67;109.2;4.4;2.5;24.6;28.1;84;101;45.4;-1.3;59;71;45.4;1.4;1;115;58
4348;3;3;6;1;2;1;0;0;0;0;0;0;0;4;2;6;21;69;53;80;5;7042;97;442;103.4;3.6;3.1;26.1;29.7;93;123;43.1;-8.3;64;70;47.8;-5.7;0;0;0
4929;122;122;5;0;5;5;0;0;1;0;0;0;0;11;2;3;5;68;67;68;4;5899;819;337;109.5;6.1;3.1;19.5;14.0;46;41;52.9;-6.3;33;28;54.1;-3.6;0;0;0
4349;0;0;4;0;4;5;0;0;0;0;0;0;0;6;2;2;3;76;77;68;3;4089;0;43;111.5;6.2;1.8;27.3;15.8;57;31;64.8;5.7;36;21;63.2;4.1;0;0;0
4721;121;121;7;3;3;-4;2;1;0;0;0;0;0;6;3;4;0;71;70;55;18;7937;637;271;91.7;2.7;4.5;27.7;24.9;107;84;56.0;3.4;71;62;53.4;-3.2;1;3;0
5402;3;3;6;0;1;-1;4;0;0;0;0;0;0;7;2;3;25;67;51;79;9;6095;4;201;96.8;3.0;3.5;31.9;28.4;104;110;48.6;-0.1;69;60;53.5;2.8;0;0;0
4350;122;122;5;3;5;9;0;0;0;0;0;0;0;13;5;0;2;86;84;71;8;5580;920;0;117.5;7.1;1.3;27.1;14.8;58;40;59.2;3.4;44;27;62.0;8.6;0;7;3
4723;9;9;4;0;0;-8;2;0;0;0;0;0;0;4;5;1;0;58;56;48;5;4502;598;33;65.2;0.0;6.4;20.8;18.4;46;45;50.5;16.0;28;25;52.8;17.7;0;53;22
4725;121;121;2;1;1;1;0;0;0;0;0;0;0;1;1;1;0;58;56;56;5;1659;0;9;107.1;4.3;2.2;28.2;26.0;21;23;47.7;3.2;18;14;56.3;13.2;0;1;0
4473;123;123;7;4;2;1;0;0;0;0;0;0;0;5;3;5;1;66;63;61;8;6367;0;133;106.5;4.0;3.4;23.7;33.4;78;87;47.3;1.3;48;64;42.9;-2.1;0;3;2
5231;121;121;7;3;2;-5;2;0;0;0;0;0;0;9;4;2;6;63;63;57;26;7874;251;269;87.4;2.3;4.6;34.3;23.8;114;101;53.0;-1.0;84;68;55.3;-0.5;0;8;5
5232;123;123;7;1;3;4;0;0;0;0;0;0;0;13;8;3;2;76;72;64;19;7693;1463;0;108.0;4.7;2.8;26.7;29.5;85;106;44.5;-2.7;63;77;45.0;0.9;0;0;0
4146;0;0;4;5;3;7;2;0;0;0;0;0;0;9;3;0;0;73;69;64;14;4205;395;0;114.0;7.7;1.7;33.4;18.8;60;36;62.5;2.6;45;25;64.3;6.3;1;0;0
4148;121;121;7;0;1;-5;10;0;0;0;0;2;0;9;5;1;17;53;49;58;6;7461;0;418;87.7;3.4;5.8;31.4;25.1;98;101;49.2;-6.6;73;65;52.9;-4.0;0;0;0
4475;3;3;6;1;3;-1;0;0;1;0;0;0;0;8;3;2;2;73;71;61;17;7014;655;24;96.6;3.1;3.6;41.6;33.4;136;115;54.2;9.0;95;77;55.2;6.3;0;4;2
4729;10;10;4;2;3;2;2;0;1;0;0;0;0;3;3;2;1;74;69;60;12;4192;489;7;103.6;5.2;3.4;37.8;34.3;72;57;55.8;5.8;49;43;53.3;10.4;0;2;2
4354;122;122;5;4;5;8;0;0;0;0;0;0;0;10;3;1;1;71;74;60;19;4574;147;503;119.4;7.9;1.6;28.3;18.9;49;40;55.1;-3.1;38;28;57.6;1.6;1;1;0
5235;9;9;4;1;1;-1;0;0;0;0;0;0;0;5;2;1;1;58;57;56;8;3562;111;0;101.6;3.0;4.0;23.2;35.4;40;57;41.2;2.8;26;38;40.6;1.2;0;0;0
4730;121;121;7;3;2;-1;2;0;0;0;0;0;0;5;6;2;3;62;59;61;20;7320;388;1050;88.3;3.9;4.4;38.4;20.2;118;76;60.8;10.6;91;52;63.6;12.1;0;83;39
3131;3;3;4;0;0;-2;2;0;0;0;0;0;0;0;2;0;3;55;54;57;2;3134;38;0;94.2;1.1;3.4;21.8;31.0;42;59;41.6;-7.6;27;28;49.1;1.1;0;39;19
3861;121;121;5;0;0;-2;4;0;0;0;0;0;0;7;4;3;5;52;50;56;5;4909;0;456;88.4;2.2;3.7;35.2;20.5;74;48;60.7;5.4;57;33;63.3;6.1;0;0;0
4731;121;121;7;0;1;-3;4;0;0;0;0;0;0;8;8;3;0;58;53;58;21;6971;0;336;89.8;2.1;3.6;38.2;23.2;107;80;57.2;5.2;83;58;58.9;4.9;0;0;0
4938;3;3;6;0;1;-1;9;0;0;0;0;1;0;8;6;6;8;74;67;70;11;6842;43;0;98.7;2.6;3.2;25.8;27.4;105;106;49.8;1.7;62;65;48.8;-4.0;0;0;0
5058;10;10;6;1;2;2;0;0;0;0;0;0;0;3;7;2;2;64;62;64;7;5543;81;145;102.9;3.2;1.9;34.4;29.9;99;88;52.9;2.2;61;55;52.6;5.8;0;13;5
3862;123;123;7;2;1;-5;2;0;0;0;0;0;0;8;6;2;3;65;64;52;12;6781;0;577;94.9;2.7;5.3;27.1;35.6;90;99;47.6;1.9;58;73;44.3;-0.2;0;9;1
4355;10;10;6;1;1;-5;0;0;0;0;0;0;0;5;4;3;1;62;58;59;9;5302;108;559;88.3;2.0;5.4;36.0;31.2;102;87;54.0;3.6;62;57;52.1;5.2;0;69;41
3957;121;121;5;0;1;-1;0;0;0;0;0;0;0;3;3;0;1;56;56;56;11;4795;121;0;94.8;4.5;5.3;29.3;25.5;67;60;52.8;-5.7;49;41;54.4;-6.5;0;2;1
3318;121;121;7;2;3;-4;20;1;1;0;0;2;2;9;1;2;2;72;65;64;18;7475;574;0;88.4;1.0;2.9;23.1;18.3;86;67;56.2;3.4;59;42;58.4;3.7;1;2;1
4357;123;123;7;4;4;6;25;0;0;0;0;3;0;2;3;7;1;72;68;68;12;7985;387;47;113.2;5.0;2.3;23.9;29.8;100;104;49.0;4.1;68;78;46.6;3.3;1;96;58
4060;0;0;4;5;3;10;2;0;0;0;0;0;0;7;1;1;4;79;75;72;12;4384;475;0;124.4;8.2;0.0;33.7;18.9;75;40;65.2;7.2;45;25;64.3;6.3;1;9;6
4939;9;9;4;0;1;-8;2;0;1;0;0;0;0;16;2;1;4;71;64;68;3;4015;565;247;70.9;0.9;8.1;16.1;23.3;35;52;40.2;1.3;21;28;42.9;4.0;0;5;0
3864;121;121;2;0;0;-1;2;0;0;0;0;0;0;2;2;2;0;51;51;46;0;1745;317;99;96.4;6.2;8.2;26.8;30.9;17;20;45.9;0.7;14;18;43.8;-3.9;0;0;0
4481;123;123;7;0;0;-2;0;0;0;0;0;0;0;6;3;2;15;64;56;73;4;6931;0;626;100.3;1.6;2.6;18.7;32.2;65;102;38.9;-10.3;42;76;35.6;-12.1;0;0;0
4604;123;123;7;5;2;4;4;0;0;0;0;0;0;8;14;3;3;67;64;67;18;7370;872;0;114.3;4.4;2.4;20.5;34.2;76;112;40.4;-8.6;51;83;38.1;-9.2;1;1;1
4941;0;0;4;1;1;4;0;0;0;0;0;0;0;10;1;2;4;70;64;75;9;3562;0;522;110.8;5.1;1.0;30.3;17.2;43;27;61.4;0.9;33;18;64.7;6.0;0;1;1
4483;9;9;4;1;1;-7;2;1;0;0;0;0;0;5;1;1;10;62;59;57;11;4965;552;52;87.7;1.4;6.5;22.5;34.8;51;77;39.8;1.0;37;52;41.6;3.2;0;0;0
5654;122;122;5;7;5;7;0;0;0;0;1;0;0;5;4;1;1;79;80;55;10;5006;109;202;115.9;7.9;3.6;23.0;19.4;47;41;53.4;-5.6;34;32;51.5;-7.7;1;57;23
4737;120;120;5;2;0;-2;2;0;0;0;0;0;0;10;8;5;1;62;54;72;10;4718;698;0;100.7;2.3;3.1;15.3;21.4;31;44;41.3;-2.2;25;29;46.3;4.0;0;1;1
5238;120;120;5;0;0;-9;0;0;0;0;0;0;0;7;6;6;0;55;51;59;9;4540;116;431;72.1;0.8;7.9;18.2;24.6;45;45;50.0;10.8;26;33;44.1;0.9;0;1;0
