PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4037;123;123;5;0;1;1;2;0;0;0;0;0;0;5;2;3;0;61;55;65;5;3934;67;532;101.9;4.6;3.7;27.5;24.7;50;43;53.8;3.3;35;32;52.2;-0.2;0;51;31
4465;130;130;5;1;0;0;2;0;0;0;0;0;0;8;4;3;2;62;56;72;3;3613;0;0;98.9;1.0;1.0;17.9;14.9;44;30;59.5;20.7;26;18;59.1;22.8;0;1;0
4466;122;122;5;2;1;2;0;0;0;1;0;0;0;5;1;3;4;70;66;66;3;3691;138;130;110.9;3.9;2.9;20.5;36.1;38;66;36.5;-11.8;24;43;35.8;-15.5;0;6;2
4922;123;123;5;0;1;4;0;0;0;0;0;0;0;11;1;3;4;67;57;74;8;5149;127;289;106.6;4.2;1.4;35.0;25.9;72;61;54.1;4.3;58;47;55.2;4.4;0;0;0
5639;118;118;1;1;0;0;0;0;0;0;0;0;0;2;2;0;0;64;59;47;4;1182;0;0;102.0;3.0;3.0;27.4;33.5;12;20;37.5;2.1;10;13;43.5;10.7;0;0;0
4924;118;118;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;57;50;65;1;1131;0;0;112.5;3.2;0.0;25.4;31.8;12;18;40.0;5.4;9;13;40.9;7.0;0;0;0
4137;118;118;4;0;1;2;0;0;0;0;0;0;0;6;2;6;14;73;50;85;8;4323;61;496;103.3;2.5;1.7;31.6;36.6;64;70;47.8;-2.2;48;48;50.0;3.6;0;0;0
6087;122;122;5;0;2;7;6;0;0;0;0;0;0;10;4;1;22;75;53;89;6;5371;35;738;112.0;6.0;1.3;37.5;32.8;78;86;47.6;3.1;63;54;53.8;9.8;0;0;0
5398;3;3;4;3;1;4;0;0;0;0;0;0;0;2;2;0;0;67;62;67;11;3238;552;8;104.0;6.7;2.2;34.5;14.5;53;29;64.6;4.1;36;18;66.7;4.1;1;43;20
3947;131;131;5;0;0;-4;0;0;0;0;0;0;0;2;7;4;4;58;50;67;5;4677;110;49;91.5;0.0;3.1;17.7;36.2;41;79;34.2;-9.5;27;54;33.3;-7.1;0;42;19
5045;122;122;5;0;3;5;4;0;0;0;0;0;0;6;8;2;5;61;56;67;13;5522;726;205;105.8;6.5;3.9;31.9;26.7;82;72;53.2;11.7;54;50;51.9;6.2;0;0;0
4138;3;3;3;0;0;1;5;0;0;0;0;1;0;4;0;1;1;66;60;73;7;3029;108;433;102.9;1.2;0.0;40.4;17.8;54;31;63.5;4.7;41;19;68.3;7.9;0;36;20
4041;3;3;4;0;1;5;0;0;0;0;0;0;0;2;0;4;9;69;54;79;8;4618;130;312;106.7;4.7;0.8;43.6;19.5;92;50;64.8;5.5;67;29;69.8;10.2;0;0;0
4139;9;9;5;1;2;3;8;0;0;0;0;0;0;3;2;2;3;68;63;65;19;4427;253;266;106.7;4.1;1.6;35.0;33.3;73;66;52.5;-1.1;49;46;51.6;-2.0;0;7;3
4594;120;120;5;0;1;-3;4;0;0;0;0;0;0;3;4;2;9;56;50;63;4;4756;49;762;90.8;1.5;3.8;29.5;26.5;57;51;52.8;-5.2;44;40;52.4;-2.3;0;0;0
4926;131;131;5;5;4;8;4;0;0;0;0;0;0;5;10;6;2;67;61;73;14;5311;539;67;120.0;6.8;1.4;28.5;35.2;70;83;45.8;7.2;52;59;46.8;12.8;1;66;29
5401;8;8;5;0;1;2;7;0;0;0;0;1;0;3;4;2;1;57;53;59;5;2614;39;137;104.9;4.1;1.4;35.8;20.7;39;24;61.9;2.5;29;17;63.0;2.9;0;5;4
