PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
4037;123;123;12;0;1;-8;0;0;0;0;0;0;0;7;9;5;4;57;52;63;6;9604;0;1975;94.5;1.9;4.9;18.7;31.5;93;127;42.3;-3.9;60;97;38.2;-4.2;0;157;78
4465;130;130;28;1;4;-10;2;0;1;0;0;0;0;14;14;7;5;57;53;58;18;15960;905;303;91.0;1.4;3.6;21.7;23.7;162;175;48.1;2.6;112;123;47.7;1.3;0;105;39
4466;122;122;28;5;12;8;6;0;0;0;1;0;0;36;14;7;10;68;63;63;29;22316;1738;1301;106.9;3.9;2.6;24.2;28.2;277;304;47.7;-4.5;173;210;45.2;-5.8;2;43;19
4922;123;123;28;3;9;2;16;1;0;0;1;0;0;44;6;16;29;62;59;64;38;31939;798;1912;101.5;3.5;3.4;24.7;26.7;375;380;49.7;6.9;255;268;48.8;8.8;0;0;0
6324;130;130;14;0;1;-3;4;0;0;0;0;0;0;6;3;3;1;54;50;58;4;4405;254;0;88.4;0.8;3.3;25.3;22.1;49;52;48.5;3.3;38;30;55.9;10.6;0;2;0
4137;118;118;28;1;7;-9;12;0;1;0;0;0;0;27;5;18;56;61;52;69;20;27817;746;2099;95.1;2.2;3.4;22.8;23.2;319;338;48.6;-2.4;207;219;48.6;-3.3;0;0;0
6087;122;122;28;0;10;3;40;0;0;0;0;1;0;19;4;15;62;63;53;71;23;25737;484;4779;101.5;3.2;2.7;28.3;26.9;338;320;51.4;0.5;232;224;50.9;2.0;0;0;0
5398;3;3;26;12;3;9;10;0;0;0;0;0;0;18;19;13;11;66;61;66;51;24921;1077;131;102.9;3.3;1.9;28.7;21.7;343;293;53.9;-2.1;232;178;56.6;-4.1;1;280;143
5045;122;122;28;1;16;-6;25;1;5;0;0;1;0;33;12;24;35;70;65;70;72;30463;6723;1135;100.8;2.8;2.7;28.5;29.5;437;405;51.9;1.5;281;293;49.0;-0.8;0;0;0
4138;3;3;26;19;4;8;14;1;0;0;0;0;0;23;15;13;9;62;60;62;59;23863;1253;773;101.7;4.2;2.9;28.2;21.6;315;269;53.9;-2.0;219;165;57.0;-3.3;0;224;109
