StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
0;1;10;15;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;2;2;2;2;2;2;2;1;2;1;1;1;2;2;0;;13;12
1;10;15;15;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Loyal;3;3;3;3;3;3;3;10;3;1;9;7;3;3;0;;18;16
2;1;10;15;20;1;Defensive;Balanced;Passive;Conservative;Balanced;Balanced;Balanced;11;5;4;6;8;4;4;4;6;4;4;4;4;7;0;;14;14
3;1;10;15;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;1;2;3;1;2;2;2;1;2;1;1;1;1;2;0;;13;12
4;1;10;20;15;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;1;3;1;1;1;3;3;0;;13;12
5;20;10;1;1;1;Standard;Physical;Passive;Aggressive;Prefers Prospects;Very Conservative;Very Ruthless;2;3;3;7;6;6;10;6;11;17;10;18;5;4;1;;7;6
6;1;10;15;20;1;Offensive;Physical;Passive;Balanced;Prefers Veterans;Balanced;Very Loyal;5;12;7;6;8;6;7;17;6;5;5;19;5;8;0;;13;12
7;1;10;20;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;1;3;1;1;1;3;3;0;;13;12
8;1;10;15;20;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;1;3;1;1;2;1;1;1;1;1;1;1;1;2;0;;13;12
9;20;5;1;1;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;10
10;10;20;15;15;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;2;1;2;2;2;1;1;0;;14;14
11;10;15;20;15;1;Standard;Balanced;Passive;Balanced;Balanced;Conservative;Balanced;7;7;7;7;7;7;7;5;7;5;5;5;7;7;0;;13;13
12;10;15;20;15;1;Standard;Non-physical;Balanced;Balanced;Prefers Veterans;Conservative;Balanced;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;;13;11
13;10;15;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;;14;14
14;10;20;15;15;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;10;10
15;10;20;15;15;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;1;1;1;1;1;1;1;2;1;2;2;2;1;1;0;;12;12
16;1;10;20;15;1;Standard;Non-physical;Passive;Balanced;Balanced;Balanced;Balanced;3;5;5;6;7;7;8;2;5;2;2;2;2;4;0;;15;15
17;10;20;15;15;1;Standard;Balanced;Passive;Balanced;Balanced;Balanced;Balanced;3;3;3;3;3;3;3;4;3;4;4;4;3;3;0;;14;14
18;1;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;2;3;1;2;2;2;1;1;1;1;1;1;2;0;;6;6
19;15;20;15;20;1;Offensive;Physical;Passive;Balanced;Prefers Veterans;Balanced;Balanced;1;2;1;1;1;1;1;3;1;0;2;2;1;1;0;;12;11
20;20;10;1;1;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;;0;0
21;10;10;15;20;1;Standard;Very Non-Physical;Very Passive;Balanced;Balanced;Balanced;Balanced;4;13;15;12;2;2;2;11;9;14;5;20;8;12;0;;20;18
22;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Ruthless;3;7;5;7;9;14;11;6;11;20;9;14;4;2;0;;15;20
23;10;10;15;20;1;Offensive;Non-physical;Balanced;Balanced;Balanced;Conservative;Ruthless;7;7;8;1;2;1;15;7;14;6;6;16;9;10;0;;20;20
24;5;10;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Loyal;15;20;20;6;6;10;18;10;6;2;4;13;10;16;0;;12;12
25;10;10;15;20;1;Offensive;Non-physical;Balanced;Very Aggressive;Prefers Veterans;Balanced;Balanced;14;10;12;15;7;15;9;10;8;17;11;20;17;3;0;;17;14
26;10;10;15;20;1;Standard;Balanced;Aggressive;Balanced;Prefers Veterans;Conservative;Balanced;4;12;8;14;1;3;15;9;10;14;12;20;7;6;0;;15;20
27;10;10;15;20;1;Offensive;Non-physical;Aggressive;Balanced;Prefers Prospects;Balanced;Loyal;7;3;5;3;3;9;9;13;10;20;13;9;7;10;0;;14;19
28;10;10;15;20;1;Offensive;Balanced;Aggressive;Balanced;Balanced;Balanced;Ruthless;5;1;3;13;2;13;5;7;14;6;14;10;5;5;0;;20;20
29;10;10;15;20;1;Offensive;Non-physical;Passive;Conservative;Prefers Prospects;Conservative;Ruthless;2;6;6;11;12;14;6;10;16;7;6;20;10;12;0;;20;19
30;10;10;15;20;1;Standard;Non-physical;Passive;Conservative;Prefers Prospects;Balanced;Ruthless;8;10;7;1;12;14;12;9;4;14;13;10;11;15;0;;18;20
31;10;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Prefers Prospects;Balanced;Ruthless;14;1;10;7;10;1;12;13;14;17;13;10;5;7;0;;19;20
32;10;10;15;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;2;10;14;6;7;13;12;16;3;20;8;6;11;0;;16;20
33;10;10;15;20;1;Offensive;Physical;Balanced;Very Aggressive;Balanced;Balanced;Balanced;11;8;6;3;15;13;4;8;13;20;7;13;6;4;0;;20;14
