League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
0;0;-1;0;16;1;0;0;0;0;32;105;22;.941
0;3;-1;0;9;7;1;0;0;0;19;67;54;.559
0;5;-1;0;5;10;3;0;0;0;13;43;56;.361
0;8;-1;1;7;8;3;0;0;0;17;56;50;.472
0;9;-1;0;8;8;1;0;0;0;17;56;63;.500
0;10;-1;0;10;5;1;0;0;0;21;56;38;.656
0;118;-1;1;5;9;4;0;0;0;14;36;61;.389
0;119;-1;1;5;8;5;0;0;0;15;33;50;.417
0;120;-1;1;9;6;2;0;0;0;20;56;40;.588
0;121;-1;1;7;9;1;0;0;0;15;47;67;.441
0;122;-1;1;7;6;3;0;0;0;17;62;58;.531
0;123;-1;1;7;10;2;0;0;0;16;52;65;.421
0;130;-1;0;6;9;2;0;0;0;14;40;48;.412
0;131;-1;0;5;10;2;0;0;0;12;33;70;.353
